,gameweek,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,season,home_score,away_score
56,6,Sat,2022-09-03,15:00,Nott'ham Forest,1.9,2–3,0.8,Bournemouth,"28,720",The City Ground,Michael Oliver,Match Report,,2022,2.0,3.0
57,6,Sat,2022-09-03,15:00,Wolves,0.8,1–0,1.2,Southampton,"30,546",Molineux Stadium,John Brooks,Match Report,,2022,1.0,0.0
58,6,Sat,2022-09-03,15:00,Newcastle Utd,2.8,0–0,1.0,Crystal Palace,"51,863",St James' Park,Michael Salisbury,Match Report,,2022,0.0,0.0
59,6,Sat,2022-09-03,15:00,Brentford,2.3,5–2,1.7,Leeds United,"17,092",Brentford Community Stadium,Robert Jones,Match Report,,2022,5.0,2.0
60,6,Sat,2022-09-03,15:00,Tottenham,2.9,2–1,0.7,Fulham,"61,641",Tottenham Hotspur Stadium,Stuart Attwell,Match Report,,2022,2.0,1.0
61,6,Sat,2022-09-03,15:00,Chelsea,0.9,2–1,1.1,West Ham,"39,923",Stamford Bridge,Andy Madley,Match Report,,2022,2.0,1.0
62,6,Sat,2022-09-03,17:30,Aston Villa,0.3,1–1,2.1,Manchester City,"41,830",Villa Park,Simon Hooper,Match Report,,2022,1.0,1.0
63,6,Sun,2022-09-04,14:00,Brighton,2.6,5–2,1.4,Leicester City,"31,185",The American Express Community Stadium,Tony Harrington,Match Report,,2022,5.0,2.0
64,6,Sun,2022-09-04,16:30,Manchester Utd,1.5,3–1,1.3,Arsenal,"73,431",Old Trafford,Paul Tierney,Match Report,,2022,3.0,1.0
66,8,Fri,2022-09-16,20:00,Aston Villa,1.5,1–0,0.3,Southampton,"40,758",Villa Park,Tony Harrington,Match Report,,2022,1.0,0.0
67,8,Fri,2022-09-16,20:00,Nott'ham Forest,1.4,2–3,0.9,Fulham,"28,654",The City Ground,Jarred Gillett,Match Report,,2022,2.0,3.0
68,8,Sat,2022-09-17,12:30,Wolves,0.4,0–3,1.1,Manchester City,"31,578",Molineux Stadium,Anthony Taylor,Match Report,,2022,0.0,3.0
69,8,Sat,2022-09-17,15:00,Newcastle Utd,1.9,1–1,0.7,Bournemouth,"52,238",St James' Park,Craig Pawson,Match Report,,2022,1.0,1.0
70,8,Sat,2022-09-17,17:30,Tottenham,2.2,6–2,1.8,Leicester City,"61,450",Tottenham Hotspur Stadium,Simon Hooper,Match Report,,2022,6.0,2.0
71,8,Sun,2022-09-18,12:00,Brentford,0.5,0–3,1.5,Arsenal,"17,122",Brentford Community Stadium,David Coote,Match Report,,2022,0.0,3.0
72,8,Sun,2022-09-18,14:15,Everton,0.4,1–0,1.0,West Ham,"39,298",Goodison Park,Michael Oliver,Match Report,,2022,1.0,0.0
74,9,Sat,2022-10-01,12:30,Arsenal,2.4,3–1,1.6,Tottenham,"60,278",Emirates Stadium,Anthony Taylor,Match Report,,2022,3.0,1.0
75,9,Sat,2022-10-01,15:00,Southampton,1.7,1–2,2.0,Everton,"30,510",St. Mary's Stadium,Andre Marriner,Match Report,,2022,1.0,2.0
76,9,Sat,2022-10-01,15:00,Crystal Palace,0.4,1–2,1.1,Chelsea,"25,198",Selhurst Park,Chris Kavanagh,Match Report,,2022,1.0,2.0
77,9,Sat,2022-10-01,15:00,Liverpool,1.5,3–3,1.4,Brighton,"53,320",Anfield,Andy Madley,Match Report,,2022,3.0,3.0
78,9,Sat,2022-10-01,15:00,Fulham,0.5,1–4,3.3,Newcastle Utd,"22,913",Craven Cottage,Darren England,Match Report,,2022,1.0,4.0
79,9,Sat,2022-10-01,15:00,Bournemouth,0.4,0–0,0.9,Brentford,"10,126",Vitality Stadium,Thomas Bramall,Match Report,,2022,0.0,0.0
80,9,Sat,2022-10-01,17:30,West Ham,0.9,2–0,0.7,Wolves,"62,444",London Stadium,Paul Tierney,Match Report,,2022,2.0,0.0
81,9,Sun,2022-10-02,14:00,Manchester City,3.2,6–3,1.7,Manchester Utd,"53,475",Etihad Stadium,Michael Oliver,Match Report,,2022,6.0,3.0
82,9,Sun,2022-10-02,16:30,Leeds United,0.4,0–0,2.2,Aston Villa,"36,582",Elland Road,Stuart Attwell,Match Report,,2022,0.0,0.0
83,9,Mon,2022-10-03,20:00,Leicester City,1.3,4–0,1.1,Nott'ham Forest,"32,202",King Power Stadium,Robert Jones,Match Report,,2022,4.0,0.0
85,10,Sat,2022-10-08,15:00,Bournemouth,1.1,2–1,1.0,Leicester City,"10,272",Vitality Stadium,Michael Salisbury,Match Report,,2022,2.0,1.0
86,10,Sat,2022-10-08,15:00,Newcastle Utd,1.5,5–1,1.2,Brentford,"52,067",St James' Park,John Brooks,Match Report,,2022,5.0,1.0
87,10,Sat,2022-10-08,15:00,Manchester City,2.4,4–0,0.2,Southampton,"53,365",Etihad Stadium,Andy Madley,Match Report,,2022,4.0,0.0
88,10,Sat,2022-10-08,15:00,Chelsea,1.9,3–0,1.1,Wolves,"39,940",Stamford Bridge,Simon Hooper,Match Report,,2022,3.0,0.0
89,10,Sat,2022-10-08,17:30,Brighton,0.7,0–1,0.8,Tottenham,"31,498",The American Express Community Stadium,Tony Harrington,Match Report,,2022,0.0,1.0
90,10,Sun,2022-10-09,14:00,West Ham,2.4,3–1,0.7,Fulham,"62,407",London Stadium,Chris Kavanagh,Match Report,,2022,3.0,1.0
91,10,Sun,2022-10-09,14:00,Crystal Palace,1.1,2–1,1.0,Leeds United,"25,042",Selhurst Park,Paul Tierney,Match Report,,2022,2.0,1.0
92,10,Sun,2022-10-09,16:30,Arsenal,2.7,3–2,1.1,Liverpool,"60,059",Emirates Stadium,Michael Oliver,Match Report,,2022,3.0,2.0
93,10,Sun,2022-10-09,19:00,Everton,0.6,1–2,1.4,Manchester Utd,"39,258",Goodison Park,David Coote,Match Report,,2022,1.0,2.0
94,10,Mon,2022-10-10,20:00,Nott'ham Forest,0.3,1–1,0.7,Aston Villa,"29,208",The City Ground,Anthony Taylor,Match Report,,2022,1.0,1.0
96,11,Fri,2022-10-14,20:00,Brentford,1.5,2–0,1.9,Brighton,"17,016",Brentford Community Stadium,Michael Salisbury,Match Report,,2022,2.0,0.0
97,11,Sat,2022-10-15,12:30,Leicester City,1.0,0–0,0.4,Crystal Palace,"31,298",King Power Stadium,Andy Madley,Match Report,,2022,0.0,0.0
98,11,Sat,2022-10-15,15:00,Fulham,2.1,2–2,1.0,Bournemouth,"22,541",Craven Cottage,Graham Scott,Match Report,,2022,2.0,2.0
99,11,Sat,2022-10-15,15:00,Wolves,1.3,1–0,1.5,Nott'ham Forest,"31,554",Molineux Stadium,Thomas Bramall,Match Report,,2022,1.0,0.0
100,11,Sat,2022-10-15,17:30,Tottenham,2.2,2–0,0.4,Everton,"61,812",Tottenham Hotspur Stadium,Paul Tierney,Match Report,,2022,2.0,0.0
101,11,Sun,2022-10-16,14:00,Southampton,0.5,1–1,1.7,West Ham,"29,159",St. Mary's Stadium,Peter Bankes,Match Report,,2022,1.0,1.0
102,11,Sun,2022-10-16,14:00,Aston Villa,1.8,0–2,0.9,Chelsea,"41,754",Villa Park,Robert Jones,Match Report,,2022,0.0,2.0
103,11,Sun,2022-10-16,14:00,Leeds United,1.8,0–1,0.5,Arsenal,"36,700",Elland Road,Chris Kavanagh,Match Report,,2022,0.0,1.0
104,11,Sun,2022-10-16,14:00,Manchester Utd,0.8,0–0,0.8,Newcastle Utd,"73,726",Old Trafford,Craig Pawson,Match Report,,2022,0.0,0.0
105,11,Sun,2022-10-16,16:30,Liverpool,2.1,1–0,1.0,Manchester City,"53,286",Anfield,Anthony Taylor,Match Report,,2022,1.0,0.0
107,12,Tue,2022-10-18,19:30,Brighton,1.7,0–0,0.1,Nott'ham Forest,"31,463",The American Express Community Stadium,Darren England,Match Report,,2022,0.0,0.0
108,12,Tue,2022-10-18,20:15,Crystal Palace,1.2,2–1,0.8,Wolves,"25,125",Selhurst Park,David Coote,Match Report,,2022,2.0,1.0
109,12,Wed,2022-10-19,19:30,Bournemouth,1.0,0–1,1.0,Southampton,"10,405",Vitality Stadium,John Brooks,Match Report,,2022,0.0,1.0
110,12,Wed,2022-10-19,19:30,Brentford,1.3,0–0,0.9,Chelsea,"17,118",Brentford Community Stadium,Jarred Gillett,Match Report,,2022,0.0,0.0
111,12,Wed,2022-10-19,19:30,Liverpool,1.7,1–0,1.7,West Ham,"52,982",Anfield,Stuart Attwell,Match Report,,2022,1.0,0.0
112,12,Wed,2022-10-19,19:30,Newcastle Utd,1.5,1–0,0.2,Everton,"52,247",St James' Park,Tony Harrington,Match Report,,2022,1.0,0.0
113,12,Wed,2022-10-19,20:15,Manchester Utd,1.5,2–0,0.6,Tottenham,"73,677",Old Trafford,Simon Hooper,Match Report,,2022,2.0,0.0
114,12,Thu,2022-10-20,19:30,Fulham,2.1,3–0,1.2,Aston Villa,"23,508",Craven Cottage,Michael Oliver,Match Report,,2022,3.0,0.0
115,12,Thu,2022-10-20,20:15,Leicester City,0.8,2–0,1.3,Leeds United,"30,814",King Power Stadium,Peter Bankes,Match Report,,2022,2.0,0.0
117,13,Sat,2022-10-22,12:30,Nott'ham Forest,1.9,1–0,1.6,Liverpool,"29,245",The City Ground,Paul Tierney,Match Report,,2022,1.0,0.0
118,13,Sat,2022-10-22,15:00,Everton,1.4,3–0,0.9,Crystal Palace,"38,939",Goodison Park,Simon Hooper,Match Report,,2022,3.0,0.0
119,13,Sat,2022-10-22,15:00,Manchester City,1.6,3–1,0.5,Brighton,"53,223",Etihad Stadium,Craig Pawson,Match Report,,2022,3.0,1.0
120,13,Sat,2022-10-22,17:30,Chelsea,1.1,1–1,0.8,Manchester Utd,"39,503",Stamford Bridge,Stuart Attwell,Match Report,,2022,1.0,1.0
121,13,Sun,2022-10-23,14:00,Aston Villa,2.8,4–0,0.9,Brentford,"41,693",Villa Park,Darren England,Match Report,,2022,4.0,0.0
122,13,Sun,2022-10-23,14:00,Wolves,2.1,0–4,0.9,Leicester City,"31,425",Molineux Stadium,Michael Oliver,Match Report,,2022,0.0,4.0
123,13,Sun,2022-10-23,14:00,Leeds United,1.6,2–3,1.8,Fulham,"36,447",Elland Road,Anthony Taylor,Match Report,,2022,2.0,3.0
124,13,Sun,2022-10-23,14:00,Southampton,0.7,1–1,1.0,Arsenal,"31,145",St. Mary's Stadium,Robert Jones,Match Report,,2022,1.0,1.0
125,13,Sun,2022-10-23,16:30,Tottenham,1.6,1–2,1.2,Newcastle Utd,"61,726",Tottenham Hotspur Stadium,Jarred Gillett,Match Report,,2022,1.0,2.0
126,13,Mon,2022-10-24,20:00,West Ham,1.9,2–0,0.4,Bournemouth,"62,447",London Stadium,David Coote,Match Report,,2022,2.0,0.0
128,14,Sat,2022-10-29,12:30,Leicester City,0.7,0–1,1.0,Manchester City,"32,223",King Power Stadium,Robert Jones,Match Report,,2022,0.0,1.0
129,14,Sat,2022-10-29,15:00,Brentford,1.4,1–1,0.6,Wolves,"17,051",Brentford Community Stadium,Robert Madley,Match Report,,2022,1.0,1.0
130,14,Sat,2022-10-29,15:00,Crystal Palace,0.9,1–0,1.3,Southampton,"25,130",Selhurst Park,Michael Salisbury,Match Report,,2022,1.0,0.0
131,14,Sat,2022-10-29,15:00,Newcastle Utd,3.4,4–0,0.4,Aston Villa,"52,233",St James' Park,Paul Tierney,Match Report,,2022,4.0,0.0
132,14,Sat,2022-10-29,15:00,Brighton,2.4,4–1,1.4,Chelsea,"31,746",The American Express Community Stadium,Andy Madley,Match Report,,2022,4.0,1.0
133,14,Sat,2022-10-29,15:00,Bournemouth,0.5,2–3,2.0,Tottenham,"10,430",Vitality Stadium,Anthony Taylor,Match Report,,2022,2.0,3.0
134,14,Sat,2022-10-29,17:30,Fulham,1.9,0–0,0.9,Everton,"23,534",Craven Cottage,John Brooks,Match Report,,2022,0.0,0.0
135,14,Sat,2022-10-29,19:45,Liverpool,1.7,1–2,1.8,Leeds United,"53,274",Anfield,Michael Oliver,Match Report,,2022,1.0,2.0
136,14,Sun,2022-10-30,14:00,Arsenal,2.3,5–0,0.4,Nott'ham Forest,"60,263",Emirates Stadium,Simon Hooper,Match Report,,2022,5.0,0.0
137,14,Sun,2022-10-30,16:15,Manchester Utd,1.2,1–0,1.1,West Ham,"73,682",Old Trafford,Chris Kavanagh,Match Report,,2022,1.0,0.0
139,15,Sat,2022-11-05,15:00,Nott'ham Forest,1.5,2–2,1.5,Brentford,"28,869",The City Ground,Andre Marriner,Match Report,,2022,2.0,2.0
140,15,Sat,2022-11-05,15:00,Leeds United,2.2,4–3,1.5,Bournemouth,"36,304",Elland Road,Tony Harrington,Match Report,,2022,4.0,3.0
141,15,Sat,2022-11-05,15:00,Manchester City,2.1,2–1,1.0,Fulham,"52,395",Etihad Stadium,Darren England,Match Report,,2022,2.0,1.0
142,15,Sat,2022-11-05,15:00,Wolves,1.2,2–3,1.5,Brighton,"30,732",Molineux Stadium,Graham Scott,Match Report,,2022,2.0,3.0
143,15,Sat,2022-11-05,17:30,Everton,1.2,0–2,2.3,Leicester City,"39,206",Goodison Park,David Coote,Match Report,,2022,0.0,2.0
144,15,Sun,2022-11-06,12:00,Chelsea,0.3,0–1,2.1,Arsenal,"40,142",Stamford Bridge,Michael Oliver,Match Report,,2022,0.0,1.0
145,15,Sun,2022-11-06,14:00,West Ham,0.3,1–2,1.0,Crystal Palace,"62,451",London Stadium,Paul Tierney,Match Report,,2022,1.0,2.0
146,15,Sun,2022-11-06,14:00,Southampton,1.7,1–4,0.9,Newcastle Utd,"30,402",St. Mary's Stadium,Stuart Attwell,Match Report,,2022,1.0,4.0
147,15,Sun,2022-11-06,14:00,Aston Villa,0.6,3–1,0.5,Manchester Utd,"42,058",Villa Park,Anthony Taylor,Match Report,,2022,3.0,1.0
148,15,Sun,2022-11-06,16:30,Tottenham,1.2,1–2,1.2,Liverpool,"62,008",Tottenham Hotspur Stadium,Andy Madley,Match Report,,2022,1.0,2.0
150,16,Sat,2022-11-12,12:30,Manchester City,1.6,1–2,1.3,Brentford,"52,786",Etihad Stadium,Peter Bankes,Match Report,,2022,1.0,2.0
151,16,Sat,2022-11-12,15:00,Tottenham,1.8,4–3,1.1,Leeds United,"61,667",Tottenham Hotspur Stadium,Michael Salisbury,Match Report,,2022,4.0,3.0
152,16,Sat,2022-11-12,15:00,Liverpool,1.9,3–1,1.1,Southampton,"53,331",Anfield,Simon Hooper,Match Report,,2022,3.0,1.0
153,16,Sat,2022-11-12,15:00,Bournemouth,2.4,3–0,0.8,Everton,"10,382",Vitality Stadium,Craig Pawson,Match Report,,2022,3.0,0.0
154,16,Sat,2022-11-12,15:00,West Ham,1.4,0–2,1.8,Leicester City,"62,459",London Stadium,Jarred Gillett,Match Report,,2022,0.0,2.0
155,16,Sat,2022-11-12,15:00,Nott'ham Forest,1.1,1–0,1.2,Crystal Palace,"29,045",The City Ground,John Brooks,Match Report,,2022,1.0,0.0
156,16,Sat,2022-11-12,17:30,Newcastle Utd,1.0,1–0,0.3,Chelsea,"52,264",St James' Park,Robert Jones,Match Report,,2022,1.0,0.0
157,16,Sat,2022-11-12,19:45,Wolves,0.7,0–2,2.1,Arsenal,"34,624",Molineux Stadium,Stuart Attwell,Match Report,,2022,0.0,2.0
158,16,Sun,2022-11-13,14:00,Brighton,0.6,1–2,1.5,Aston Villa,"31,581",The American Express Community Stadium,Chris Kavanagh,Match Report,,2022,1.0,2.0
159,16,Sun,2022-11-13,16:30,Fulham,1.4,1–2,2.5,Manchester Utd,"24,246",Craven Cottage,Paul Tierney,Match Report,,2022,1.0,2.0
161,17,Mon,2022-12-26,12:30,Brentford,2.0,2–2,1.1,Tottenham,"17,137",Brentford Community Stadium,David Coote,Match Report,,2022,2.0,2.0
162,17,Mon,2022-12-26,15:00,Southampton,1.9,1–3,0.6,Brighton,"31,010",St. Mary's Stadium,Robert Jones,Match Report,,2022,1.0,3.0
163,17,Mon,2022-12-26,15:00,Leicester City,0.5,0–3,1.9,Newcastle Utd,"32,185",King Power Stadium,Jarred Gillett,Match Report,,2022,0.0,3.0
164,17,Mon,2022-12-26,15:00,Crystal Palace,0.4,0–3,2.5,Fulham,"25,176",Selhurst Park,Andy Madley,Match Report,,2022,0.0,3.0
165,17,Mon,2022-12-26,15:00,Everton,1.7,1–2,0.8,Wolves,"39,252",Goodison Park,Craig Pawson,Match Report,,2022,1.0,2.0
166,17,Mon,2022-12-26,17:30,Aston Villa,1.4,1–3,2.7,Liverpool,"42,085",Villa Park,Paul Tierney,Match Report,,2022,1.0,3.0
167,17,Mon,2022-12-26,20:00,Arsenal,2.1,3–1,1.0,West Ham,"60,125",Emirates Stadium,Michael Oliver,Match Report,,2022,3.0,1.0
168,17,Tue,2022-12-27,17:30,Chelsea,1.8,2–0,0.5,Bournemouth,"40,046",Stamford Bridge,Simon Hooper,Match Report,,2022,2.0,0.0
169,17,Tue,2022-12-27,20:00,Manchester Utd,2.4,3–0,0.7,Nott'ham Forest,"73,608",Old Trafford,Anthony Taylor,Match Report,,2022,3.0,0.0
170,17,Wed,2022-12-28,20:00,Leeds United,0.6,1–3,4.3,Manchester City,"36,889",Elland Road,Stuart Attwell,Match Report,,2022,1.0,3.0
172,18,Fri,2022-12-30,19:45,West Ham,1.3,0–2,1.6,Brentford,"62,467",London Stadium,Darren England,Match Report,,2022,0.0,2.0
173,18,Fri,2022-12-30,20:00,Liverpool,2.2,2–1,1.0,Leicester City,"53,343",Anfield,Craig Pawson,Match Report,,2022,2.0,1.0
174,18,Sat,2022-12-31,12:30,Wolves,0.7,0–1,2.0,Manchester Utd,"31,658",Molineux Stadium,Robert Jones,Match Report,,2022,0.0,1.0
175,18,Sat,2022-12-31,15:00,Newcastle Utd,2.2,0–0,0.4,Leeds United,"52,211",St James' Park,Simon Hooper,Match Report,,2022,0.0,0.0
176,18,Sat,2022-12-31,15:00,Fulham,1.5,2–1,0.8,Southampton,"24,344",Craven Cottage,Graham Scott,Match Report,,2022,2.0,1.0
177,18,Sat,2022-12-31,15:00,Manchester City,1.7,1–1,0.1,Everton,"53,444",Etihad Stadium,Andy Madley,Match Report,,2022,1.0,1.0
178,18,Sat,2022-12-31,15:00,Bournemouth,0.6,0–2,1.6,Crystal Palace,"9,972",Vitality Stadium,Andre Marriner,Match Report,,2022,0.0,2.0
179,18,Sat,2022-12-31,17:30,Brighton,1.2,2–4,2.9,Arsenal,"31,647",The American Express Community Stadium,Anthony Taylor,Match Report,,2022,2.0,4.0
180,18,Sun,2023-01-01,14:00,Tottenham,0.7,0–2,1.0,Aston Villa,"61,651",Tottenham Hotspur Stadium,John Brooks,Match Report,,2022,0.0,2.0
181,18,Sun,2023-01-01,16:30,Nott'ham Forest,1.4,1–1,0.9,Chelsea,"29,229",The City Ground,Peter Bankes,Match Report,,2022,1.0,1.0
183,19,Mon,2023-01-02,17:30,Brentford,1.7,3–1,2.0,Liverpool,"17,163",Brentford Community Stadium,Stuart Attwell,Match Report,,2022,3.0,1.0
184,19,Tue,2023-01-03,19:45,Leicester City,1.7,0–1,1.7,Fulham,"30,813",King Power Stadium,Darren Bond,Match Report,,2022,0.0,1.0
185,19,Tue,2023-01-03,19:45,Everton,1.3,1–4,2.2,Brighton,"39,103",Goodison Park,Andre Marriner,Match Report,,2022,1.0,4.0
186,19,Tue,2023-01-03,19:45,Arsenal,1.1,0–0,1.0,Newcastle Utd,"60,319",Emirates Stadium,Andy Madley,Match Report,,2022,0.0,0.0
