Unnamed: 0,gameweek,home_team,home_score,home_xg,away_team,away_score,away_xg,referee,season
200,19,Wimbledon,5,0,Oldham Athletic,2,0,Keith Hackett,1992
201,19,Southampton,2,0,Coventry City,2,0,Bob Nixon,1992
202,19,Sheffield Utd,1,0,Everton,0,0,Kelvin Morton,1992
203,19,QPR,1,0,Crystal Palace,3,0,Robbie Hart,1992
204,19,Tottenham,1,0,Arsenal,0,0,Alf Buksh,1992
205,19,Aston Villa,2,0,Nott'ham Forest,1,0,Joe Worrall,1992
206,19,Leeds United,3,0,Sheffield Weds,1,0,Jim Borrett,1992
207,19,Ipswich Town,3,0,Manchester City,1,0,Raymond Lewis,1992
208,19,Liverpool,2,0,Blackburn,1,0,Philip Don,1992
209,20,Sheffield Weds,1,0,QPR,0,0,Joe Worrall,1992
210,20,Everton,2,0,Southampton,1,0,Mike Peck,1992
211,20,Oldham Athletic,2,0,Tottenham,1,0,Roger Milford,1992
212,20,Blackburn,1,0,Sheffield Utd,0,0,Dermot Gallagher,1992
213,20,Arsenal,1,0,Middlesbrough,1,0,Stephen Lodge,1992
214,20,Manchester City,1,0,Aston Villa,1,0,Ray Bigger,1992
215,20,Chelsea,1,0,Manchester Utd,1,0,Raymond Lewis,1992
216,20,Coventry City,5,0,Liverpool,1,0,Kelvin Morton,1992
217,20,Crystal Palace,1,0,Leeds United,0,0,Alan Gunn,1992
218,20,Nott'ham Forest,1,0,Wimbledon,1,0,Robbie Hart,1992
219,20,Norwich City,0,0,Ipswich Town,2,0,David Elleray,1992
220,21,Blackburn,3,0,Leeds United,1,0,Stephen Lodge,1992
221,21,Norwich City,0,0,Tottenham,0,0,John Martin,1992
222,21,Coventry City,3,0,Aston Villa,0,0,Roger Dilkes,1992
223,21,Crystal Palace,2,0,Wimbledon,0,0,Raymond Lewis,1992
224,21,Chelsea,1,0,Southampton,1,0,Alan Gunn,1992
225,21,Arsenal,0,0,Ipswich Town,0,0,Roger Milford,1992
226,21,Everton,2,0,Middlesbrough,2,0,Ron Groves,1992
227,21,Sheffield Weds,3,0,Manchester Utd,3,0,Alf Buksh,1992
228,21,Manchester City,2,0,Sheffield Utd,0,0,Keren Barratt,1992
229,22,Aston Villa,1,0,Arsenal,0,0,Martin Bodenham,1992
230,22,Manchester Utd,5,0,Coventry City,0,0,Ron Groves,1992
231,22,QPR,4,0,Everton,2,0,Gerald Ashby,1992
232,22,Southampton,1,0,Sheffield Weds,2,0,Roger Milford,1992
233,22,Middlesbrough,0,0,Crystal Palace,1,0,Keith Hackett,1992
234,22,Ipswich Town,2,0,Blackburn,1,0,Alan Gunn,1992
235,22,Tottenham,2,0,Nott'ham Forest,1,0,Mike Reed,1992
236,22,Leeds United,0,0,Norwich City,0,0,Philip Don,1992
237,22,Wimbledon,0,0,Chelsea,0,0,David Elleray,1992
238,22,Liverpool,1,0,Manchester City,1,0,David Allison,1992
239,23,Coventry City,0,0,Nott'ham Forest,1,0,Martin Bodenham,1992
240,23,Middlesbrough,0,0,QPR,1,0,Roger Dilkes,1992
241,23,Manchester Utd,4,0,Tottenham,1,0,Mike Peck,1992
242,23,Crystal Palace,0,0,Everton,2,0,Roger Milford,1992
243,23,Blackburn,0,0,Wimbledon,0,0,Robbie Hart,1992
244,23,Liverpool,1,0,Aston Villa,2,0,Keith Hackett,1992
245,23,Leeds United,2,0,Southampton,1,0,Ron Groves,1992
246,23,Chelsea,2,0,Manchester City,4,0,Vic Callow,1992
247,23,Arsenal,1,0,Sheffield Utd,1,0,Gerald Ashby,1992
248,23,Ipswich Town,1,0,Oldham Athletic,2,0,Ken Redfern,1992
249,23,Sheffield Weds,1,0,Norwich City,0,0,David Allison,1992
250,24,Wimbledon,2,0,Liverpool,0,0,Roger Dilkes,1992
251,24,Nott'ham Forest,3,0,Chelsea,0,0,Paul Durkin,1992
252,24,Oldham Athletic,0,0,Blackburn,1,0,Alf Buksh,1992
253,24,Sheffield Utd,3,0,Ipswich Town,0,0,David Allison,1992
254,24,Norwich City,1,0,Coventry City,1,0,Alan Gunn,1992
255,24,Manchester City,0,0,Arsenal,1,0,Keith Burge,1992
256,24,Southampton,1,0,Crystal Palace,0,0,Philip Don,1992
257,24,Tottenham,0,0,Sheffield Weds,2,0,Kelvin Morton,1992
258,24,Everton,2,0,Leeds United,0,0,David Elleray,1992
259,24,Aston Villa,5,0,Middlesbrough,1,0,Keith Cooper,1992
260,24,QPR,1,0,Manchester Utd,3,0,John Martin,1992
261,28,Coventry City,3,0,Oldham Athletic,0,0,Raymond Lewis,1992
262,25,Wimbledon,1,0,Everton,3,0,Keith Hackett,1992
263,25,Blackburn,2,0,Coventry City,5,0,Ken Redfern,1992
264,25,Middlesbrough,2,0,Southampton,1,0,Peter Foakes,1992
265,25,Oldham Athletic,0,0,Manchester City,1,0,Jim Borrett,1992
266,25,Tottenham,0,0,Ipswich Town,2,0,Stephen Lodge,1992
267,25,Norwich City,4,0,Crystal Palace,2,0,Vic Callow,1992
268,25,Manchester Utd,2,0,Nott'ham Forest,0,0,Joe Worrall,1992
269,25,QPR,1,0,Chelsea,1,0,Tony Ward,1992
270,25,Aston Villa,3,0,Sheffield Utd,1,0,Keith Burge,1992
271,26,Leeds United,3,0,Middlesbrough,0,0,John Martin,1992
272,26,Everton,0,0,Norwich City,1,0,Raymond Lewis,1992
273,26,Chelsea,0,0,Sheffield Weds,2,0,Peter Foakes,1992
274,26,Nott'ham Forest,2,0,Oldham Athletic,0,0,Philip Don,1992
275,26,Southampton,2,0,Aston Villa,0,0,Philip Wright,1992
276,26,Crystal Palace,1,0,Tottenham,3,0,David Elleray,1992
277,26,Coventry City,0,0,Wimbledon,2,0,Rodger Gifford,1992
278,26,Ipswich Town,2,0,Manchester Utd,1,0,John Key,1992
279,26,Sheffield Utd,1,0,QPR,2,0,Vic Callow,1992
280,26,Manchester City,3,0,Blackburn,2,0,Mike Peck,1992
281,26,Arsenal,0,0,Liverpool,1,0,Keith Cooper,1992
282,27,Blackburn,1,0,Crystal Palace,2,0,Philip Wright,1992
283,27,Manchester Utd,2,0,Sheffield Utd,1,0,Fletcher,1992
284,27,Middlesbrough,0,0,Coventry City,2,0,Jim Borrett,1992
285,27,QPR,1,0,Manchester City,1,0,Mike Reed,1992
286,27,Sheffield Weds,3,0,Everton,1,0,Kelvin Morton,1992
287,27,Aston Villa,2,0,Ipswich Town,0,0,Paul Durkin,1992
288,27,Oldham Athletic,3,0,Chelsea,1,0,Roger Milford,1992
289,27,Liverpool,0,0,Nott'ham Forest,0,0,Keren Barratt,1992
290,27,Wimbledon,1,0,Leeds United,0,0,Vic Callow,1992
291,27,Tottenham,4,0,Southampton,2,0,Ken Redfern,1992
292,28,Leeds United,0,0,Manchester Utd,0,0,Kelvin Morton,1992
293,28,Sheffield Utd,2,0,Middlesbrough,0,0,Tony Ward,1992
