"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05u7f*","Ibrahima Konate","LIV","D","313","W (Fri)","@CHE Sun 8:30AM","0","0","100%","104.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03yq8*","Demarai Gray","EVE","M,F","230","W (Fri)","FUL Sat 7:00AM","0","0","100%","105.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03v6w*","Ivan Toney","BRF","F","579","W (Fri)","TOT Sun 6:00AM","0","0","75%","106","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03yu2*","Abdoulaye Doucoure","EVE","M","162","W (Fri)","FUL Sat 7:00AM","0","0","100%","107","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04u41*","Mateo Kovacic","MCI","M","317","W (Fri)","@BUR Fri 12:00PM","0","0","100%","107.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062dt*","Joao Palhinha","FUL","M","339","W (Fri)","@EVE Sat 7:00AM","0","0","25%","108","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02y6o*","Nathan Ake","MCI","D","14","W (Fri)","@BUR Fri 12:00PM","0","0","50%","109.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lsa*","Dan Burn","NEW","D","90","W (Fri)","AVL Sat 9:30AM","0","0","100%","111.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05nzu*","Gabriel Magalhaes","ARS","D","645","W (Fri)","NOT Sat 4:30AM","0","0","100%","111.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rb8*","Moises Caicedo","BHA","M","92","W (Fri)","LUT Sat 7:00AM","0","0","100%","112","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*037wp*","Christian Eriksen","MUN","M","181","W (Fri)","WOL Mon 12:00PM","0","0","100%","112.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*056iy*","Pedro Neto","WOL","M,F","341","W (Fri)","@MUN Mon 12:00PM","0","0","100%","112.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0477b*","Oliver McBurnie","SHU","F","375","W (Fri)","CRY Sat 7:00AM","0","0","75%","113.33","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04e1e*","Ben White","ARS","D","613","W (Fri)","NOT Sat 4:30AM","0","0","100%","113.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03rxs*","Harry Wilson","FUL","M","621","W (Fri)","@EVE Sat 7:00AM","0","0","100%","114.5","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04fk6*","Bernardo Silva","MCI","M,F","595","W (Fri)","@BUR Fri 12:00PM","0","0","75%","114.67","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y9n*","Lewis Hall","CHE","D,M","241","W (Fri)","LIV Sun 8:30AM","0","0","100%","116.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
