Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Liverpool,che (9.4),BOU (13.3),new (7.2),AVL (9.6),wol (11.2),WHU (12.5),tot (11.4),bha (9),EVE (13.2),NOT (13.8),lut (12.3),BRF (9.9),mci (7),FUL (11.5),shu (12.3),cry (8.9),MUN (9.9),ARS (9.9),bur (12.3),NEW (8.3),bou (11.4),CHE (10.9),ars (8.5),BUR (14.3),brf (8.5),LUT (14.3),not (11.8),MCI (8.1),eve (11.3),BHA (10.4),SHU (14.3),mun (8.5),CRY (10.4),ful (9.9),whu (10.7),TOT (13.3),avl (8.3),WOL (13)
West Ham,bou (11.4),CHE (10.9),bha (9),lut (12.3),MCI (8.1),liv (10),SHU (14.3),NEW (8.3),avl (8.3),EVE (13.2),brf (8.5),NOT (13.8),bur (12.3),CRY (10.4),tot (11.4),ful (9.9),WOL (13),MUN (9.9),ars (8.5),BHA (10.4),shu (12.3),BOU (13.3),mun (8.5),ARS (9.9),not (11.8),BRF (9.9),eve (11.3),BUR (14.3),AVL (9.6),new (7.2),TOT (13.3),wol (11.2),FUL (11.5),cry (8.9),LIV (11.6),che (9.4),LUT (14.3),mci (7)
Wolves,mun (8.5),BHA (10.4),eve (11.3),cry (8.9),LIV (11.6),lut (12.3),MCI (8.1),AVL (9.6),bou (11.4),NEW (8.3),shu (12.3),TOT (13.3),ful (9.9),ars (8.5),BUR (14.3),NOT (13.8),whu (10.7),CHE (10.9),brf (8.5),EVE (13.2),bha (9),MUN (9.9),che (9.4),BRF (9.9),tot (11.4),SHU (14.3),new (7.2),FUL (11.5),BOU (13.3),avl (8.3),bur (12.3),WHU (12.5),not (11.8),ARS (9.9),LUT (14.3),mci (7),CRY (10.4),liv (10)
Everton,FUL (11.5),avl (8.3),WOL (13),shu (12.3),ARS (9.9),brf (8.5),LUT (14.3),BOU (13.3),liv (10),whu (10.7),BHA (10.4),cry (8.9),MUN (9.9),not (11.8),NEW (8.3),CHE (10.9),bur (12.3),tot (11.4),MCI (8.1),wol (11.2),AVL (9.6),ful (9.9),TOT (13.3),mci (7),CRY (10.4),bha (9),WHU (12.5),mun (8.5),LIV (11.6),bou (11.4),new (7.2),BUR (14.3),che (9.4),NOT (13.8),BRF (9.9),lut (12.3),SHU (14.3),ars (8.5)
Tottenham,brf (8.5),MUN (9.9),bou (11.4),bur (12.3),SHU (14.3),ars (8.5),LIV (11.6),lut (12.3),FUL (11.5),cry (8.9),CHE (10.9),wol (11.2),AVL (9.6),mci (7),WHU (12.5),NEW (8.3),not (11.8),EVE (13.2),bha (9),BOU (13.3),mun (8.5),BRF (9.9),eve (11.3),BHA (10.4),WOL (13),che (9.4),CRY (10.4),avl (8.3),ful (9.9),LUT (14.3),whu (10.7),NOT (13.8),new (7.2),MCI (8.1),ARS (9.9),liv (10),BUR (14.3),shu (12.3)
Bournemouth,WHU (12.5),liv (10),TOT (13.3),brf (8.5),CHE (10.9),bha (9),ARS (9.9),eve (11.3),WOL (13),BUR (14.3),mci (7),NEW (8.3),shu (12.3),AVL (9.6),cry (8.9),mun (8.5),LUT (14.3),not (11.8),FUL (11.5),tot (11.4),LIV (11.6),whu (10.7),NOT (13.8),ful (9.9),new (7.2),MCI (8.1),bur (12.3),SHU (14.3),wol (11.2),EVE (13.2),CRY (10.4),lut (12.3),MUN (9.9),avl (8.3),BHA (10.4),ars (8.5),BRF (9.9),che (9.4)
Nott'ham Forest,ars (8.5),SHU (14.3),mun (8.5),che (9.4),BUR (14.3),mci (7),BRF (9.9),cry (8.9),LUT (14.3),liv (10),AVL (9.6),whu (10.7),BHA (10.4),EVE (13.2),ful (9.9),wol (11.2),TOT (13.3),BOU (13.3),new (7.2),MUN (9.9),brf (8.5),ARS (9.9),bou (11.4),NEW (8.3),WHU (12.5),avl (8.3),LIV (11.6),bha (9),lut (12.3),CRY (10.4),FUL (11.5),tot (11.4),WOL (13),eve (11.3),MCI (8.1),shu (12.3),CHE (10.9),bur (12.3)
Sheffield Utd,CRY (10.4),not (11.8),MCI (8.1),EVE (13.2),tot (11.4),NEW (8.3),whu (10.7),ful (9.9),MUN (9.9),ars (8.5),WOL (13),bha (9),BOU (13.3),bur (12.3),LIV (11.6),BRF (9.9),che (9.4),avl (8.3),LUT (14.3),mci (7),WHU (12.5),cry (8.9),AVL (9.6),lut (12.3),BHA (10.4),wol (11.2),ARS (9.9),bou (11.4),mun (8.5),FUL (11.5),liv (10),CHE (10.9),brf (8.5),BUR (14.3),new (7.2),NOT (13.8),eve (11.3),TOT (13.3)
Burnley,MCI (8.1),lut (12.3),AVL (9.6),TOT (13.3),not (11.8),MUN (9.9),new (7.2),CHE (10.9),brf (8.5),bou (11.4),CRY (10.4),ars (8.5),WHU (12.5),SHU (14.3),wol (11.2),bha (9),EVE (13.2),ful (9.9),LIV (11.6),avl (8.3),LUT (14.3),mci (7),FUL (11.5),liv (10),ARS (9.9),cry (8.9),BOU (13.3),whu (10.7),BRF (9.9),che (9.4),WOL (13),eve (11.3),BHA (10.4),shu (12.3),mun (8.5),NEW (8.3),tot (11.4),NOT (13.8)
Luton,bha (9),BUR (14.3),che (9.4),WHU (12.5),ful (9.9),WOL (13),eve (11.3),TOT (13.3),not (11.8),avl (8.3),LIV (11.6),mun (8.5),CRY (10.4),brf (8.5),ARS (9.9),MCI (8.1),bou (11.4),NEW (8.3),shu (12.3),CHE (10.9),bur (12.3),BHA (10.4),new (7.2),SHU (14.3),MUN (9.9),liv (10),AVL (9.6),cry (8.9),NOT (13.8),tot (11.4),ars (8.5),BOU (13.3),mci (7),BRF (9.9),wol (11.2),EVE (13.2),whu (10.7),FUL (11.5)
