Player,gPPS,Prev gPts,Team,Starts,gPPS Form,gPP90,22/23 gPPS,Pos
Mathias Jensen,8.5,8.00,BRF,4,8.5,10.6,5.9,M
Thomas Partey,8.5,0.00,ARS,3,8.5,9.8,6.1,M
Jordan Ayew,8.4,9.00,CRY,4,8.4,8.4,5.9,F
Milos Kerkez,8.4,8.25,BOU,4,8.4,8.4,,D
Anel Ahmedhodzic,8.3,10.00,SHU,4,8.3,8.3,,D
Bart Verbruggen,8.3,7.25,BHA,2,0.0,8.3,,G
Diogo Jota,8.3,0.00,LIV,2,0.0,9.5,6.0,F
Gabriel Magalhaes,8.3,8.25,ARS,1,0.0,9.4,6.6,D
Antony,8.1,5.00,MUN,4,8.1,9.5,6.4,F
Dejan Kulusevski,8.1,10.50,TOT,4,8.1,8.3,7.2,M
Illia Zabarnyi,8.1,5.25,BOU,4,8.1,8.1,3.3,D
Philip Billing,8.1,9.50,BOU,4,8.1,8.2,5.8,M
Emerson,8.0,2.50,WHU,4,8.0,8.0,5.9,D
Mohamed Salah,8.0,11.00,LIV,4,8.0,8.4,7.1,F
Andrew Robertson,7.9,6.50,LIV,4,7.9,7.9,7.5,D
Dominik Szoboszlai,7.9,8.00,LIV,4,7.9,7.9,,M
Nicolas Jackson,7.9,5.50,CHE,4,7.9,8.1,,F
Rodri,7.9,2.00,MCI,4,7.9,8.2,6.9,M
Axel Disasi,7.8,9.50,CHE,4,7.8,7.8,,D
Jeffrey Schlupp,7.8,7.50,CRY,4,7.8,9.2,5.1,M
Rico Henry,7.8,6.00,BRF,4,7.8,7.8,5.6,D
Virgil van Dijk,7.7,0.00,LIV,3,7.7,10.0,7.1,D
Mark Flekken,7.6,7.25,BRF,4,7.6,7.6,,G
Nick Pope,7.6,8.25,NEW,4,7.6,7.6,6.5,G
Serge Aurier,7.6,3.00,NOT,4,7.6,8.0,7.8,D
Iyenoma Destiny Udogie,7.5,9.25,TOT,4,7.5,8.2,,D
James Ward-Prowse,7.5,7.00,WHU,3,7.5,7.8,9.0,M
Leandro Trossard,7.5,0.00,ARS,1,0.0,17.0,6.2,M
Odsonne Edouard,7.5,7.50,CRY,4,7.5,8.0,3.6,F
Scott McKenna,7.5,8.25,NOT,4,7.5,8.3,5.7,D
Michael Keane,7.4,0.00,EVE,2,0.0,7.6,11.5,D
Rayan Ait-Nouri,7.4,6.25,WOL,3,7.4,7.3,6.8,D
Christian Eriksen,7.3,7.50,MUN,2,0.0,7.0,5.6,M
Jason Steele,7.3,0.00,BHA,2,0.0,7.3,6.3,G
Joe Worrall,7.3,5.75,NOT,4,7.3,7.8,6.7,D
Jordan Pickford,7.3,15.25,EVE,4,7.3,7.3,8.0,G
Max Kilman,7.3,3.50,WOL,4,7.3,7.3,6.3,D
Pape Sarr,7.3,6.00,TOT,3,7.3,10.7,4.0,M
Ryan Giles,7.2,8.00,LUT,3,7.2,7.7,,M
Bryan Mbeumo,7.1,9.50,BRF,4,7.1,7.1,6.9,F
Casemiro,7.1,3.50,MUN,4,7.1,7.1,7.9,M
Ibrahima Konate,7.1,0.00,LIV,2,0.0,7.1,7.7,D
Nathan Ake,7.1,8.25,MCI,3,7.1,7.4,4.8,D
Alfie Doughty,7.0,7.00,LUT,1,0.0,7.1,,M
Declan Rice,7.0,5.50,ARS,4,7.0,7.0,7.0,M
Gustavo Hamer,7.0,10.00,SHU,3,7.0,7.0,,M
Joelinton,7.0,4.00,NEW,4,7.0,8.9,8.5,M
Mario Lemina,7.0,13.50,WOL,4,7.0,7.0,4.2,M
Matty Cash,7.0,2.50,AVL,4,7.0,7.1,6.0,D
Moussa Diaby,7.0,4.00,AVL,4,7.0,8.1,,F
Neal Maupay,7.0,0.00,BRF,1,0.0,7.0,4.7,F
Vladimir Coufal,7.0,9.50,WHU,4,7.0,7.0,7.9,D
James Tarkowski,6.9,6.00,EVE,4,6.9,6.9,9.9,D
Nayef Aguerd,6.9,7.25,WHU,3,6.9,7.6,7.2,D
Nelson Semedo,6.9,8.75,WOL,4,6.9,6.9,5.8,D
Carlton Morris,6.8,7.50,LUT,3,6.8,6.8,,F
Christian Norgaard,6.8,12.00,BRF,4,6.8,7.4,6.1,M
Gabriel Martinelli,6.8,8.00,ARS,4,6.8,7.3,7.6,M
Joao Pedro,6.8,6.50,BHA,2,0.0,8.0,,F
Ross Barkley,6.8,12.00,LUT,2,0.0,8.3,,M
Sven Botman,6.8,0.00,NEW,3,6.8,6.9,6.3,D
Adam Webster,6.6,0.00,BHA,2,0.0,6.6,5.9,D
Conor Gallagher,6.6,4.50,CHE,4,6.6,7.6,6.3,M
Levi Colwill,6.6,8.25,CHE,4,6.6,6.6,6.1,D
Nathan Patterson,6.6,9.25,EVE,4,6.6,6.6,5.5,D
Raheem Sterling,6.6,4.00,CHE,4,6.6,6.9,5.3,F
Arnaut Danjuma Groeneveld,6.5,7.50,EVE,2,0.0,7.1,0.5,F
Chris Basham,6.5,0.00,SHU,1,0.0,8.7,,D
Jakub Kiwior,6.5,0.00,ARS,1,0.0,6.4,5.9,D
Oliver Norwood,6.5,6.50,SHU,4,6.5,6.7,,M
Ryan Christie,6.5,9.00,BOU,4,6.5,8.6,6.4,M
Cristian Romero,6.4,8.75,TOT,4,6.4,8.1,7.9,D
Diogo Dalot,6.4,6.00,MUN,2,0.0,6.1,9.7,D
James Garner,6.4,4.00,EVE,4,6.4,6.8,6.6,M
Matheus Cunha,6.4,3.50,WOL,4,6.4,6.8,4.5,F
Max Aarons,6.4,6.25,BOU,4,6.4,6.7,,D
Amadou Onana,6.3,5.00,EVE,4,6.3,6.3,6.0,M
Angelo Ogbonna,6.3,0.00,WHU,1,0.0,5.5,5.9,D
Anthony Gordon,6.3,4.50,NEW,4,6.3,8.0,5.4,M
Ben White,6.3,9.50,ARS,4,6.3,6.3,5.2,D
Cheick Doucoure,6.3,9.50,CRY,4,6.3,6.3,6.0,M
Edson Alvarez,6.3,7.50,WHU,2,0.0,7.0,,M
Joseph Gomez,6.3,6.25,LIV,1,0.0,7.9,7.4,D
Kevin Schade,6.3,12.00,BRF,3,6.3,7.4,6.0,M
Marvelous Nakamba,6.3,8.50,LUT,3,6.3,6.3,0.0,M
Pedro Porro,6.3,7.50,TOT,3,6.3,6.4,9.3,D
Taiwo Awoniyi,6.2,4.50,NOT,3,6.2,7.5,3.8,F
George Baldock,6.1,12.50,SHU,3,6.1,6.6,,D
Micky van de Ven,6.1,5.00,TOT,4,6.1,6.1,,D
Bernardo Silva,6.0,0.00,MCI,2,0.0,5.6,5.7,M
Jeremy Doku,6.0,6.00,MCI,1,0.0,7.2,,F
Kristoffer Ajer,6.0,0.00,BRF,1,0.0,9.3,4.3,D
Mahmoud Dahoud,6.0,0.00,BHA,1,0.0,7.7,,M
Malo Gusto,6.0,4.00,CHE,3,6.0,6.2,,D
Marcus Rashford,6.0,7.00,MUN,4,6.0,6.2,6.3,F
Max Lowe,6.0,0.00,SHU,2,0.0,8.7,,D
Reece Burke,6.0,8.75,LUT,2,0.0,6.5,,D
Yasser Larouci,6.0,6.00,SHU,1,0.0,6.6,,D
Kenny Tete,5.9,2.50,FUL,4,5.9,6.3,8.5,D
Marcos Senesi,5.9,4.50,BOU,3,5.9,6.9,6.3,D
William Saliba,5.9,7.50,ARS,4,5.9,5.9,5.6,D
Ben Mee,5.8,5.75,BRF,1,0.0,6.5,8.5,D
Douglas Luiz,5.8,3.50,AVL,4,5.8,6.7,6.5,M
Ollie Watkins,5.8,1.00,AVL,4,5.8,6.5,6.0,F
Nathan Collins,5.6,0.00,BRF,3,5.6,6.5,5.9,D
Yoane Wissa,5.6,2.00,BRF,4,5.6,6.2,3.8,F
David Brooks,5.5,0.00,BOU,1,0.0,9.5,5.0,M
Eddie Nketiah,5.5,8.50,ARS,3,5.5,6.5,4.3,F
Joao Palhinha,5.5,0.00,FUL,1,0.0,5.2,5.8,M
Luca Koleosho,5.5,6.50,BUR,3,5.5,7.7,,F
Vinicius de Souza Costa,5.5,2.50,SHU,3,5.5,6.0,,M
Alexis Mac Allister,5.4,4.00,LIV,4,5.4,6.3,8.2,M
Martin Odegaard,5.4,5.00,ARS,4,5.4,5.5,8.1,M
Manuel Akanji,5.3,3.50,MCI,3,5.3,5.3,4.0,D
Marc Guehi,5.3,4.25,CRY,4,5.3,5.3,6.1,D
Pablo Sarabia,5.3,4.50,WOL,2,0.0,11.2,3.7,M
Tim Ream,5.3,8.75,FUL,3,5.3,5.8,5.3,D
Boubacar Kamara,5.1,4.00,AVL,4,5.1,5.1,4.4,M
Dominic Solanke,5.1,5.00,BOU,4,5.1,5.1,4.7,F
Joel Ward,5.1,3.75,CRY,4,5.1,5.2,7.1,D
Kai Havertz,5.1,4.00,ARS,4,5.1,5.9,6.2,F
Kyle Walker,5.1,2.25,MCI,4,5.1,5.1,3.9,D
Lewis Dunk,5.1,4.75,BHA,4,5.1,5.1,5.4,D
Jack Robinson,5.0,5.25,SHU,4,5.0,5.2,,D
Joel Matip,5.0,6.50,LIV,2,0.0,5.4,6.9,D
John McGinn,5.0,4.00,AVL,4,5.0,5.4,5.5,M
Lewis Dobbin,5.0,0.00,EVE,1,0.0,8.9,,F
Mateo Kovacic,5.0,4.00,MCI,3,5.0,5.4,4.8,M
Pablo Fornals,5.0,0.00,WHU,1,0.0,9.0,4.4,M
Ezri Konsa,4.9,6.75,AVL,4,4.9,4.9,4.7,D
Sandro Tonali,4.9,5.50,NEW,4,4.9,6.2,,M
Billy Gilmour,4.8,6.00,BHA,3,4.8,6.6,2.4,M
Emerson Royal,4.8,0.00,TOT,1,0.0,5.3,6.7,D
Harrison Reed,4.8,1.00,FUL,3,4.8,5.6,4.8,M
Hugo Bueno,4.8,0.00,WOL,1,0.0,9.1,5.8,D
Josko Gvardiol,4.8,0.00,MCI,2,0.0,6.4,,D
Ryan Yates,4.8,8.50,NOT,3,4.8,5.3,3.2,M
Cody Gakpo,4.7,0.00,LIV,3,4.7,6.1,5.6,F
Issa Diop,4.7,5.00,FUL,4,4.7,4.7,6.1,D
Zeki Amdouni,4.7,6.00,BUR,3,4.7,6.3,,F
Dan Burn,4.6,3.25,NEW,4,4.6,4.6,7.0,D
Michail Antonio,4.6,2.50,WHU,4,4.6,5.4,4.0,F
Johann Gudmundsson,4.5,4.50,BUR,1,0.0,13.0,,M
Luis Diaz,4.5,0.50,LIV,4,4.5,6.3,5.7,F
Ola Aina,4.5,2.50,NOT,3,4.5,5.2,,D
Antonee Robinson,4.4,4.00,FUL,4,4.4,4.4,7.6,D
Danilo,4.4,2.00,NOT,4,4.4,5.6,4.5,M
Issa Kabore,4.4,0.00,LUT,2,0.0,5.9,,D
Raphael Varane,4.4,0.00,MUN,3,4.4,5.3,5.3,D
Aaron Hickey,4.3,7.50,BRF,4,4.3,4.9,4.3,D
Ameen Al Dakhil,4.3,3.25,BUR,3,4.3,4.3,,D
Fabian Schar,4.3,8.75,NEW,4,4.3,4.3,8.7,D
Joao Gomes,4.3,2.50,WOL,4,4.3,4.9,5.1,M
Lisandro Martinez,4.3,3.50,MUN,4,4.3,5.3,6.8,D
Raul Jimenez,4.3,9.00,FUL,4,4.3,4.9,4.1,F
Said Benrahma,4.3,3.50,WHU,3,4.3,7.9,8.3,M
Tyrick Mitchell,4.3,2.50,CRY,4,4.3,4.3,5.8,D
Tyrone Mings,4.3,0.00,AVL,1,0.0,12.8,5.7,D
Vitinho,4.3,0.00,BUR,1,0.0,4.3,,D
Antoine Semenyo,4.2,2.50,BOU,3,4.2,5.3,2.0,F
Joe Rothwell,4.2,0.00,BOU,3,4.2,5.4,4.7,M
Robert Sanchez,4.2,6.25,CHE,4,4.2,4.2,5.6,G
Alexander Isak,4.1,5.00,NEW,4,4.1,5.4,6.5,F
Miguel Almiron,4.1,2.00,NEW,4,4.1,4.7,5.3,M
Sam Johnstone,4.1,5.00,CRY,4,4.1,4.1,6.8,G
Alejandro Garnacho,4.0,0.00,MUN,2,0.0,4.9,,M
Kevin De Bruyne,4.0,0.00,MCI,1,0.0,16.4,10.9,M
Pau Torres,4.0,6.50,AVL,3,4.0,4.9,,D
Sasa Lukic,4.0,0.00,FUL,3,4.0,4.3,2.1,M
Ruben Dias,3.9,6.25,MCI,3,3.9,3.9,4.8,D
Bruno Guimaraes,3.8,4.50,NEW,4,3.8,3.8,6.4,M
Ederson,3.8,6.00,MCI,4,3.8,3.8,3.3,G
Fabio Silva,3.8,2.50,WOL,3,3.8,8.1,,F
Lyle Foster,3.7,6.50,BUR,3,3.7,3.8,,F
Richarlison,3.7,0.00,TOT,3,3.7,4.6,5.3,F
Idrissa Gueye,3.6,4.50,EVE,4,3.6,4.2,5.6,M
Darwin Nunez,3.5,3.50,LIV,1,0.0,8.4,6.8,F
Harry Wilson,3.5,0.00,FUL,4,3.5,3.8,3.5,M
Mason Mount,3.5,0.00,MUN,2,0.0,4.2,6.0,M
Anthony Martial,3.3,4.50,MUN,2,0.0,5.9,4.0,F
Moises Caicedo,3.3,1.00,CHE,2,0.0,4.4,7.1,M
Elijah Adebayo,3.2,3.00,LUT,3,3.2,4.2,,F
James Milner,3.2,0.00,BHA,3,3.2,4.4,5.1,M
Diego Carlos,3.1,0.25,AVL,2,0.0,9.1,3.3,D
Vitaly Janelt,3.1,2.00,BRF,4,3.1,3.3,4.8,M
Oleksandr Zinchenko,3.0,3.00,ARS,1,0.0,6.6,6.4,D
Pelly Ruddock,3.0,0.00,LUT,1,0.0,3.1,,M
Sander Berge,3.0,6.00,BUR,3,3.0,4.1,,M
Willian,3.0,0.00,FUL,1,0.0,3.8,7.4,F
Aaron Ramsdale,2.9,2.00,ARS,4,2.9,2.9,5.9,G
Benie Traore,2.8,0.00,SHU,3,2.8,3.0,,F
Danny Welbeck,2.8,0.00,BHA,3,2.8,4.0,5.1,F
Josh Cullen,2.8,2.50,BUR,3,2.8,2.8,,M
Justin Kluivert,2.8,2.50,BOU,2,0.0,5.6,,M
Leon Bailey,2.8,0.00,AVL,2,0.0,6.2,4.8,F
Andreas Pereira,2.7,0.50,FUL,3,2.7,3.1,6.2,M
Benson Manuel,2.5,0.00,BUR,1,0.0,3.8,,F
Carney Chukwuemeka,2.5,0.00,CHE,2,0.0,3.6,4.3,M
Matt Targett,2.5,2.50,NEW,1,0.0,3.0,7.9,D
Orel Mangala,2.5,1.50,NOT,3,2.5,3.0,3.7,M
Bobby De Cordova-Reid,2.3,4.00,FUL,3,2.3,3.7,4.1,F
Jurrien Timber,2.3,0.00,ARS,1,0.0,4.1,,D
Robin Olsen,2.0,0.00,AVL,1,0.0,2.0,9.1,G
Victor Lindelof,2.0,2.00,MUN,1,0.0,5.5,6.6,D
Brennan Johnson,1.8,0.00,TOT,3,1.8,2.1,5.1,F
Jaidon Anthony,1.5,0.00,BOU,2,0.0,3.3,4.1,F
Rico Lewis,1.5,0.00,MCI,1,0.0,1.1,5.2,D
Takehiro Tomiyasu,1.5,0.00,ARS,1,0.0,6.3,6.5,D
Joel Veltman,1.3,1.25,BHA,1,0.0,5.9,5.1,D
Tahith Chong,1.2,0.00,LUT,3,1.2,1.3,0.0,M
Ben Osborn,0.7,0.00,SHU,3,0.7,0.9,,M
Cameron Archer,0.5,0.50,SHU,1,0.0,0.6,,F
Dominic Calvert-Lewin,0.5,0.00,EVE,1,0.0,1.2,5.5,F
Lewis Cook,0.5,0.50,BOU,1,0.0,3.7,5.5,M
Oliver Skipp,0.5,0.00,TOT,1,0.0,1.5,4.1,M
Wataru Endo,0.5,0.00,LIV,1,0.0,2.6,,M
Tom Cairney,0.3,0.00,FUL,2,0.0,1.4,2.8,M
Hwang Hee-Chan,0.0,0.00,WOL,1,0.0,8.4,3.6,F
Curtis Jones,-0.5,-0.50,LIV,1,0.0,0.5,4.6,M
