Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros,ProjMins,ProjGS
Cameron Archer,8.2,5.4,F,SHU,EVE,6%,70,0
Jhon Duran,8.2,5.3,F,AVL,@LIV,6%,75,0
Nathan Redmond,8.2,5.1,M,BUR,TOT,2%,90,0
Vitalii Mykolenko,8.1,7.2,D,EVE,@SHU,3%,86,0
Scott McTominay,8.1,6.8,M,MUN,@ARS,3%,84,0
Fabio Silva,8.1,5.8,F,WOL,@CRY,17%,70,0
Anthony Gordon,8.1,5.6,M,NEW,@BHA,83%,78,1
Kevin Schade,8.1,4.4,M,BRF,BOU,34%,76,1
Craig Dawson,8.0,9.1,D,WOL,@CRY,19%,86,1
Kieran Trippier,8.0,8.8,D,NEW,@BHA,100%,88,1
Jay Rodriguez,8.0,4.0,F,BUR,TOT,1%,81,0
Cristian Romero,7.9,7.7,D,TOT,@BUR,81%,82,1
Luca Koleosho,7.9,7.2,F,BUR,TOT,2%,61,1
Jadon Sancho,7.9,6.0,M,MUN,@ARS,86%,76,1
Chiedozie Ogbene,7.9,5.9,F,LUT,WHU,1%,65,0
Jacob Murphy,7.9,5.3,M,NEW,@BHA,10%,70,0
Max Kilman,7.8,8.8,D,WOL,@CRY,26%,90,1
Thomas Cannon,7.8,6.8,F,EVE,@SHU,0%,60,0
Kurt Zouma,7.8,6.6,D,WHU,@LUT,13%,81,1
Justin Kluivert,7.8,6.2,M,BOU,@BRF,45%,59,0
Mikkel Damsgaard,7.8,4.6,M,BRF,BOU,3%,66,0
Tom Lockyer,7.7,8.7,D,LUT,WHU,21%,90,1
Joseph Gomez,7.7,7.7,D,LIV,AVL,2%,90,1
Gabriel Magalhaes,7.7,6.8,D,ARS,MUN,82%,89,1
Lesley Ugochukwu,7.7,5.5,F,CHE,NOT,1%,60,0
John Egan,7.6,7.8,D,SHU,EVE,11%,90,1
Chris Richards,7.6,6.8,D,CRY,WOL,0%,90,0
Joel Matip,7.6,6.5,D,LIV,AVL,9%,87,1
Matheus Nunes,7.6,6.4,M,WOL,@CRY,61%,82,0
Philip Billing,7.6,6.2,M,BOU,@BRF,72%,80,1
Pedro Neto,7.6,5.4,F,WOL,@CRY,88%,75,1
Jacob Brown,7.6,5.4,F,LUT,WHU,1%,75,0
Rayan Ait-Nouri,7.5,8.0,D,WOL,@CRY,4%,84,1
Facundo Pellistri,7.5,7.3,M,MUN,@ARS,2%,75,0
Ben Godfrey,7.5,6.8,D,EVE,@SHU,0%,80,0
Angelo Ogbonna,7.5,6.3,D,WHU,@LUT,0%,88,1
Marc Guehi,7.5,6.1,D,CRY,WOL,63%,90,1
Benie Traore,7.5,4.8,F,SHU,EVE,9%,85,1
Lewis Hall,7.4,7.7,D,NEW,@BHA,42%,77,0
Japhet Tanganga,7.4,7.6,D,TOT,@BUR,0%,71,0
Ben Doak,7.4,5.7,F,LIV,AVL,1%,75,0
Emile Smith Rowe,7.4,5.3,M,ARS,MUN,12%,72,0
Oliver Norwood,7.4,5.2,M,SHU,EVE,20%,88,1
Miguel Almiron,7.4,4.6,M,NEW,@BHA,98%,81,1
Milos Kerkez,7.3,9.6,D,BOU,@BRF,44%,90,1
Oleksandr Zinchenko,7.3,6.4,D,ARS,MUN,96%,82,1
Iyenoma Destiny Udogie,7.3,6.2,D,TOT,@BUR,92%,83,1
Pablo Sarabia,7.3,5.4,M,WOL,@CRY,31%,69,0
Jayden Bogle,7.2,6.6,D,SHU,EVE,1%,70,1
Pierre-Emile Hojbjerg,7.2,5.9,M,TOT,@BUR,24%,90,0
Casemiro,7.2,5.8,M,MUN,@ARS,97%,87,1
Johann Gudmundsson,7.2,5.6,M,BUR,TOT,4%,70,1
Ryan Christie,7.2,5.2,M,BOU,@BRF,10%,72,1
Benson Manuel,7.2,4.8,F,BUR,TOT,17%,60,0
Anthony Martial,7.2,4.5,F,MUN,@ARS,39%,60,0
Rob Holding,7.1,6.5,D,ARS,MUN,0%,84,0
John McGinn,7.1,5.8,M,AVL,@LIV,74%,86,1
Antoine Semenyo,7.1,4.7,F,BOU,@BRF,45%,75,1
Rico Lewis,7.1,3.4,D,MCI,FUL,33%,81,0
Ederson,7.0,7.0,G,MCI,FUL,99%,90,1
Alisson,7.0,7.0,G,LIV,AVL,99%,90,1
Nick Pope,7.0,7.0,G,NEW,@BHA,98%,90,1
Andre Onana,7.0,7.0,G,MUN,@ARS,98%,90,1
Aaron Ramsdale,7.0,7.0,G,ARS,MUN,94%,90,1
Bernd Leno,7.0,7.0,G,FUL,@MCI,88%,90,1
Emiliano Martinez,7.0,7.0,G,AVL,@LIV,83%,90,1
Guglielmo Vicario,7.0,7.0,G,TOT,@BUR,82%,90,1
Mark Flekken,7.0,7.0,G,BRF,BOU,72%,90,1
Jose Sa,7.0,7.0,G,WOL,@CRY,52%,90,1
Jordan Pickford,7.0,7.0,G,EVE,@SHU,45%,90,1
Robert Sanchez,7.0,7.0,G,CHE,NOT,45%,90,1
