Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros%,ProjMins,ProjGS
Mykhailo Mudryk,9.2,7.5,M,CHE,AVL,79,66,1
Sandro Tonali,9.2,7.2,M,NEW,@SHU,94,73,1
Jhon Duran,9.2,6.6,F,AVL,@CHE,3,75,0
Hwang Hee-Chan,9.2,6.3,F,WOL,@LUT,13,66,0
Santiago Bueno,9.1,8.6,D,WOL,@LUT,0,80,0
Ibrahima Konate,9.1,8.3,D,LIV,WHU,75,90,1
Anass Zaroury,9.1,7.4,F,BUR,MUN,21,75,1
Joseph Gomez,9.0,8.2,D,LIV,WHU,39,90,1
Moussa Diaby,9.0,6.7,F,AVL,@CHE,97,79,1
Ben Mee,9.0,6.7,D,BRF,EVE,82,86,0
Nathan Ake,9.0,5.5,D,MCI,NOT,93,82,0
Joel Matip,8.9,7.7,D,LIV,WHU,27,86,0
Marcus Tavernier,8.9,7.1,M,BOU,@BHA,45,82,1
Rayan Ait-Nouri,8.8,7.9,D,WOL,@LUT,3,81,1
Max Kilman,8.7,8.5,D,WOL,@LUT,26,90,1
Gabriel Magalhaes,8.7,8.2,D,ARS,TOT,83,89,1
Scott McTominay,8.7,6.6,M,MUN,@BUR,6,84,1
Jean-Philippe Mateta,8.7,6.1,F,CRY,FUL,3,71,1
Ollie Watkins,8.7,5.2,F,AVL,@CHE,100,85,1
Luca Koleosho,8.6,7.3,F,BUR,MUN,5,65,1
Jacob Bruun Larsen,8.6,6.7,F,BUR,MUN,0,75,0
Mahmoud Dahoud,8.6,6.4,M,BHA,BOU,19,74,0
Ben Chilwell,8.6,6.2,D,CHE,AVL,100,79,1
Jacob Brown,8.6,5.9,F,LUT,WOL,1,73,1
Jakub Moder,8.5,8.3,M,BHA,BOU,0,60,0
Anis Ben Slimane,8.5,8.2,M,SHU,NEW,1,75,0
Declan Rice,8.5,7.4,M,ARS,TOT,99,90,1
Rob Holding,8.5,7.3,D,CRY,FUL,1,84,0
Thiago Alcantara,8.5,7.1,M,LIV,WHU,5,70,0
Hamed Traore,8.5,6.7,M,BOU,@BHA,29,76,0
Dango Ouattara,8.5,6.5,F,BOU,@BHA,30,75,1
Michail Antonio,8.5,6.4,F,WHU,@LIV,79,76,1
Manor Solomon,8.5,6.4,F,TOT,@ARS,68,73,0
Dan Burn,8.5,6.2,D,NEW,@SHU,72,89,1
Enzo Fernandez,8.5,5.7,M,CHE,AVL,99,88,1
Arnaut Danjuma Groeneveld,8.5,5.5,F,EVE,@BRF,47,79,1
Toti,8.4,8.2,D,WOL,@LUT,0,87,0
Frank Onyeka,8.4,7.5,M,BRF,EVE,0,54,0
Emil Krafth,8.4,7.5,D,NEW,@SHU,0,87,0
Jean-Ricner Bellegarde,8.4,7.1,M,WOL,@LUT,12,76,1
Alex Iwobi,8.4,6.9,M,FUL,@CRY,71,86,1
Abdoulaye Doucoure,8.4,6.9,M,EVE,@BRF,69,88,1
Jesurun Rak-Sakyi,8.4,6.8,M,CRY,FUL,0,70,0
Billy Gilmour,8.4,6.6,M,BHA,BOU,24,77,1
Joel Veltman,8.4,6.4,D,BHA,BOU,15,82,1
Neal Maupay,8.4,5.0,F,BRF,EVE,4,78,0
Chiedozie Ogbene,8.3,6.4,F,LUT,WOL,0,75,0
Nathan Redmond,8.3,6.2,M,BUR,MUN,1,90,0
Sergio Gomez,8.3,5.4,D,MCI,NOT,1,77,0
Mike Tresor,8.2,6.3,F,BUR,MUN,3,75,0
Kai Havertz,8.2,5.8,F,ARS,TOT,89,81,0
Hannibal Mejbri,8.2,5.6,M,MUN,@BUR,0,68,0
Alejandro Garnacho,8.2,5.3,M,MUN,@BUR,68,66,0
Ruben Dias,8.2,4.6,D,MCI,NOT,96,87,1
Oleksandr Zinchenko,8.1,7.9,D,ARS,TOT,95,81,1
Adam Webster,8.1,7.9,D,BHA,BOU,6,86,0
Tommy Doyle,8.1,6.7,M,WOL,@LUT,1,70,0
Willian,8.1,6.0,F,FUL,@CRY,51,76,1
Bruno Guimaraes,8.1,5.6,M,NEW,@SHU,92,87,1
Kevin Schade,8.1,5.1,M,BRF,EVE,66,75,1
Dara O'Shea,8.0,10.8,D,BUR,MUN,3,90,0
Nicolo Zaniolo,8.0,6.5,M,AVL,@CHE,43,56,0
Cheikhou Kouyate,7.9,7.6,M,NOT,@MCI,0,71,0
Diogo Dalot,7.9,6.5,D,MUN,@BUR,72,89,1
Kristoffer Ajer,7.9,6.5,D,BRF,EVE,1,82,0
Ross Barkley,7.9,6.0,M,LUT,WOL,12,73,0
Cauley Woodrow,7.9,5.6,F,LUT,WOL,0,70,0
Ben Doak,7.9,5.4,F,LIV,WHU,1,65,0
Keane Lewis-Potter,7.9,4.8,F,BRF,EVE,1,61,0
Jay Rodriguez,7.9,4.2,F,BUR,MUN,1,74,0
Philip Billing,7.8,6.5,M,BOU,@BHA,75,83,1
Gustavo Hamer,7.8,6.5,M,SHU,NEW,35,89,1
Ryan Christie,7.8,6.4,M,BOU,@BHA,13,71,1
David Brooks,7.8,6.4,M,BOU,@BHA,9,65,0
Jack Harrison,7.8,6.1,M,EVE,@BRF,27,75,0
Zeki Amdouni,7.8,5.9,F,BUR,MUN,8,65,1
Antoine Semenyo,7.8,5.6,F,BOU,@BHA,23,71,0
Sofyan Amrabat,7.8,5.2,M,MUN,@BUR,28,75,0
Emile Smith Rowe,7.8,4.7,M,ARS,TOT,8,72,0
Mads Roerslev,7.7,6.2,D,BRF,EVE,2,86,1
Chris Richards,7.7,6.2,D,CRY,FUL,1,90,1
Alfie Doughty,7.7,5.8,M,LUT,WOL,16,77,1
Ian Maatsen,7.6,6.2,D,CHE,AVL,6,75,0
Carlos Baleba,7.6,6.1,M,BHA,BOU,5,65,0
Jacob Ramsey,7.6,5.8,M,AVL,@CHE,63,84,0
Johann Gudmundsson,7.6,5.8,M,BUR,MUN,12,61,0
Richarlison,7.6,4.3,F,TOT,@ARS,82,76,1
Mason Mount,7.6,4.2,M,MUN,@BUR,90,78,0
Issa Kabore,7.5,8.1,D,LUT,WOL,2,69,1
Boubacar Kamara,7.5,7.1,M,AVL,@CHE,14,86,1
Marvelous Nakamba,7.5,7.0,M,LUT,WOL,4,87,1
Thiago Silva,7.5,6.6,D,CHE,AVL,90,88,1
Cheick Doucoure,7.5,6.3,M,CRY,FUL,26,88,1
Marc Cucurella,7.5,6.2,D,CHE,AVL,15,82,0
Callum Hudson-Odoi,7.5,6.1,F,NOT,@MCI,20,70,1
Josh Brownhill,7.5,5.9,M,BUR,MUN,36,90,1
Marc Guehi,7.5,5.6,D,CRY,FUL,51,90,0
Dejan Kulusevski,7.5,5.2,M,TOT,@ARS,100,83,1
Mathias Jensen,7.5,4.9,M,BRF,EVE,95,74,1
Dominic Calvert-Lewin,7.5,4.8,F,EVE,@BRF,51,62,1
Elijah Adebayo,7.5,4.8,F,LUT,WOL,8,66,0
Conor Gallagher,7.4,4.7,M,CHE,AVL,73,77,1
Kyle Walker,7.4,3.2,D,MCI,NOT,94,88,1
Jordan Beyer,7.3,9.5,D,BUR,MUN,11,75,1
James Tarkowski,7.3,9.1,D,EVE,@BRF,66,89,1
Igor Julio dos Santos de Paulo,7.3,7.0,D,BHA,BOU,1,80,0
Leander Dendoncker,7.3,6.5,M,AVL,@CHE,0,83,0
Anthony Elanga,7.3,6.2,F,NOT,@MCI,44,73,0
Oliver Norwood,7.3,5.9,M,SHU,NEW,18,88,0
Timothy Castagne,7.2,8.6,D,FUL,@CRY,21,89,1
Jonny Evans,7.2,7.5,D,MUN,@BUR,0,77,0
Ibrahim Sangare,7.2,7.1,M,NOT,@MCI,11,90,1
Kalvin Phillips,7.2,6.7,M,MCI,NOT,1,90,0
Luis Sinisterra,7.2,5.7,F,BOU,@BHA,14,60,0
Morgan Gibbs-White,7.2,5.1,M,NOT,@MCI,100,89,1
Facundo Pellistri,7.2,4.4,M,MUN,@BUR,8,75,0
Rodrigo Muniz,7.2,3.9,F,FUL,@CRY,0,70,0
Vitinho,7.1,9.2,D,BUR,MUN,1,90,0
Nelson Semedo,7.1,6.8,D,WOL,@LUT,16,85,1
Raphael Varane,7.1,6.7,D,MUN,@BUR,67,83,0
Ryan Gravenberch,7.1,6.4,M,LIV,WHU,43,70,0
Harry Maguire,7.1,6.4,D,MUN,@BUR,5,90,0
Levi Colwill,7.1,6.0,D,CHE,AVL,86,89,0
Aaron Hickey,7.1,5.7,D,BRF,EVE,10,81,1
Hannes Delcroix,7.0,8.9,D,BUR,MUN,1,90,0
Alisson,7.0,7.0,G,LIV,WHU,100,90,1
Ederson,7.0,7.0,G,MCI,NOT,97,90,1
Bernd Leno,7.0,7.0,G,FUL,@CRY,95,90,1
Nick Pope,7.0,7.0,G,NEW,@SHU,95,90,1
Andre Onana,7.0,7.0,G,MUN,@BUR,93,90,1
Guglielmo Vicario,7.0,7.0,G,TOT,@ARS,91,90,1
Emiliano Martinez,7.0,7.0,G,AVL,@CHE,81,90,1
Jose Sa,7.0,7.0,G,WOL,@LUT,70,90,1
Mark Flekken,7.0,7.0,G,BRF,EVE,68,90,1
Alphonse Areola,7.0,7.0,G,WHU,@LIV,60,90,1
David Raya,7.0,7.0,G,ARS,TOT,52,90,1
Robert Sanchez,7.0,7.0,G,CHE,AVL,43,90,1
Matt Turner,7.0,7.0,G,NOT,@MCI,40,90,1
Jordan Pickford,7.0,7.0,G,EVE,@BRF,34,90,1
Neto,7.0,7.0,G,BOU,@BHA,22,90,1
Jason Steele,7.0,7.0,G,BHA,BOU,19,90,1
Wes Foderingham,7.0,7.0,G,SHU,NEW,19,90,1
Sam Johnstone,7.0,7.0,G,CRY,FUL,19,90,1
James Trafford,7.0,7.0,G,BUR,MUN,14,90,1
Thomas Kaminski,7.0,7.0,G,LUT,WOL,6,90,1
Aaron Ramsdale,7.0,7.0,G,ARS,TOT,73,90,0
Joao Virginia,7.0,7.0,G,EVE,@BRF,12,90,0
Bart Verbruggen,7.0,7.0,G,BHA,BOU,11,90,0
James Shea,7.0,7.0,G,LUT,WOL,9,90,0
Dean Henderson,7.0,7.0,G,CRY,FUL,8,90,0
Lukasz Fabianski,7.0,7.0,G,WHU,@LIV,5,90,0
Stefan Ortega Moreno,7.0,7.0,G,MCI,NOT,2,90,0
Robin Olsen,7.0,7.0,G,AVL,@CHE,2,90,0
Fraser Forster,7.0,7.0,G,TOT,@ARS,1,90,0
Djordje Petrovic,7.0,7.0,G,CHE,AVL,1,90,0
Arijanet Muric,7.0,7.0,G,BUR,MUN,1,90,0
Hugo Lloris,7.0,7.0,G,TOT,@ARS,1,90,0
Caoimhin Kelleher,7.0,7.0,G,LIV,WHU,1,90,0
Thomas Strakosha,7.0,7.0,G,BRF,EVE,1,90,0
Vicente Guaita,7.0,7.0,G,CRY,FUL,1,90,0
Martin Dubravka,7.0,7.0,G,NEW,@SHU,1,90,0
Odysseas Vlachodimos,7.0,7.0,G,NOT,@MCI,1,90,0
Altay Bayindir,7.0,7.0,G,MUN,@BUR,0,90,0
Ethan Horvath,7.0,7.0,G,NOT,@MCI,0,90,0
Daniel Bentley,7.0,7.0,G,WOL,@LUT,0,90,0
Jordan Amissah,7.0,7.0,G,SHU,NEW,0,90,0
Tim Krul,7.0,7.0,G,LUT,WOL,0,90,0
Marcus Bettinelli,7.0,7.0,G,CHE,AVL,0,90,0
Marek Rodak,7.0,7.0,G,FUL,@CRY,0,90,0
Lesley Ugochukwu,7.0,6.3,F,CHE,AVL,5,90,0
Nathan Collins,7.0,5.5,D,BRF,EVE,27,89,1
Benoit Badiashile,6.9,6.2,D,CHE,AVL,12,90,0
James Garner,6.9,5.8,M,EVE,@BRF,11,86,0
Lewis Dunk,6.9,5.3,D,BHA,BOU,51,90,1
James Milner,6.9,4.7,M,BHA,BOU,3,71,0
Harry Wilson,6.9,4.5,M,FUL,@CRY,69,79,1
Jarell Quansah,6.8,6.8,D,LIV,WHU,10,82,0
Stefan Bajcetic,6.8,6.3,M,LIV,WHU,1,78,0
Mads Andersen,6.7,7.9,D,LUT,WOL,2,81,1
Lisandro Martinez,6.7,6.1,D,MUN,@BUR,64,79,1
Will Hughes,6.7,5.3,M,CRY,FUL,1,80,1
Justin Kluivert,6.7,4.9,M,BOU,@BHA,28,64,0
Adama Traore,6.7,4.5,F,FUL,@CRY,8,78,0
Michael Keane,6.6,8.1,D,EVE,@BRF,22,88,0
Moises Caicedo,6.6,5.0,M,CHE,AVL,78,88,1
Jarrad Branthwaite,6.5,8.5,D,EVE,@BRF,4,84,1
Lewis Dobbin,6.5,5.6,F,EVE,@BRF,1,65,0
John McGinn,6.5,5.2,M,AVL,@CHE,74,85,1
Cameron Archer,6.5,3.6,F,SHU,NEW,22,79,1
Jakub Kiwior,6.4,6.4,D,ARS,TOT,3,75,0
Edson Alvarez,6.4,5.9,M,WHU,@LIV,19,83,1
Benie Traore,6.4,4.9,F,SHU,NEW,4,85,1
Rico Lewis,6.3,2.4,D,MCI,NOT,17,82,0
Yves Bissouma,6.2,5.5,M,TOT,@ARS,82,85,1
Youri Tielemans,6.2,4.4,M,AVL,@CHE,42,85,0
Adam Lallana,6.2,4.0,M,BHA,BOU,3,56,0
Tom Lockyer,6.1,7.1,D,LUT,WOL,14,90,1
Cedric Soares,6.1,6.6,D,ARS,TOT,0,82,0
Takehiro Tomiyasu,6.1,5.9,D,ARS,TOT,7,71,0
Amadou Onana,6.1,5.1,M,EVE,@BRF,27,85,1
Pape Sarr,6.1,5.0,M,TOT,@ARS,79,66,1
Mario Lemina,6.1,5.0,M,WOL,@LUT,7,83,1
Tyrick Mitchell,6.1,4.6,D,CRY,FUL,39,86,1
Youssef Ramalho Chermiti,6.1,3.1,F,EVE,@BRF,0,55,0
Malo Gusto,6.0,4.9,D,CHE,AVL,82,84,1
Joao Gomes,6.0,4.9,M,WOL,@LUT,8,81,1
Victor Lindelof,5.9,5.3,D,MUN,@BUR,6,89,1
Jorginho,5.9,5.2,M,ARS,TOT,4,84,0
Joel Ward,5.9,3.9,D,CRY,FUL,13,89,1
Kenny Tete,5.8,7.1,D,FUL,@CRY,83,87,1
Lewis Cook,5.8,5.3,M,BOU,@BHA,1,87,1
Harrison Reed,5.8,5.1,M,FUL,@CRY,11,82,0
Matt Targett,5.8,4.8,D,NEW,@SHU,2,85,0
Mikkel Damsgaard,5.8,3.1,M,BRF,EVE,3,66,0
Reece Burke,5.7,6.9,D,LUT,WOL,0,82,1
Axel Disasi,5.7,4.8,D,CHE,AVL,80,90,1
Boubacar Traore,5.7,4.2,M,WOL,@LUT,0,81,0
Chris Wood,5.6,4.0,F,NOT,@MCI,2,78,0
Ben White,5.5,5.2,D,ARS,TOT,95,87,1
Benson Manuel,5.5,4.2,F,BUR,MUN,12,45,0
Andrey Santos,5.5,4.1,M,NOT,@MCI,3,65,0
Lucas Digne,5.4,7.0,D,AVL,@CHE,87,77,1
Andre Gomes,5.4,4.7,M,EVE,@BRF,0,71,0
Taiwo Awoniyi,5.4,3.7,F,NOT,@MCI,95,75,1
Thilo Kehrer,5.3,9.5,D,WHU,@LIV,0,88,0
Emerson,5.3,9.1,D,WHU,@LIV,54,86,1
Vitalii Mykolenko,5.3,6.9,D,EVE,@BRF,3,86,1
Amari'i Bell,5.3,6.5,D,LUT,WOL,5,90,1
Teden Mengi,5.3,6.5,D,LUT,WOL,0,80,0
William Saliba,5.3,5.3,D,ARS,TOT,99,90,1
Jamaal Lascelles,5.3,5.3,D,NEW,@SHU,0,90,0
Maxwel Cornet,5.3,4.6,M,WHU,@LIV,1,73,0
Tom Cairney,5.3,4.2,M,FUL,@CRY,0,60,0
Pedro Porro,5.2,7.3,D,TOT,@ARS,99,87,1
Ashley Young,5.2,6.8,D,EVE,@BRF,14,86,1
Seamus Coleman,5.2,6.4,D,EVE,@BRF,0,82,0
Kieffer Moore,5.2,4.6,F,BOU,@BHA,0,86,0
Joe Rothwell,5.2,4.3,M,BOU,@BHA,1,73,0
Christian Norgaard,5.2,3.6,M,BRF,EVE,55,81,1
Albert Sambi Lokonga,5.1,4.0,M,LUT,WOL,2,80,1
Aaron Ramsey,5.1,3.9,M,BUR,MUN,1,70,0
Raul Jimenez,5.1,2.8,F,FUL,@CRY,51,77,0
Andreas Pereira,5.1,2.5,M,FUL,@CRY,93,78,1
Carlos Vinicius,5.1,2.2,F,FUL,@CRY,9,85,1
Vinicius de Souza Costa,5.0,4.4,M,SHU,NEW,2,78,1
Vladimir Coufal,4.9,9.0,D,WHU,@LIV,24,88,1
Joao Palhinha,4.8,4.2,M,FUL,@CRY,51,89,1
Jack Cork,4.8,4.2,M,BUR,MUN,0,84,0
Pierre-Emile Hojbjerg,4.8,4.0,M,TOT,@ARS,18,90,0
Sander Berge,4.8,3.5,M,BUR,MUN,5,72,1
James Mcatee,4.8,3.2,M,SHU,NEW,8,69,1
Tyler Adams,4.7,4.7,M,BOU,@BHA,7,90,0
Nicolas Dominguez,4.7,3.9,M,NOT,@MCI,1,75,0
Tom Davies,4.7,3.5,M,SHU,NEW,0,66,0
Leon Bailey,4.7,2.8,F,AVL,@CHE,59,62,1
Jayden Bogle,4.6,8.3,D,SHU,NEW,2,85,1
Bobby De Cordova-Reid,4.6,3.0,F,FUL,@CRY,21,78,0
Brennan Johnson,4.5,2.0,F,TOT,@ARS,84,83,0
Mateo Kovacic,4.4,3.7,M,MCI,NOT,76,83,0
Iyenoma Destiny Udogie,4.3,6.8,D,TOT,@ARS,98,83,1
Alex Moreno,4.3,5.8,D,AVL,@CHE,67,80,0
Josh Cullen,4.3,3.3,M,BUR,MUN,3,90,1
Nathaniel Clyne,4.3,2.9,D,CRY,FUL,0,86,0
Chris Mepham,4.2,8.8,D,BOU,@BHA,0,90,0
Ben Godfrey,4.2,5.9,D,EVE,@BRF,0,80,0
Antonee Robinson,4.2,5.8,D,FUL,@CRY,54,89,0
Luke Harris,4.2,4.0,M,FUL,@CRY,0,75,0
Idrissa Gueye,4.2,3.6,M,EVE,@BRF,6,80,1
Shandon Baptiste,4.2,3.0,M,BRF,EVE,0,68,0
Vitaly Janelt,4.2,2.5,M,BRF,EVE,6,83,1
Konstantinos Mavropanos,4.1,7.9,D,WHU,@LIV,2,82,0
Pelly Ruddock,4.1,2.9,M,LUT,WOL,0,87,0
Divock Origi,4.0,2.7,F,NOT,@MCI,8,75,0
Curtis Jones,4.0,2.1,M,LIV,WHU,22,70,0
Tim Ream,3.9,5.8,D,FUL,@CRY,27,86,1
Felipe,3.8,8.6,D,NOT,@MCI,20,85,0
Milos Kerkez,3.8,8.1,D,BOU,@BHA,34,89,1
John Egan,3.8,7.1,D,SHU,NEW,7,86,0
Javier Manquillo,3.8,3.1,D,NEW,@SHU,0,73,0
Wataru Endo,3.7,2.3,M,LIV,WHU,10,57,1
Issa Diop,3.6,5.3,D,FUL,@CRY,13,90,1
Ameen Al Dakhil,3.5,6.3,D,BUR,MUN,1,90,1
Cristian Romero,3.5,6.1,D,TOT,@ARS,91,79,1
Nathan Patterson,3.5,5.2,D,EVE,@BRF,5,78,0
Neco Williams,3.4,8.4,D,NOT,@MCI,10,86,0
Nuno Tavares,3.4,7.9,D,NOT,@MCI,7,74,1
Chris Basham,3.4,6.6,D,SHU,NEW,0,81,1
Aaron Cresswell,3.3,7.5,D,WHU,@LIV,9,88,0
Tahith Chong,3.3,0.7,M,LUT,WOL,5,82,1
Nayef Aguerd,3.2,7.1,D,WHU,@LIV,22,86,1
Anel Ahmedhodzic,3.1,7.1,D,SHU,NEW,14,90,1
Marcos Senesi,3.1,7.1,D,BOU,@BHA,3,82,0
Willy Boly,3.0,7.8,D,NOT,@MCI,66,84,1
Luke Thomas,3.0,7.0,D,SHU,NEW,1,88,1
Kurt Zouma,3.0,6.8,D,WHU,@LIV,50,81,1
Ben Davies,3.0,5.7,D,TOT,@ARS,8,87,0
William Osula,3.0,1.1,F,SHU,NEW,1,79,0
Calum Chambers,2.9,5.2,D,AVL,@CHE,0,87,0
Danilo,2.9,2.2,M,NOT,@MCI,14,74,0
Ryan Yates,2.7,2.2,M,NOT,@MCI,2,86,1
Auston Trusty,2.5,5.3,D,SHU,NEW,0,80,0
Matty Cash,2.5,4.3,D,AVL,@CHE,97,87,1
Jonjo Shelvey,2.5,2.4,M,NOT,@MCI,0,85,0
Eric Dier,2.4,5.8,D,TOT,@ARS,2,90,0
Yasser Larouci,2.4,5.5,D,SHU,NEW,1,67,0
George Baldock,2.3,4.9,D,SHU,NEW,3,84,0
Clement Lenglet,2.3,4.7,D,AVL,@CHE,3,85,0
Ezri Konsa,2.3,4.6,D,AVL,@CHE,17,90,1
Connor Roberts,2.2,4.0,D,BUR,MUN,8,90,1
Ben Johnson,2.1,6.7,D,WHU,@LIV,0,85,0
