player,team,minutes_90s_diff,xg_diff,npxg_diff,xg_assist_diff,npxg_xg_assist_diff,goals_per90_diff,assists_per90_diff,goals_assists_per90_diff,goals_pens_per90_diff,goals_assists_pens_per90_diff,xg_per90_diff,xg_assist_per90_diff,xg_xg_assist_per90_diff,npxg_per90_diff,npxg_xg_assist_per90_diff,matches_diff,shots_on_target_pct_diff,shots_per90_diff,shots_on_target_per90_diff,goals_per_shot_diff,goals_per_shot_on_target_diff,average_shot_distance_diff,npxg_per_shot_diff,xg_net_diff,npxg_net_diff,passes_pct_diff,passes_pct_short_diff,passes_pct_medium_diff,passes_pct_long_diff,pass_xa_diff,xg_assist_net_diff,sca_per90_diff,gca_per90_diff,challenge_tackles_pct_diff,take_ons_won_pct_diff,take_ons_tackled_pct_diff,minutes_pct_diff,minutes_per_start_diff,minutes_per_sub_diff,points_per_game_diff,plus_minus_per90_diff,plus_minus_wowy_diff,on_xg_for_diff,on_xg_against_diff,xg_plus_minus_diff,xg_plus_minus_per90_diff,xg_plus_minus_wowy_diff,aerials_won_pct_diff,games_starts_diff,minutes_diff
Nathan Ake,Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-43.400000000000006,0.0,,0.0,0.0,-0.8799999999999999,0.0,0.0,0.0,0.0,-0.11999999999999988,0.0,0,0
Trent Alexander-Arnold,Liverpool,0.8,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.07,0.13,,66.7,1.65,1.1,0.0,0.0,18.8,0.04,-0.1,-0.1,12.200000000000003,16.10000000000001,12.000000000000007,6.300000000000001,0.1,-0.1,3.3899999999999997,0.55,33.3,60.0,-80.0,-8.900000000000006,-8.0,,1.0,1.1,1.1,2.9000000000000004,0.40000000000000013,2.5,1.4300000000000002,5.57,,1,74
Alisson,Liverpool,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,4.299999999999997,0.0,0.0,3.1000000000000014,0.0,0.0,-0.5,0.0,0.0,,,0.0,0.0,,1.0,1.0,,3.0,1.2000000000000002,1.8,0.9299999999999999,,,1,90
Miguel Almiron,Newcastle Utd,0.9999999999999999,0.0,0.0,0.10000000000000003,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-0.07999999999999996,0.0,-0.07999999999999996,,-66.7,0.53,-0.53,0.0,0.0,-0.6999999999999993,-0.010000000000000002,0.0,0.0,-8.400000000000006,-5.700000000000003,-5.900000000000006,0.0,0.0,-0.10000000000000003,-1.06,0.0,-26.700000000000003,0.0,16.700000000000003,0.0,0.0,,-1.5,-2.12,6.88,0.30000000000000027,0.7000000000000002,-0.5,-0.97,3.3,0.0,1,85
Julian Alvarez,Manchester City,1.0,0.2,0.2,0.10000000000000003,0.20000000000000007,0.5,-0.5,0.0,0.5,0.0,-0.11999999999999997,-0.10999999999999999,-0.23000000000000004,-0.11999999999999997,-0.23000000000000004,,16.700000000000003,-1.0,0.0,0.25,0.5,0.7999999999999989,-0.009999999999999995,0.8,0.8,-1.7999999999999972,0.9000000000000057,-11.099999999999994,-10.0,0.0,-0.09999999999999998,-1.0,-0.5,0.0,66.7,33.3,0.0,0.0,,0.0,-1.0,,1.0,0.3,0.6999999999999997,-0.4500000000000002,,0.0,1,90
Zeki Amdouni,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Joachim Andersen,Crystal Palace,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06999999999999999,-0.049999999999999996,-0.12,-0.06999999999999999,-0.12,,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.299999999999997,5.6000000000000085,0.29999999999999716,-16.700000000000003,0.0,0.0,-1.5,0.0,-33.3,0.0,0.0,0.0,0.0,,-1.5,-1.0,,1.0,2.0,-0.9999999999999999,-1.1600000000000001,,-8.599999999999994,1,90
Elliot Anderson,Newcastle Utd,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,,,0.0,0.0,,,,,0.0,0.0,21.400000000000006,0.0,100.0,50.0,0.0,0.0,3.46,0.0,50.0,50.0,0.0,13.3,,12.0,-1.5,0.0,2.29,0.1,0.3,-0.2,17.1,18.19,,0,25
Jaidon Anthony,Bournemouth,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,-7.899999999999999,12.700000000000003,-13.299999999999997,0.0,0.0,0.0,0.0,0.0,-18.999999999999996,-80.0,60.0,1.6000000000000085,2.0,,-0.5,-0.7,0.6699999999999999,0.2,2.9000000000000004,-2.6999999999999997,-1.49,-1.62,0.0,1,62
Michail Antonio,West Ham,0.7999999999999999,0.2,0.2,0.0,0.2,0.59,0.0,0.59,0.59,0.59,0.13,0.0,0.13,0.13,0.13,,50.0,1.18,0.59,0.5,1.0,15.9,0.11,0.8,0.8,-2.0,12.5,-3.5999999999999943,-25.0,0.0,0.0,-1.1399999999999997,0.0,0.0,0.0,0.0,-1.1999999999999886,-1.0,,1.0,0.010000000000000009,-6.91,0.9,2.3000000000000003,-1.5,-1.1,-6.08,-11.600000000000001,1,75
Antony,Manchester Utd,0.8,0.2,0.2,0.10000000000000003,0.4,0.0,0.0,0.0,0.0,0.0,0.03,-0.07,-0.030000000000000027,0.03,-0.030000000000000027,,0.0,0.28000000000000025,0.0,0.0,,2.299999999999999,0.010000000000000009,-0.2,-0.2,-0.5,0.10000000000000853,-16.700000000000003,66.7,0.1,-0.10000000000000003,-0.9100000000000001,0.0,66.7,-60.0,60.0,-6.1000000000000085,-5.0,,-1.5,-1.18,1.1300000000000001,1.7,1.2000000000000002,0.49999999999999994,0.24999999999999997,-0.08000000000000007,0.0,1,65
Alphonse Areola,West Ham,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,8.899999999999999,-25.0,0.0,6.299999999999997,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,1.0,,1.7999999999999998,2.5,-0.6000000000000001,-0.20999999999999996,,100.0,1,90
Serge Aurier,Nott'ham Forest,1.0,0.0,0.0,0.4,0.4,0.0,1.0,1.0,0.0,1.0,0.01,0.2,0.21,0.01,0.21,,0.0,0.5,0.0,0.0,,11.1,0.01,0.0,0.0,23.900000000000006,-11.099999999999994,26.199999999999996,22.2,0.2,1.6,2.0,1.0,16.700000000000003,0.0,0.0,0.0,0.0,,1.5,1.0,,1.4000000000000001,0.5,0.7999999999999999,0.27,,20.0,1,90
Taiwo Awoniyi,Nott'ham Forest,0.9000000000000001,0.30000000000000004,0.30000000000000004,0.1,0.30000000000000004,-2.75,0.0,-2.75,-2.75,-2.75,-1.9600000000000002,0.05,-1.9100000000000001,-1.9600000000000002,-1.9100000000000001,,0.0,-2.75,-2.75,0.0,0.0,0.6000000000000005,-0.13999999999999996,0.7000000000000001,0.7000000000000001,16.5,22.200000000000003,-16.700000000000003,,0.0,-0.1,-1.2100000000000004,-3.8600000000000003,,66.7,33.3,35.0,83.0,0.0,1.5,-3.63,-5.03,1.3000000000000003,0.5,0.7999999999999999,-0.97,-1.12,-16.700000000000003,1,83
Jordan Ayew,Crystal Palace,1.0,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999996,0.0,-0.5,-0.5,0.0,-0.5,0.04000000000000001,-0.33999999999999997,-0.30000000000000004,0.04000000000000001,-0.30000000000000004,,-30.0,0.5,-0.5,0.0,0.0,-2.1999999999999993,0.0,-0.19999999999999998,-0.19999999999999998,0.6999999999999886,2.200000000000003,-8.100000000000001,0.0,0.0,0.0,-0.5,-0.5,50.0,-5.0,15.0,0.0,0.0,,-1.5,-1.0,,1.0,2.0,-0.9999999999999999,-1.1600000000000001,,-75.0,1,90
Leon Bailey,Aston Villa,0.7,0.3,0.3,0.6,0.9,0.84,0.84,1.68,0.84,1.68,0.27,0.48,0.75,0.27,0.75,,50.0,1.68,0.84,0.5,1.0,10.8,0.16,0.7,0.7,33.1,52.0,33.400000000000006,10.0,0.7,0.4,2.21,1.68,,66.7,0.0,9.399999999999999,9.0,,1.5,3.6799999999999997,0.15000000000000036,2.3,0.5999999999999999,1.7,2.27,0.8999999999999999,0.0,1,62
George Baldock,Sheffield Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49,0.0,0,0
Shandon Baptiste,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-10.500000000000002,,0.0,0.0,0.0,-1.68,0.0,0.0,0.0,0.0,-1.26,,0,0
Harvey Barnes,Newcastle Utd,0.3,0.09999999999999998,0.09999999999999998,0.0,0.0,-2.3600000000000003,-2.3600000000000003,-4.73,-2.3600000000000003,-4.73,-1.2199999999999998,-2.04,-3.26,-1.2199999999999998,-3.26,,0.0,-0.81,-0.81,-0.5,-0.5,8.899999999999999,-0.25,-0.09999999999999998,-0.09999999999999998,14.099999999999994,-6.200000000000003,12.5,,0.09999999999999998,0.0,-3.17,-2.3600000000000003,,0.0,0.0,6.600000000000001,,6.0,-1.5,-4.73,-2.7699999999999996,0.10000000000000009,0.5,-0.30000000000000004,-3.2100000000000004,-2.67,,0,35
Chris Basham,Sheffield Utd,0.29999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,-12.5,-4.1000000000000085,0.0,0.0,0.0,0.0,0.0,0.0,66.7,50.0,-50.0,-25.599999999999994,0.0,33.0,0.0,-0.4700000000000002,-0.4700000000000002,0.30000000000000004,0.5999999999999999,-0.30000000000000004,0.17000000000000015,-0.29000000000000004,-16.700000000000003,0,33
Amari'i Bell,Luton Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0
Anis Ben Slimane,Sheffield Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1,,0.0,0.0,0.0,-0.06999999999999984,0.0,0.0,0.0,0.0,-0.25,0.0,0,0
Said Benrahma,West Ham,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04000000000000001,-0.03999999999999998,0.0,-0.03999999999999998,,-30.0,0.8500000000000001,-0.43000000000000005,0.0,0.0,2.5,-0.010000000000000002,0.0,0.0,1.7000000000000028,4.400000000000006,-11.099999999999994,50.0,0.0,0.0,-1.7200000000000002,0.0,-16.599999999999998,12.5,12.5,-12.200000000000003,-11.0,,1.0,0.57,-3.52,0.7999999999999998,2.3,-1.4,-0.69,-3.94,0.0,1,68
Sander Berge,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Luke Berry,Luton Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
Jordan Beyer,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Philip Billing,Bournemouth,1.0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,-0.009999999999999998,0.15,0.16999999999999998,0.15,,0.0,0.0,0.0,0.0,,-1.3000000000000007,0.09,-0.4,-0.4,-7.5,-0.7999999999999972,0.0,-23.299999999999997,0.0,0.0,0.5,0.5,33.3,16.700000000000003,-16.700000000000003,0.0,0.0,,-0.5,-1.0,,1.3,2.9999999999999996,-1.8,-1.02,,-8.299999999999997,1,90
Yves Bissouma,Tottenham,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,-0.01,0.0,0.010000000000000002,0.0,,0.0,-0.5,0.0,0.0,,-7.699999999999996,0.01,-0.1,-0.1,-1.2000000000000028,-1.5999999999999943,2.200000000000003,21.400000000000006,0.0,0.0,-1.0,0.0,-50.0,-16.599999999999994,5.5,0.0,0.0,,1.0,1.0,,1.7,2.0999999999999996,-0.4,0.30999999999999994,,50.0,1,90
Willy Boly,Nott'ham Forest,0.8,0.39999999999999997,0.39999999999999997,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.13000000000000003,-0.12000000000000002,0.010000000000000009,0.13000000000000003,0.010000000000000009,,-33.3,0.71,0.1399999999999999,0.0,0.0,0.6000000000000005,-0.009999999999999981,-0.39999999999999997,-0.39999999999999997,4.099999999999994,6.700000000000003,-5.0,40.0,0.0,0.0,-0.43000000000000005,0.0,0.0,,,-12.200000000000003,-11.0,,1.5,0.43000000000000005,-4.66,1.0999999999999999,0.30000000000000004,0.7999999999999999,0.33000000000000007,0.51,-1.5,1,68
Sven Botman,Newcastle Utd,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0,-0.5,-0.030000000000000006,-0.22,-0.25,-0.030000000000000006,-0.25,,0.0,-0.5,0.0,0.0,,0.0,0.0,0.0,0.0,-2.0,-3.700000000000003,0.3999999999999915,3.5999999999999943,0.0,0.0,0.0,-0.5,50.0,,,0.0,0.0,,-1.5,-2.5,,0.30000000000000027,0.9999999999999998,-0.7000000000000001,-1.1400000000000001,,30.0,1,90
Jarrod Bowen,West Ham,1.0,0.39999999999999997,0.39999999999999997,0.0,0.40000000000000013,-0.5,0.0,-0.5,-0.5,-0.5,0.07999999999999999,-0.23,-0.15000000000000002,0.07999999999999999,-0.15000000000000002,,20.8,-2.0,0.5,-0.04000000000000001,-0.6699999999999999,-0.6999999999999993,0.04,-0.4,-0.4,2.5,8.299999999999997,-15.700000000000003,0.0,0.10000000000000003,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.7999999999999998,2.5,-0.6000000000000001,-0.20999999999999996,,-3.799999999999997,1,90
Andre Brooks,Sheffield Utd,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,-3.200000000000003,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.299999999999999,,7.0,0.0,-4.29,-4.7700000000000005,0.3,0.1,0.2,0.19999999999999996,0.1200000000000001,50.0,0,17
David Brooks,Bournemouth,0.19999999999999996,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,-0.03,0.29,0.26,-0.03,0.26,,0.0,-0.8200000000000003,-0.41000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,5.599999999999994,3.5,1.5,5.0,0.2,-0.3,3.64,0.0,,0.0,0.0,-32.800000000000004,0.0,15.0,-0.5,0.20999999999999996,6.82,0.8999999999999999,0.09999999999999998,0.7,0.87,7.05,25.0,0,15
Jacob Brown,Luton Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Josh Brownhill,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
Jacob Bruun Larsen,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Hugo Bueno,Wolves,0.0,0.2,0.2,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.64,-0.15999999999999992,0.48,0.64,0.48,,0.0,7.780000000000001,0.0,0.0,,-5.300000000000001,0.019999999999999997,-0.2,-0.2,5.799999999999997,4.200000000000003,8.299999999999997,0.0,0.0,0.0,0.7100000000000009,0.0,0.0,0.0,0.0,-5.0,,-4.0,0.0,0.0,1.0600000000000003,0.20000000000000007,0.0,0.2,0.51,0.5599999999999998,0.0,0,5
Dan Burn,Newcastle Utd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,-0.08,-0.08,-0.08,,0.0,-0.5,0.0,0.0,,0.0,0.0,0.0,0.0,2.9000000000000057,0.5,5.700000000000003,-16.700000000000003,0.0,0.0,-0.5,0.0,0.0,,,0.0,0.0,,-1.5,-2.5,,0.30000000000000027,0.9999999999999998,-0.7000000000000001,-1.1400000000000001,,0.0,1,90
Tom Cairney,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-31.599999999999998,0.0,,0.0,0.0,4.1899999999999995,0.0,0.0,0.0,0.0,3.6399999999999997,0.0,0,0
Diego Carlos,Aston Villa,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,-0.45,-0.45,-0.45,,0.0,-3.34,-1.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-7.299999999999997,-7.099999999999994,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,0.0,1.5,5.0,1.4300000000000002,0.7,0.10000000000000009,0.6000000000000001,1.58,-0.51,0.0,0,27
Casemiro,Manchester Utd,1.0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,-0.049999999999999996,0.15,0.2,0.15,,40.0,2.5,1.0,0.0,0.0,14.4,0.08,-0.4,-0.4,-0.20000000000000284,1.5,2.4000000000000057,-13.100000000000009,0.0,0.0,-0.5,0.0,14.3,0.0,100.0,0.0,0.0,,-1.5,-1.5,,2.0999999999999996,1.7999999999999998,0.3,0.16999999999999998,,33.400000000000006,1,90
Matty Cash,Aston Villa,1.0,0.0,0.0,0.1,0.10000000000000009,0.0,0.0,0.0,0.0,0.0,-0.39,0.06,-0.33,-0.39,-0.33,,0.0,-1.0699999999999998,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,8.900000000000006,-16.700000000000003,0.3,-0.1,-0.5599999999999998,0.0,0.0,-21.4,14.3,2.200000000000003,2.0,,1.5,3.6500000000000004,3.650000000000002,2.9000000000000004,0.6000000000000001,2.3,1.88,1.88,66.7,1,90
Julio Cesar Enciso,Brighton,0.8,0.2,0.2,0.7,0.9,0.0,2.61,2.61,0.0,2.61,0.26,0.96,1.22,0.26,1.22,,25.0,5.22,1.3,0.0,0.0,22.2,0.05,-0.2,-0.2,70.8,76.9,83.3,100.0,0.6,1.3,6.52,2.61,0.0,66.7,-77.8,35.0,66.0,0.0,0.0,-24.78,-24.33,1.9000000000000001,1.8,0.09999999999999998,-26.77,-26.439999999999998,,1,66
Ben Chilwell,Chelsea,0.7,0.2,0.2,0.7000000000000001,0.9,0.0,-0.41000000000000003,-0.41000000000000003,0.0,-0.41000000000000003,0.07,0.26999999999999996,0.3500000000000001,0.07,0.3500000000000001,,-66.7,0.8,-0.41000000000000003,0.0,0.0,-1.5,-0.03,-0.2,-0.2,-1.0,3.4000000000000057,-4.599999999999994,16.700000000000003,0.49999999999999994,-0.7,0.3999999999999999,-0.41000000000000003,,-10.0,20.0,-16.10000000000001,-14.0,,-0.5,-0.6,2.3,2.1,0.8,1.2999999999999998,0.74,1.2499999999999998,25.0,1,60
