ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
26,Kristoffer Ajer,no NOR,DF,Brentford,25-134,1998,2,1,85,0.9,0,1,1,0,0,0,0,0,0.1,0.1,1.0,1.1,1,2,2,0.00,1.06,1.06,0.00,1.06,0.15,1.01,1.16,0.15,1.16,Matches,2023,1,0,0.0,1.06,0.00,0.00,,12.3,0,0.14,-0.1,-0.1,25,32,78.1,399,174,15,16,93.8,8,10,80.0,2,5,40.0,0.6,0.0,1,2,0,0,26,6,2,0,0,0,4,0,0,0,0,0,0,3,3.18,2,0,0,1,0,0,1,1.06,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,6,0,43,7,24,10,9,3,43,0,0,,0,,16,124,90,0,0,1,2,25,43,31.5,83,0,1,2,1,2.00,3,2,+1,+1.06,+0.09,3.2,1.2,+2.0,+2.07,+0.93,0,1,0,0,0,0,0,1,3,0,100.0,3
28,Manuel Akanji,ch SUI,DF,Manchester City,28-041,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,6,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,2023,1,0,0.0,0.50,0.00,0.00,,26.9,0,0.03,0.0,0.0,146,162,90.1,2164,517,79,81,97.5,56,65,86.2,4,7,57.1,0.0,-0.1,1,7,0,0,160,2,2,0,0,1,0,0,0,0,0,0,0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,1,1,3,0,3,5,60.0,2,4,2,2,2,6,5,0,177,14,80,83,14,0,177,0,0,,0,,108,631,309,0,0,0,0,141,90,66.7,90,2,0,,0,3.00,4,0,+4,+2.00,+1.00,2.9,0.6,+2.3,+1.17,-1.70,0,0,0,0,0,0,0,10,4,1,80.0,3
29,Nathan Ake,nl NED,DF,Manchester City,28-192,1995,2,2,168,1.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,5,0,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,2023,2,0,0.0,1.07,0.00,0.00,,5.2,0,0.18,-0.4,-0.4,144,150,96.0,2569,756,52,54,96.3,79,82,96.3,8,9,88.9,0.0,0.0,0,4,0,0,148,2,1,0,0,0,1,0,0,0,0,0,0,4,2.14,3,0,0,1,0,0,1,0.54,0,0,0,1,0,0,4,3,3,1,0,4,5,80.0,1,0,0,0,4,8,4,0,168,5,70,92,7,3,168,0,0,,0,,119,592,359,1,0,0,0,125,84,62.2,84,1,0,,1,3.00,5,1,+4,+2.14,+1.26,5.3,0.9,+4.4,+2.36,+1.67,0,0,2,0,0,0,0,10,5,1,83.3,3
42,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-326,1998,3,3,254,2.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,9,13,5,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches,2023,3,2,66.7,1.06,0.71,0.00,0.00,18.8,0,0.04,-0.1,-0.1,114,167,68.3,2191,999,46,49,93.9,45,61,73.8,18,50,36.0,0.4,-0.2,4,12,4,1,129,37,10,2,5,14,21,6,0,5,0,1,1,11,3.90,7,2,1,1,0,0,2,0.71,2,0,0,0,0,0,5,4,4,1,0,2,5,40.0,3,2,0,2,1,6,11,2,195,13,69,75,54,3,195,7,5,71.4,1,14.3,75,382,210,5,2,4,1,105,85,94.1,85,2,0,,0,2.33,6,3,+3,+1.06,+1.06,5.1,3.8,+1.3,+0.47,+4.70,0,1,2,0,0,0,0,19,0,0,,3
45,Alisson,br BRA,GK,Liverpool,30-331,1992,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,96,124,77.4,2139,1368,20,20,100.0,62,62,100.0,14,41,34.1,0.0,0.0,0,0,0,0,97,27,5,0,0,0,0,0,0,0,0,0,0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,131,93,129,2,0,0,131,0,0,,0,,91,425,301,0,0,1,0,71,90,100.0,90,3,0,,0,2.33,6,3,+3,+1.00,,5.2,4.6,+0.6,+0.19,,0,1,0,0,0,0,0,1,1,0,100.0,3
48,Miguel Almiron,py PAR,FW,Newcastle Utd,29-200,1994,3,3,260,2.9,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.0,17,8,27,0.00,0.00,0.00,0.00,0.00,0.23,0.14,0.36,0.23,0.36,Matches,2023,9,2,22.2,3.12,0.69,0.00,0.00,18.9,0,0.07,-0.7,-0.7,85,97,87.6,1121,190,58,65,89.2,24,25,96.0,2,3,66.7,0.1,-0.4,4,3,3,0,96,0,0,0,0,0,0,0,0,0,0,1,1,9,3.12,7,0,0,1,1,0,0,0.00,0,0,0,0,0,0,3,3,1,1,1,3,7,42.9,4,4,0,4,2,5,0,0,123,0,17,45,61,13,123,3,0,0.0,2,66.7,96,670,385,5,5,3,5,101,87,96.3,87,1,0,,0,1.00,5,4,+1,+0.35,-8.65,5.1,3.1,+2.0,+0.68,+0.36,0,1,1,1,0,0,0,10,0,1,0.0,3
51,Edson Alvarez,mx MEX,MF,West Ham,25-309,1997,2,1,93,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,10,19,52.6,140,71,4,7,57.1,3,6,50.0,1,4,25.0,0.0,0.0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0,1,3,1,2,3,4,8,0,35,14,27,6,3,0,35,1,1,100.0,0,0.0,10,61,24,0,0,0,0,8,47,34.4,83,0,1,10,0,3.00,4,1,+3,+2.90,+2.39,3.4,1.2,+2.2,+2.10,+2.88,0,3,0,0,0,0,0,5,3,2,60.0,3
53,Julian Alvarez,ar ARG,MF,Manchester City,23-210,2000,3,3,270,3.0,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,6,10,21,0.33,0.33,0.67,0.33,0.67,0.39,0.20,0.59,0.39,0.59,Matches,2023,12,5,41.7,4.00,1.67,0.08,0.20,16.9,2,0.10,-0.2,-0.2,94,127,74.0,1315,298,60,69,87.0,23,35,65.7,6,14,42.9,0.6,+0.4,12,1,4,0,107,19,5,3,0,20,2,11,5,4,0,1,2,13,4.33,8,4,1,0,0,0,1,0.33,1,0,0,0,0,0,2,2,1,0,1,0,4,0.0,4,5,0,5,1,3,0,0,160,0,9,58,94,16,160,3,2,66.7,1,33.3,94,390,203,9,2,7,2,118,90,100.0,90,3,0,,0,3.00,6,1,+5,+1.67,,6.5,1.3,+5.2,+1.73,,0,4,2,0,0,0,0,7,1,3,25.0,3
56,Zeki Amdouni,ch SUI,FW,Burnley,22-268,2000,2,2,140,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,7,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,2023,3,1,33.3,1.93,0.64,0.00,0.00,20.1,0,0.03,-0.1,-0.1,25,27,92.6,323,92,16,18,88.9,5,5,100.0,2,2,100.0,0.0,0.0,0,2,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,2,1.29,0,0,1,0,0,1,0,0.00,0,0,0,0,0,0,2,2,0,0,2,2,3,66.7,1,1,1,0,0,2,1,0,48,3,6,20,22,6,48,7,3,42.9,4,57.1,24,158,36,1,2,5,2,31,70,77.8,70,0,0,,0,0.00,1,5,-4,-2.57,-0.32,0.5,3.4,-2.9,-1.86,-0.74,0,3,2,0,0,0,0,9,2,2,50.0,3
59,Joachim Andersen,dk DEN,DF,Crystal Palace,27-090,1996,3,3,270,3.0,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,5,29,1,0.33,0.00,0.33,0.33,0.33,0.07,0.08,0.15,0.07,0.15,Matches,2023,3,3,100.0,1.00,1.00,0.33,0.33,16.6,0,0.07,+0.8,+0.8,181,212,85.4,4141,1398,49,54,90.7,103,107,96.3,29,45,64.4,0.3,-0.2,6,25,6,2,202,8,8,1,4,6,0,0,0,0,0,2,2,14,4.67,14,0,0,0,0,0,1,0.33,1,0,0,0,0,0,7,4,6,0,1,5,6,83.3,1,4,3,1,2,9,16,0,251,26,107,116,30,4,251,4,4,100.0,0,0.0,151,929,645,5,0,2,0,162,90,100.0,90,3,0,,0,1.33,2,2,0,0.00,,3.7,3.5,+0.2,+0.06,,0,4,4,0,0,0,0,15,13,5,72.2,3
60,Elliot Anderson,sct SCO,MF,Newcastle Utd,20-296,2002,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,17,21,81.0,331,34,8,8,100.0,5,5,100.0,3,5,60.0,0.0,0.0,1,4,1,0,21,0,0,0,1,1,0,0,0,0,0,0,1,2,5.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,1,1,0,1,3,33.3,2,1,1,0,1,3,1,0,28,1,5,15,9,3,28,2,1,50.0,0,0.0,16,127,80,1,0,1,1,18,12,13.0,,0,3,12,0,1.00,0,1,-1,-2.57,-3.72,0.4,0.8,-0.4,-1.12,-2.05,0,0,0,0,0,0,0,1,0,0,,3
67,Jaidon Anthony,eng ENG,FW,Bournemouth,23-271,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,2023,2,1,50.0,1.18,0.59,0.00,0.00,24.5,0,0.03,-0.1,-0.1,30,45,66.7,453,139,17,20,85.0,10,14,71.4,1,6,16.7,0.0,0.0,0,3,1,0,42,3,2,0,0,2,0,1,0,0,0,0,3,3,1.78,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0,69,2,15,27,27,4,69,6,2,33.3,3,50.0,36,160,77,2,0,5,2,40,51,56.3,61,0,1,31,0,0.33,1,5,-4,-2.37,-2.37,0.6,4.4,-3.8,-2.27,-2.98,0,4,2,2,0,0,0,11,1,3,25.0,3
69,Michail Antonio,jm JAM,FW,West Ham,33-154,1990,3,3,230,2.6,2,0,2,2,0,0,1,0,0.9,0.9,0.3,1.2,5,2,10,0.78,0.00,0.78,0.78,0.78,0.34,0.12,0.46,0.34,0.46,Matches,2023,5,3,60.0,1.96,1.17,0.40,0.67,13.4,0,0.17,+1.1,+1.1,19,35,54.3,326,152,9,13,69.2,6,10,60.0,2,5,40.0,0.3,-0.3,1,2,0,0,34,1,1,1,1,1,0,0,0,0,0,0,3,7,2.74,5,0,2,0,0,0,2,0.78,1,0,1,0,0,0,2,0,0,1,1,2,3,66.7,1,2,2,0,0,2,1,0,69,2,14,35,22,8,69,9,6,66.7,1,11.1,43,340,184,3,2,11,5,49,77,85.2,77,0,0,,0,2.33,6,1,+5,+1.96,+4.21,4.3,3.7,+0.5,+0.21,-0.05,0,2,6,1,0,0,0,9,5,9,35.7,3
70,Antony,br BRA,"FW,MF",Manchester Utd,23-186,2000,3,3,225,2.5,0,0,0,0,0,0,1,0,0.6,0.6,0.8,1.4,13,13,36,0.00,0.00,0.00,0.00,0.00,0.23,0.33,0.56,0.23,0.56,Matches,2023,10,2,20.0,4.00,0.80,0.00,0.00,18.7,0,0.06,-0.6,-0.6,75,95,78.9,943,272,53,63,84.1,15,18,83.3,3,7,42.9,0.6,-0.8,8,5,7,0,92,3,2,0,0,5,1,0,0,0,0,0,3,13,5.20,12,0,1,0,0,0,0,0.00,0,0,0,0,0,0,6,2,2,3,1,4,7,57.1,3,3,0,3,2,8,0,0,130,2,9,39,84,13,130,10,3,30.0,4,40.0,94,647,377,9,6,5,3,98,75,83.3,75,0,0,,0,2.00,4,3,+1,+0.40,+2.40,6.1,3.9,+2.3,+0.90,+1.58,0,3,6,0,0,0,0,17,0,3,0.0,3
76,Cameron Archer,eng ENG,MF,Aston Villa,22-039,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0.0,0.0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,1,4,2,0,7,0,0,,0,,5,39,28,1,0,1,0,7,6,2.2,,0,1,6,1,3.00,0,0,0,0.00,-0.68,0.0,0.0,0.0,0.00,-0.85,0,1,0,0,0,0,0,1,0,0,,3
77,Alphonse Areola,fr FRA,GK,West Ham,30-183,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,40,89,44.9,1640,1345,4,5,80.0,11,11,100.0,25,71,35.2,0.0,0.0,0,0,0,0,46,41,12,0,2,0,0,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,102,90,101,1,0,0,102,0,0,,0,,36,377,193,1,0,0,0,16,90,100.0,90,3,0,,0,2.33,7,3,+4,+1.33,,5.9,5.3,+0.6,+0.21,,0,0,0,0,0,0,0,1,1,0,100.0,3
