player,shirtnumber,nation,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,started,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team,opponent,gameweek,season,position_1,position_2,position_3,position_4
Jordan Beyer,5,de GER,23,73,0,0,0,0,0,0,0,0,49.0,4.0,4,2.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0,80.0,0.0,21.0,0.0,1.0,0.0,1.0,545.0,186.0,10.0,11.0,90.9,17.0,18.0,94.4,1.0,6.0,16.7,0.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,8.0,4.0,0.0,13.0,35.0,14.0,0.0,0.0,49.0,0.0,1.0,100.0,103.0,39.0,0.0,0.0,0.0,0.0,31.0,0.0,0,1,0,0,0.0,0.0,0,2.0,1.0,0.0,100.0,True,BUR,MCI,1.0,2023-2024,CB,,,
Benson Manuel,10,be BEL,26,17,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,7.0,1.0,4.0,0.0,0.0,43.0,10.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,9.0,0.0,4.0,100.0,74.0,24.0,2.0,0.0,0.0,0.0,8.0,3.0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,True,BUR,MCI,1.0,2023-2024,FW,,,
Dara O'Shea,2,ie IRL,24,90,0,0,0,0,0,0,0,0,62.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,42.0,56.0,75.0,3.0,27.0,0.0,0.0,0.0,1.0,857.0,307.0,12.0,17.0,70.6,24.0,25.0,96.0,6.0,12.0,50.0,0.0,0.0,2.0,0.0,0.0,54.0,2.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,1.0,1.0,0.0,15.0,43.0,18.0,1.0,0.0,62.0,,0.0,,130.0,34.0,0.0,0.0,1.0,0.0,42.0,0.0,0,0,1,0,0.0,0.0,0,6.0,2.0,2.0,50.0,True,BUR,MCI,1.0,2023-2024,CB,,,
Ameen Al Dakhil,28,be BEL,21,90,0,0,0,0,0,0,0,0,51.0,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,32.0,38.0,84.2,3.0,24.0,1.0,0.0,0.0,1.0,690.0,258.0,11.0,13.0,84.6,15.0,18.0,83.3,6.0,7.0,85.7,0.0,0.0,3.0,0.0,0.0,36.0,2.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,6.0,24.0,22.0,5.0,1.0,51.0,,0.0,,159.0,94.0,2.0,0.0,0.0,1.0,30.0,0.0,0,1,1,0,0.0,0.0,0,4.0,2.0,3.0,40.0,True,BUR,MCI,1.0,2023-2024,CB,,,
Connor Roberts,14,wls WAL,27,90,0,0,0,0,0,0,0,0,51.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,46.0,84.8,4.0,17.0,0.0,0.0,0.0,1.0,728.0,215.0,14.0,15.0,93.3,20.0,22.0,90.9,5.0,8.0,62.5,0.0,0.0,3.0,0.0,0.0,38.0,8.0,0.0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,13.0,30.0,8.0,0.0,51.0,,0.0,,73.0,43.0,1.0,0.0,1.0,0.0,33.0,0.0,0,1,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,True,BUR,MCI,1.0,2023-2024,RB,,,
James Trafford,1,eng ENG,20,90,0,0,0,0,0,0,0,0,55.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,52.0,75.0,1.0,32.0,0.0,0.0,0.0,1.0,835.0,553.0,16.0,16.0,100.0,11.0,11.0,100.0,11.0,23.0,47.8,0.0,0.0,2.0,0.0,0.0,44.0,8.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,40.0,52.0,3.0,0.0,0.0,55.0,,0.0,,149.0,73.0,0.0,0.0,0.0,0.0,32.0,0.0,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,,True,BUR,MCI,1.0,2023-2024,GK,,,
Erling Haaland,9,no NOR,23,79,2,0,0,0,4,2,0,0,18.0,0.0,0,0.0,0.6,0.6,0.3,3.0,0.0,9.0,11.0,81.8,1.0,15.0,1.0,0.0,0.0,1.0,98.0,24.0,6.0,6.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.1,2.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,11.0,5.0,18.0,,0.0,,59.0,34.0,2.0,0.0,1.0,2.0,16.0,3.0,0,1,2,0,0.0,0.0,0,3.0,1.0,2.0,33.3,False,MCI,BUR,1.0,2023-2024,FW,,,
Cole Palmer,80,eng ENG,21,11,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,6.0,0.0,0.0,0.0,0.0,51.0,0.0,2.0,2.0,100.0,2.0,3.0,66.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,,0.0,,35.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,,False,MCI,BUR,1.0,2023-2024,LM,,,
Phil Foden,47,eng ENG,23,90,0,0,0,0,3,1,0,0,58.0,0.0,1,1.0,0.3,0.3,0.1,4.0,0.0,37.0,48.0,77.1,5.0,43.0,1.0,2.0,1.0,1.0,493.0,102.0,20.0,22.0,90.9,13.0,14.0,92.9,0.0,5.0,0.0,0.1,2.0,0.0,2.0,0.0,44.0,4.0,2.0,2.0,0.0,3,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,26.0,31.0,5.0,58.0,50.0,1.0,50.0,196.0,79.0,4.0,0.0,2.0,3.0,47.0,4.0,0,0,1,0,0.0,0.0,0,2.0,0.0,2.0,0.0,False,MCI,BUR,1.0,2023-2024,RM,LW,,
Bernardo Silva,20,pt POR,29,90,0,0,0,0,0,0,0,0,75.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,70.0,87.1,3.0,58.0,2.0,1.0,0.0,1.0,830.0,149.0,40.0,42.0,95.2,13.0,19.0,68.4,5.0,5.0,100.0,0.0,0.0,6.0,0.0,0.0,67.0,3.0,2.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,50.0,15.0,0.0,75.0,0.0,1.0,100.0,327.0,119.0,1.0,0.0,0.0,0.0,59.0,3.0,0,0,0,0,0.0,0.0,0,4.0,0.0,1.0,0.0,False,MCI,BUR,1.0,2023-2024,CM,RW,,
Julian Alvarez,19,ar ARG,23,90,0,1,0,0,3,1,0,0,53.0,1.0,0,1.0,0.3,0.3,0.3,6.0,1.0,36.0,44.0,81.8,2.0,25.0,2.0,0.0,0.0,1.0,490.0,113.0,22.0,25.0,88.0,7.0,9.0,77.8,3.0,5.0,60.0,0.4,6.0,0.0,2.0,0.0,38.0,6.0,3.0,2.0,0.0,5,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,22.0,29.0,4.0,53.0,,0.0,,104.0,50.0,2.0,1.0,2.0,1.0,40.0,6.0,0,1,1,0,0.0,0.0,0,2.0,1.0,3.0,25.0,False,MCI,BUR,1.0,2023-2024,LM,AM,FW,
Rodri,16,es ESP,27,90,1,1,0,0,4,3,0,0,122.0,5.0,0,0.0,0.5,0.5,0.2,5.0,1.0,107.0,110.0,97.3,4.0,84.0,1.0,0.0,0.0,1.0,1679.0,463.0,55.0,55.0,100.0,41.0,42.0,97.6,7.0,8.0,87.5,0.2,1.0,14.0,0.0,0.0,110.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2.0,2.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,27.0,84.0,11.0,4.0,122.0,,0.0,,327.0,173.0,1.0,1.0,1.0,1.0,97.0,1.0,0,2,0,1,0.0,0.0,0,8.0,1.0,0.0,100.0,False,MCI,BUR,1.0,2023-2024,DM,CB,,
Kevin De Bruyne,17,be BEL,32,22,0,0,0,0,1,0,0,0,12.0,0.0,0,0.0,0.0,0.0,0.2,2.0,1.0,6.0,10.0,60.0,1.0,5.0,0.0,0.0,0.0,1.0,142.0,74.0,1.0,2.0,50.0,4.0,5.0,80.0,1.0,2.0,50.0,0.2,1.0,0.0,3.0,2.0,8.0,1.0,0.0,0.0,0.0,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,12.0,,0.0,,29.0,25.0,0.0,0.0,0.0,0.0,8.0,3.0,0,1,0,0,0.0,0.0,0,2.0,0.0,0.0,,False,MCI,BUR,1.0,2023-2024,DM,,,
Mateo Kovacic,8,hr CRO,29,68,0,0,0,0,0,0,0,0,72.0,2.0,0,3.0,0.0,0.0,0.2,2.0,0.0,61.0,64.0,95.3,4.0,50.0,1.0,3.0,1.0,0.0,888.0,167.0,39.0,39.0,100.0,17.0,18.0,94.4,3.0,4.0,75.0,0.2,1.0,3.0,1.0,0.0,64.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,1.0,2.0,2.0,100.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,11.0,51.0,10.0,0.0,72.0,33.3,0.0,0.0,333.0,140.0,2.0,0.0,0.0,1.0,63.0,2.0,0,1,2,0,0.0,0.0,0,1.0,0.0,1.0,0.0,False,MCI,BUR,1.0,2023-2024,CM,,,
Rico Lewis,82,eng ENG,18,78,0,0,0,0,0,0,0,0,47.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,36.0,42.0,85.7,3.0,30.0,1.0,1.0,1.0,1.0,552.0,65.0,22.0,25.0,88.0,12.0,12.0,100.0,2.0,4.0,50.0,0.0,0.0,2.0,0.0,0.0,39.0,3.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,14.0,22.0,12.0,0.0,47.0,100.0,0.0,0.0,146.0,65.0,1.0,0.0,0.0,1.0,28.0,1.0,0,0,1,0,0.0,0.0,0,9.0,0.0,2.0,0.0,False,MCI,BUR,1.0,2023-2024,LB,,,
Josko Gvardiol,24,hr CRO,21,12,0,0,0,0,0,0,0,0,13.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,4.0,0.0,0.0,0.0,0.0,54.0,16.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,8.0,2.0,1.0,13.0,,0.0,,10.0,5.0,0.0,0.0,1.0,0.0,4.0,1.0,0,0,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,False,MCI,BUR,1.0,2023-2024,LB,,,
Nathan Ake,6,nl NED,28,78,0,0,0,0,1,0,0,0,79.0,3.0,2,0.0,0.3,0.3,0.0,2.0,1.0,65.0,69.0,94.2,1.0,53.0,1.0,0.0,0.0,1.0,1085.0,222.0,29.0,30.0,96.7,29.0,31.0,93.5,5.0,6.0,83.3,0.0,0.0,3.0,0.0,0.0,68.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,36.0,39.0,5.0,2.0,79.0,,0.0,,233.0,93.0,0.0,0.0,0.0,0.0,61.0,0.0,0,0,1,0,0.0,0.0,0,5.0,3.0,1.0,75.0,False,MCI,BUR,1.0,2023-2024,CB,,,
Aymeric Laporte,14,es ESP,29,12,0,0,0,0,1,1,0,0,14.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,202.0,48.0,4.0,4.0,100.0,7.0,7.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,6.0,1.0,1.0,14.0,,0.0,,23.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,False,MCI,BUR,1.0,2023-2024,CB,,,
Manuel Akanji,25,ch SUI,28,90,0,0,0,0,0,0,0,0,109.0,3.0,0,2.0,0.0,0.0,0.0,1.0,0.0,89.0,102.0,87.3,2.0,78.0,1.0,0.0,0.0,1.0,1375.0,382.0,41.0,42.0,97.6,41.0,48.0,85.4,3.0,6.0,50.0,0.0,0.0,4.0,0.0,0.0,100.0,2.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,0.0,2.0,4.0,50.0,2.0,1.0,1.0,3.0,2.0,0.0,10.0,57.0,49.0,3.0,0.0,109.0,,0.0,,488.0,250.0,0.0,0.0,0.0,0.0,90.0,1.0,0,0,0,0,0.0,0.0,0,2.0,4.0,1.0,80.0,False,MCI,BUR,1.0,2023-2024,CB,RB,,
Kyle Walker,2,eng ENG,33,89,0,0,0,0,0,0,0,0,81.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,66.0,72.0,91.7,2.0,48.0,1.0,3.0,0.0,1.0,1198.0,179.0,22.0,23.0,95.7,36.0,37.0,97.3,6.0,9.0,66.7,0.0,1.0,3.0,0.0,0.0,64.0,8.0,0.0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,22.0,42.0,17.0,1.0,81.0,0.0,1.0,33.3,218.0,71.0,0.0,1.0,1.0,0.0,55.0,3.0,0,1,2,0,0.0,0.0,0,9.0,1.0,0.0,100.0,False,MCI,BUR,1.0,2023-2024,RB,,,
James Mcatee,87,eng ENG,20,1,0,0,0,0,0,0,0,0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,False,MCI,BUR,1.0,2023-2024,DM,RB,,
Ederson,31,br BRA,29,90,0,0,0,0,0,0,0,0,75.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,62.0,75.0,82.7,0.0,49.0,0.0,0.0,0.0,1.0,1653.0,1190.0,19.0,19.0,100.0,27.0,28.0,96.4,16.0,28.0,57.1,0.0,0.0,7.0,1.0,0.0,67.0,8.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,47.0,74.0,1.0,0.0,0.0,75.0,,0.0,,196.0,131.0,0.0,0.0,0.0,0.0,48.0,0.0,0,0,1,0,0.0,0.0,0,3.0,0.0,0.0,,False,MCI,BUR,1.0,2023-2024,GK,,,
