minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,gameweek,home_team,away_team
9,Moussa Diaby,Aston Villa,0.02,0.17,Saved,17,Left Foot,,Tyrone Mings,Pass (Live),Tyrone Mings,Interception,1,Newcastle Utd,Aston Villa
11,Moussa Diaby,Aston Villa,0.13,0.13,Goal,14,Right Foot,Volley,Ollie Watkins,Pass (Live),Douglas Luiz,Pass (Live),1,Newcastle Utd,Aston Villa
16,Alexander Isak,Newcastle Utd,0.44,0.32,Goal,10,Right Foot,,Sven Botman,Pass (Live),Sandro Tonali,Pass (Live),1,Newcastle Utd,Aston Villa
21,Tyrone Mings,Aston Villa,0.01,,Blocked,18,Head,,John McGinn,Pass (Dead),Ezri Konsa,Fouled,1,Newcastle Utd,Aston Villa
24,Ollie Watkins,Aston Villa,0.16,,Off Target,12,Right Foot,,Moussa Diaby,Pass (Live),Leon Bailey,Pass (Live),1,Newcastle Utd,Aston Villa
35,Douglas Luiz,Aston Villa,0.11,,Off Target,8,Head,,Lucas Digne,Pass (Dead),Moussa Diaby,Pass (Live),1,Newcastle Utd,Aston Villa
42,Moussa Diaby,Aston Villa,0.12,,Off Target,10,Right Foot,,Douglas Luiz,Pass (Live),Moussa Diaby,Pass (Live),1,Newcastle Utd,Aston Villa
45+7,Douglas Luiz,Aston Villa,0.02,,Blocked,23,Right Foot,,Matty Cash,Pass (Live),,,1,Newcastle Utd,Aston Villa
45+10,Dan Burn,Newcastle Utd,0.16,,Off Target,5,Head,,Kieran Trippier,Pass (Dead),Miguel Almiron,Fouled,1,Newcastle Utd,Aston Villa
48,Bruno Guimaraes,Newcastle Utd,0.03,,Blocked,18,Right Foot,,Miguel Almiron,Pass (Live),Kieran Trippier,Pass (Live),1,Newcastle Utd,Aston Villa
51,Anthony Gordon,Newcastle Utd,0.07,,Blocked,14,Right Foot,Volley,Sandro Tonali,Pass (Live),Miguel Almiron,Pass (Live),1,Newcastle Utd,Aston Villa
52,Sven Botman,Newcastle Utd,0.07,,Off Target,10,Head,,Kieran Trippier,Pass (Dead),Anthony Gordon,Shot,1,Newcastle Utd,Aston Villa
55,Boubacar Kamara,Aston Villa,0.03,,Off Target,7,Head,,Lucas Digne,Pass (Dead),Douglas Luiz,Pass (Live),1,Newcastle Utd,Aston Villa
58,Alexander Isak,Newcastle Utd,0.08,0.54,Goal,10,Right Foot,,Bruno Guimaraes,Pass (Live),Bruno Guimaraes,Take-On,1,Newcastle Utd,Aston Villa
60,Douglas Luiz,Aston Villa,0.02,,Blocked,32,Right Foot,,Boubacar Kamara,Pass (Live),Douglas Luiz,Pass (Live),1,Newcastle Utd,Aston Villa
60,Alexander Isak,Newcastle Utd,0.25,0.30,Saved,14,Right Foot,,Miguel Almiron,Pass (Live),Joelinton,Pass (Live),1,Newcastle Utd,Aston Villa
62,Miguel Almiron,Newcastle Utd,0.05,0.02,Saved,21,Left Foot,,,,,,1,Newcastle Utd,Aston Villa
64,Ollie Watkins,Aston Villa,0.16,0.39,Saved,14,Right Foot,,Ollie Watkins,Take-On,Moussa Diaby,Pass (Live),1,Newcastle Utd,Aston Villa
64,Matty Cash,Aston Villa,0.70,,Off Target,9,Right Foot,,Ollie Watkins,Shot,,,1,Newcastle Utd,Aston Villa
74,Matty Cash,Aston Villa,0.02,0.57,Saved,22,Right Foot,,Pau Torres,Pass (Live),Boubacar Kamara,Pass (Live),1,Newcastle Utd,Aston Villa
75,Diego Carlos,Aston Villa,0.06,,Off Target,10,Head,,Lucas Digne,Pass (Dead),Matty Cash,Shot,1,Newcastle Utd,Aston Villa
77,Callum Wilson,Newcastle Utd,0.47,0.78,Goal,10,Right Foot,,Harvey Barnes,Pass (Live),Sandro Tonali,Pass (Live),1,Newcastle Utd,Aston Villa
80,Callum Wilson,Newcastle Utd,0.02,0.04,Saved,11,Right Foot,,Dan Burn,Pass (Live),Joelinton,Pass (Live),1,Newcastle Utd,Aston Villa
81,Callum Wilson,Newcastle Utd,0.39,0.81,Saved,9,Right Foot,,Harvey Barnes,Pass (Live),Joelinton,Pass (Live),1,Newcastle Utd,Aston Villa
82,Joelinton,Newcastle Utd,0.12,,Blocked,4,Head,Deflected,Kieran Trippier,Pass (Dead),Callum Wilson,Shot,1,Newcastle Utd,Aston Villa
90,Philippe Coutinho,Aston Villa,0.08,,Off Target,11,Right Foot,,Youri Tielemans,Pass (Live),Lucas Digne,Pass (Live),1,Newcastle Utd,Aston Villa
90+1,Harvey Barnes,Newcastle Utd,0.53,0.95,Goal,10,Right Foot,,Jacob Murphy,Pass (Live),Jacob Murphy,Take-On,1,Newcastle Utd,Aston Villa
90+2,Callum Wilson,Newcastle Utd,0.03,0.20,Saved,32,Right Foot,,Jacob Murphy,Pass (Live),,,1,Newcastle Utd,Aston Villa
90+4,Douglas Luiz,Aston Villa,0.03,0.35,Saved,21,Right Foot,Free kick,Lucas Digne,Fouled,Philippe Coutinho,Pass (Live),1,Newcastle Utd,Aston Villa
90+5,Diego Carlos,Aston Villa,0.21,0.24,Saved,2,Head,,Douglas Luiz,Pass (Dead),Douglas Luiz,Shot,1,Newcastle Utd,Aston Villa
9,Dejan Kulusevski,Tottenham,0.01,,Blocked,18,Left Foot,,,,,,1,Brentford,Tottenham
9,Micky van de Ven,Tottenham,0.01,,Off Target,17,Head,,Dejan Kulusevski,Shot,,,1,Brentford,Tottenham
11,Cristian Romero,Tottenham,0.58,0.62,Goal,5,Head,,James Maddison,Pass (Dead),James Maddison,Fouled,1,Brentford,Tottenham
16,Bryan Mbeumo,Brentford,0.05,0.09,Saved,12,Left Foot,,Yoane Wissa,Pass (Live),Kristoffer Ajer,Pass (Live),1,Brentford,Tottenham
17,Aaron Hickey,Brentford,0.03,,Blocked,27,Left Foot,,Vitaly Janelt,Pass (Live),Mathias Jensen,Pass (Live),1,Brentford,Tottenham
18,Yoane Wissa,Brentford,0.08,0.07,Saved,16,Right Foot,Volley,Aaron Hickey,Pass (Live),Nathan Collins,Pass (Live),1,Brentford,Tottenham
27,Bryan Mbeumo (pen),Brentford,0.79,0.99,Goal,13,Left Foot,,Mathias Jensen,Fouled,Bryan Mbeumo,Pass (Live),1,Brentford,Tottenham
28,Yves Bissouma,Tottenham,0.01,,Off Target,58,Right Foot,,,,,,1,Brentford,Tottenham
31,Yoane Wissa,Brentford,0.05,,Blocked,12,Right Foot,,Vitaly Janelt,Pass (Live),,,1,Brentford,Tottenham
36,Yoane Wissa,Brentford,0.17,0.08,Goal,14,Left Foot,Deflected,Rico Henry,Pass (Live),Rico Henry,Take-On,1,Brentford,Tottenham
42,Yves Bissouma,Tottenham,0.02,,Blocked,33,Right Foot,Deflected,James Maddison,Pass (Live),Son Heung-min,Pass (Live),1,Brentford,Tottenham
44,Yves Bissouma,Tottenham,0.01,,Blocked,34,Right Foot,,Destiny Udogie,Pass (Live),Destiny Udogie,Pass (Live),1,Brentford,Tottenham
45+3,Son Heung-min,Tottenham,0.02,,Off Target,9,Left Foot,Volley,Yves Bissouma,Pass (Live),,,1,Brentford,Tottenham
45+4,Emerson,Tottenham,0.03,0.24,Goal,25,Right Foot,,James Maddison,Pass (Live),Destiny Udogie,Pass (Live),1,Brentford,Tottenham
45+10,Bryan Mbeumo,Brentford,0.56,,Off Target,8,Right Foot,,Rico Henry,Pass (Live),Christian Norgaard,Pass (Live),1,Brentford,Tottenham
47,James Maddison,Tottenham,0.05,0.02,Saved,19,Left Foot,,Dejan Kulusevski,Pass (Live),James Maddison,Pass (Live),1,Brentford,Tottenham
52,Davinson Sanchez,Tottenham,0.12,,Off Target,9,Head,,James Maddison,Pass (Dead),Richarlison,Take-On,1,Brentford,Tottenham
53,Dejan Kulusevski,Tottenham,0.01,,Off Target,15,Left Foot,Volley,Davinson Sanchez,Shot,,,1,Brentford,Tottenham
58,Vitaly Janelt,Brentford,0.04,0.39,Saved,20,Left Foot,,Yoane Wissa,Pass (Live),Christian Norgaard,Pass (Live),1,Brentford,Tottenham
58,Mikkel Damsgaard,Brentford,0.07,0.12,Saved,17,Right Foot,,Vitaly Janelt,Shot,,,1,Brentford,Tottenham
60,Dejan Kulusevski,Tottenham,0.02,,Blocked,24,Left Foot,,Dejan Kulusevski,Pass (Live),Dejan Kulusevski,Take-On,1,Brentford,Tottenham
60,Son Heung-min,Tottenham,0.08,0.13,Saved,11,Left Foot,,Dejan Kulusevski,Shot,,,1,Brentford,Tottenham
60,Micky van de Ven,Tottenham,0.02,,Off Target,18,Left Foot,Volley,Son Heung-min,Shot,,,1,Brentford,Tottenham
61,James Maddison,Tottenham,0.02,,Blocked,22,Right Foot,,Yves Bissouma,Pass (Live),Emerson,Pass (Live),1,Brentford,Tottenham
64,Richarlison,Tottenham,0.09,0.06,Saved,12,Right Foot,,James Maddison,Pass (Live),Yves Bissouma,Pass (Live),1,Brentford,Tottenham
83,Pape Matar Sarr,Tottenham,0.09,0.04,Saved,9,Head,,Ivan Perisic,Pass (Live),Destiny Udogie,Pass (Live),1,Brentford,Tottenham
86,Mads Roerslev,Brentford,0.03,,Blocked,22,Right Foot,,,,,,1,Brentford,Tottenham
87,Kevin Schade,Brentford,0.35,,Off Target,18,Right Foot,,Mathias Jorgensen,Pass (Live),Vitaly Janelt,Pass (Live),1,Brentford,Tottenham
89,Richarlison,Tottenham,0.09,,Blocked,15,Right Foot,,James Maddison,Pass (Live),Ivan Perisic,Pass (Live),1,Brentford,Tottenham
2,Diogo Jota,Liverpool,0.02,,Off Target,15,Head,,Alexis Mac Allister,Pass (Live),Mohamed Salah,Pass (Live),1,Chelsea,Liverpool
6,Diogo Jota,Liverpool,0.05,,Off Target,15,Right Foot,,Mohamed Salah,Pass (Live),Diogo Jota,Pass (Live),1,Chelsea,Liverpool
11,Enzo Fernandez,Chelsea,0.06,,Blocked,13,Right Foot,,Raheem Sterling,Pass (Live),Enzo Fernandez,Pass (Live),1,Chelsea,Liverpool
12,Mohamed Salah,Liverpool,0.08,,Woodwork,21,Right Foot,,Cody Gakpo,Pass (Live),Luis Diaz,Pass (Live),1,Chelsea,Liverpool
16,Nicolas Jackson,Chelsea,0.13,0.23,Saved,8,Right Foot,,Reece James,Pass (Live),Raheem Sterling,Pass (Live),1,Chelsea,Liverpool
18,Luis Diaz,Liverpool,0.51,0.80,Goal,11,Left Foot,,Mohamed Salah,Pass (Live),Alexis Mac Allister,Pass (Live),1,Chelsea,Liverpool
24,Nicolas Jackson,Chelsea,0.04,,Off Target,14,Left Foot,,Levi Colwill,Pass (Live),Levi Colwill,Take-On,1,Chelsea,Liverpool
26,Mohamed Salah,Liverpool,0.17,,Blocked,17,Left Foot,,Luis Diaz,Pass (Live),Andrew Robertson,Pass (Dead),1,Chelsea,Liverpool
37,Axel Disasi,Chelsea,0.41,0.86,Goal,6,Right Foot,,Ben Chilwell,Pass (Live),Raheem Sterling,Pass (Live),1,Chelsea,Liverpool
41,Mohamed Salah,Liverpool,0.03,,Off Target,17,Left Foot,,Cody Gakpo,Pass (Live),Diogo Jota,Pass (Live),1,Chelsea,Liverpool
43,Nicolas Jackson,Chelsea,0.13,,Off Target,9,Right Foot,,Reece James,Pass (Live),Raheem Sterling,Pass (Live),1,Chelsea,Liverpool
45+6,Axel Disasi,Chelsea,0.06,,Off Target,11,Head,,Enzo Fernandez,Pass (Dead),Enzo Fernandez,Fouled,1,Chelsea,Liverpool
47,Luis Diaz,Liverpool,0.11,,Off Target,13,Right Foot,,Dominik Szoboszlai,Pass (Live),,,1,Chelsea,Liverpool
49,Luis Diaz,Liverpool,0.05,,Off Target,15,Right Foot,Volley,Virgil van Dijk,Pass (Live),Trent Alexander-Arnold,Pass (Live),1,Chelsea,Liverpool
49,Virgil van Dijk,Liverpool,0.03,,Off Target,23,Right Foot,,Diogo Jota,Pass (Live),Luis Diaz,Shot,1,Chelsea,Liverpool
53,Luis Diaz,Liverpool,0.17,,Blocked,4,Head,,Dominik Szoboszlai,Pass (Dead),Luis Diaz,Pass (Live),1,Chelsea,Liverpool
54,Dominik Szoboszlai,Liverpool,0.02,,Blocked,26,Right Foot,,Andrew Robertson,Pass (Live),,,1,Chelsea,Liverpool
55,Ben Chilwell,Chelsea,0.16,0.17,Saved,13,Left Foot,,Enzo Fernandez,Pass (Live),Raheem Sterling,Pass (Live),1,Chelsea,Liverpool
62,Reece James,Chelsea,0.03,,Off Target,32,Right Foot,Free kick,Ben Chilwell,Fouled,Carney Chukwuemeka,Pass (Live),1,Chelsea,Liverpool
65,Levi Colwill,Chelsea,0.08,,Blocked,16,Left Foot,,Thiago Silva,Pass (Live),Carney Chukwuemeka,Pass (Live),1,Chelsea,Liverpool
71,Nicolas Jackson,Chelsea,0.24,0.18,Saved,11,Left Foot,,Levi Colwill,Pass (Live),,,1,Chelsea,Liverpool
82,Darwin Nunez,Liverpool,0.02,,Blocked,26,Left Foot,,Harvey Elliott,Pass (Live),Darwin Nunez,Pass (Live),1,Chelsea,Liverpool
90+3,Darwin Nunez,Liverpool,0.01,,Blocked,27,Right Foot,,Virgil van Dijk,Pass (Live),Alisson,Pass (Live),1,Chelsea,Liverpool
3,Matheus Cunha,Wolves,0.01,,Blocked,29,Right Foot,,Nelson Semedo,Pass (Live),Mario Lemina,Pass (Live),1,Manchester Utd,Wolves
11,Marcus Rashford,Manchester Utd,0.18,0.11,Saved,16,Right Foot,,Antony,Pass (Live),Casemiro,Pass (Live),1,Manchester Utd,Wolves
13,Alejandro Garnacho,Manchester Utd,0.01,,Blocked,23,Right Foot,,Bruno Fernandes,Interception,,,1,Manchester Utd,Wolves
18,Joao Gomes,Wolves,0.01,,Blocked,13,Head,,Pedro Neto,Pass (Dead),Pedro Neto,Fouled,1,Manchester Utd,Wolves
26,Pablo Sarabia,Wolves,0.06,,Blocked,17,Left Foot,,Matheus Cunha,Pass (Live),Matheus Cunha,Take-On,1,Manchester Utd,Wolves
27,Mario Lemina,Wolves,0.01,,Blocked,35,Right Foot,,Matheus Nunes,Pass (Live),Pablo Sarabia,Pass (Live),1,Manchester Utd,Wolves
33,Matheus Cunha,Wolves,0.19,,Off Target,14,Right Foot,,Pablo Sarabia,Pass (Live),Matheus Cunha,Pass (Live),1,Manchester Utd,Wolves
38,Marcus Rashford,Manchester Utd,0.14,,Blocked,10,Head,,Aaron Wan-Bissaka,Pass (Live),Bruno Fernandes,Pass (Live),1,Manchester Utd,Wolves
38,Bruno Fernandes,Manchester Utd,0.02,,Blocked,32,Left Foot,,Antony,Pass (Live),Raphael Varane,Pass (Live),1,Manchester Utd,Wolves
42,Alejandro Garnacho,Manchester Utd,0.04,,Off Target,16,Left Foot,,Lisandro Martinez,Pass (Live),Lisandro Martinez,Tackle,1,Manchester Utd,Wolves
45+1,Antony,Manchester Utd,0.05,,Blocked,13,Right Foot,,Aaron Wan-Bissaka,Pass (Live),Mason Mount,Pass (Live),1,Manchester Utd,Wolves
45+2,Marcus Rashford,Manchester Utd,0.06,,Blocked,14,Right Foot,,Antony,Pass (Live),,,1,Manchester Utd,Wolves
45+2,Raphael Varane,Manchester Utd,0.17,,Off Target,9,Head,,Bruno Fernandes,Pass (Dead),Marcus Rashford,Shot,1,Manchester Utd,Wolves
46,Pedro Neto,Wolves,0.01,0.16,Saved,11,Right Foot,,Pablo Sarabia,Pass (Live),Pedro Neto,Pass (Live),1,Manchester Utd,Wolves
49,Pedro Neto,Wolves,0.50,,Off Target,10,Right Foot,,Pablo Sarabia,Pass (Live),Matheus Nunes,Pass (Live),1,Manchester Utd,Wolves
49,Matheus Cunha,Wolves,0.24,,Woodwork,4,Right Foot,,Pedro Neto,Shot,,,1,Manchester Utd,Wolves
51,Antony,Manchester Utd,0.08,,Blocked,16,Left Foot,,Bruno Fernandes,Pass (Live),Alejandro Garnacho,Pass (Live),1,Manchester Utd,Wolves
52,Alejandro Garnacho,Manchester Utd,0.03,,Blocked,16,Left Foot,,Casemiro,Pass (Live),Antony,Pass (Live),1,Manchester Utd,Wolves
53,Antony,Manchester Utd,0.05,,Blocked,12,Left Foot,,Casemiro,Pass (Live),Raphael Varane,Pass (Live),1,Manchester Utd,Wolves
55,Matheus Cunha,Wolves,0.07,0.16,Saved,26,Right Foot,,Joao Gomes,Pass (Live),Joao Gomes,Tackle,1,Manchester Utd,Wolves
59,Craig Dawson,Wolves,0.06,,Blocked,9,Right Foot,,Joao Gomes,Pass (Live),,,1,Manchester Utd,Wolves
59,Alejandro Garnacho,Manchester Utd,0.04,,Off Target,21,Left Foot,,Bruno Fernandes,Pass (Live),Alejandro Garnacho,Pass (Live),1,Manchester Utd,Wolves
64,Matheus Cunha,Wolves,0.07,,Off Target,10,Head,,Pedro Neto,Pass (Dead),Hwang Hee-chan,Fouled,1,Manchester Utd,Wolves
67,Hwang Hee-chan,Wolves,0.04,,Off Target,24,Right Foot,,Hwang Hee-chan,Take-On,Rayan Ait Nouri,Pass (Dead),1,Manchester Utd,Wolves
72,Pedro Neto,Wolves,0.37,0.10,Saved,14,Left Foot,,Matheus Cunha,Pass (Live),Matheus Cunha,Interception,1,Manchester Utd,Wolves
76,Raphael Varane,Manchester Utd,0.83,0.74,Goal,4,Head,,Aaron Wan-Bissaka,Pass (Live),Bruno Fernandes,Pass (Live),1,Manchester Utd,Wolves
81,Hwang Hee-chan,Wolves,0.11,,Off Target,15,Right Foot,Volley,Pedro Neto,Pass (Live),Nelson Semedo,Pass (Live),1,Manchester Utd,Wolves
82,Marcus Rashford,Manchester Utd,0.05,,Blocked,15,Left Foot,,Jadon Sancho,Pass (Live),,,1,Manchester Utd,Wolves
83,Fabio Silva,Wolves,0.08,0.14,Saved,6,Right Foot,,,,,,1,Manchester Utd,Wolves
84,Fabio Silva,Wolves,0.07,0.04,Saved,11,Right Foot,,Joao Gomes,Tackle,Joao Gomes,Take-On,1,Manchester Utd,Wolves
85,Facundo Pellistri,Manchester Utd,0.44,,Off Target,4,Right Foot,Volley,Bruno Fernandes,Pass (Live),Jadon Sancho,Interception,1,Manchester Utd,Wolves
88,Max Kilman,Wolves,0.03,0.18,Saved,9,Head,,Matheus Nunes,Pass (Dead),Joao Gomes,Fouled,1,Manchester Utd,Wolves
90,Fabio Silva,Wolves,0.13,,Blocked,9,Right Foot,,Hwang Hee-chan,Pass (Live),Max Kilman,Pass (Live),1,Manchester Utd,Wolves
90+4,Hwang Hee-chan,Wolves,0.06,,Blocked,14,Left Foot,,Fabio Silva,Pass (Live),Nelson Semedo,Pass (Live),1,Manchester Utd,Wolves
90+4,Mario Lemina,Wolves,0.03,,Blocked,24,Right Foot,,Max Kilman,Pass (Live),Hwang Hee-chan,Pass (Live),1,Manchester Utd,Wolves
90+5,Mario Lemina,Wolves,0.06,,Blocked,17,Right Foot,,Nelson Semedo,Pass (Live),Hugo Bueno,Pass (Live),1,Manchester Utd,Wolves
90+5,Hugo Bueno,Wolves,0.04,,Blocked,23,Right Foot,,Hugo Bueno,Take-On,Mario Lemina,Shot,1,Manchester Utd,Wolves
90+6,Hwang Hee-chan,Wolves,0.11,,Off Target,10,Head,,Hugo Bueno,Pass (Live),Mario Lemina,Pass (Live),1,Manchester Utd,Wolves
3,Taiwo Awoniyi,Nott'ham Forest,0.29,0.77,Goal,7,Head,,Serge Aurier,Pass (Live),Brennan Johnson,Pass (Live),2,Nott'ham Forest,Sheffield Utd
14,Morgan Gibbs-White,Nott'ham Forest,0.04,0.32,Saved,23,Right Foot,,Taiwo Awoniyi,Pass (Live),Morgan Gibbs-White,Pass (Live),2,Nott'ham Forest,Sheffield Utd
16,Scott McKenna,Nott'ham Forest,0.19,,Off Target,6,Head,,Joe Worrall,Pass (Live),Morgan Gibbs-White,Pass (Live),2,Nott'ham Forest,Sheffield Utd
31,Brennan Johnson,Nott'ham Forest,0.02,,Blocked,19,Left Foot,,Morgan Gibbs-White,Pass (Live),Orel Mangala,Pass (Live),2,Nott'ham Forest,Sheffield Utd
32,Willy Boly,Nott'ham Forest,0.11,,Off Target,8,Head,,Morgan Gibbs-White,Pass (Dead),Brennan Johnson,Shot,2,Nott'ham Forest,Sheffield Utd
34,Vinicius Souza,Sheffield Utd,0.02,0.45,Saved,29,Right Foot,,Anel Ahmedhodzic,Pass (Live),Gustavo Hamer,Pass (Live),2,Nott'ham Forest,Sheffield Utd
40,Brennan Johnson,Nott'ham Forest,0.03,,Blocked,22,Right Foot,,Serge Aurier,Pass (Live),,,2,Nott'ham Forest,Sheffield Utd
43,Joe Worrall,Nott'ham Forest,0.07,,Off Target,9,Head,,Morgan Gibbs-White,Pass (Dead),,,2,Nott'ham Forest,Sheffield Utd
43,Serge Aurier,Nott'ham Forest,0.01,,Off Target,11,Head,,Joe Worrall,Shot,,,2,Nott'ham Forest,Sheffield Utd
45,Morgan Gibbs-White,Nott'ham Forest,0.03,,Off Target,24,Right Foot,,Morgan Gibbs-White,Take-On,Neco Williams,Pass (Live),2,Nott'ham Forest,Sheffield Utd
46,Anel Ahmedhodzic,Sheffield Utd,0.07,,Blocked,13,Right Foot,Volley,Oliver Norwood,Pass (Live),Yasser Larouci,Pass (Live),2,Nott'ham Forest,Sheffield Utd
48,Gustavo Hamer,Sheffield Utd,0.02,0.46,Goal,21,Right Foot,,Anel Ahmedhodzic,Shot,,,2,Nott'ham Forest,Sheffield Utd
51,Jack Robinson,Sheffield Utd,0.03,,Off Target,18,Left Foot,,Vinicius Souza,Tackle,,,2,Nott'ham Forest,Sheffield Utd
52,Vinicius Souza,Sheffield Utd,0.03,,Off Target,29,Right Foot,,William Osula,Pass (Live),Vinicius Souza,Interception,2,Nott'ham Forest,Sheffield Utd
62,Danilo,Nott'ham Forest,0.03,,Off Target,29,Left Foot,,Taiwo Awoniyi,Pass (Live),Serge Aurier,Pass (Live),2,Nott'ham Forest,Sheffield Utd
65,Willy Boly,Nott'ham Forest,0.26,0.88,Saved,4,Right Foot,Deflected,Morgan Gibbs-White,Pass (Dead),,,2,Nott'ham Forest,Sheffield Utd
69,William Osula,Sheffield Utd,0.05,,Off Target,6,Head,,Gustavo Hamer,Pass (Dead),Jack Robinson,Pass (Live),2,Nott'ham Forest,Sheffield Utd
71,Danilo,Nott'ham Forest,0.10,,Blocked,21,Right Foot,,Taiwo Awoniyi,Pass (Live),Brennan Johnson,Pass (Live),2,Nott'ham Forest,Sheffield Utd
71,Anthony Elanga,Nott'ham Forest,0.03,,Blocked,22,Right Foot,,Danilo,Pass (Live),Morgan Gibbs-White,Pass (Live),2,Nott'ham Forest,Sheffield Utd
72,Neco Williams,Nott'ham Forest,0.02,,Blocked,24,Right Foot,,Danilo,Pass (Live),Anthony Elanga,Shot,2,Nott'ham Forest,Sheffield Utd
73,Joe Worrall,Nott'ham Forest,0.04,,Off Target,12,Head,,Morgan Gibbs-White,Pass (Dead),Morgan Gibbs-White,Fouled,2,Nott'ham Forest,Sheffield Utd
78,Benie Adama Traore,Sheffield Utd,0.27,0.62,Saved,15,Right Foot,,,,,,2,Nott'ham Forest,Sheffield Utd
89,Chris Wood,Nott'ham Forest,0.12,0.08,Goal,9,Head,,Serge Aurier,Pass (Live),Joe Worrall,Pass (Live),2,Nott'ham Forest,Sheffield Utd
3,Yoane Wissa,Brentford,0.01,,Off Target,13,Right Foot,Volley,Mathias Jensen,Fouled,Rico Henry,Pass (Live),2,Fulham,Brentford
6,Issa Diop,Fulham,0.11,,Off Target,10,Right Foot,Volley,Raul Jimenez,Tackle,,,2,Fulham,Brentford
9,Andreas Pereira,Fulham,0.02,,Off Target,38,Right Foot,,,,,,2,Fulham,Brentford
15,Bryan Mbeumo,Brentford,0.11,0.05,Saved,10,Left Foot,Volley,Mathias Jensen,Pass (Live),Aaron Hickey,Pass (Live),2,Fulham,Brentford
19,Mathias Jensen,Brentford,0.03,,Off Target,48,Right Foot,Free kick,Kevin Schade,Fouled,Christian Norgaard,Interception,2,Fulham,Brentford
22,Issa Diop,Fulham,0.02,,Blocked,27,Right Foot,,Harry Wilson,Fouled,Harrison Reed,Pass (Live),2,Fulham,Brentford
24,Christian Norgaard,Brentford,0.02,,Off Target,12,Head,,Mathias Jensen,Pass (Dead),Aaron Hickey,Fouled,2,Fulham,Brentford
24,Yoane Wissa,Brentford,0.13,0.31,Saved,8,Head,Deflected,Christian Norgaard,Shot,,,2,Fulham,Brentford
28,Yoane Wissa,Brentford,0.04,0.22,Saved,26,Right Foot,,,,,,2,Fulham,Brentford
34,Bobby Reid,Fulham,0.01,,Blocked,26,Right Foot,,Harrison Reed,Pass (Live),Bobby Reid,Pass (Live),2,Fulham,Brentford
38,Yoane Wissa,Brentford,0.09,,Off Target,9,Left Foot,,Bryan Mbeumo,Pass (Live),Vitaly Janelt,Pass (Live),2,Fulham,Brentford
44,Yoane Wissa,Brentford,0.31,0.69,Goal,15,Right Foot,,,,,,2,Fulham,Brentford
46,Nathan Collins,Brentford,0.12,,Off Target,4,Head,,Mathias Jensen,Pass (Dead),,,2,Fulham,Brentford
50,Raul Jimenez,Fulham,0.03,,Blocked,24,Right Foot,,Antonee Robinson,Pass (Live),Andreas Pereira,Pass (Live),2,Fulham,Brentford
53,Bobby Reid,Fulham,0.14,,Woodwork,16,Left Foot,,Harrison Reed,Pass (Live),Kenny Tete,Pass (Live),2,Fulham,Brentford
54,Mathias Jensen,Brentford,0.06,0.05,Saved,18,Right Foot,Volley,Vitaly Janelt,Pass (Live),Aaron Hickey,Pass (Live),2,Fulham,Brentford
58,Harry Wilson,Fulham,0.03,0.09,Saved,28,Left Foot,,Antonee Robinson,Pass (Live),,,2,Fulham,Brentford
62,Yoane Wissa,Brentford,0.27,,Blocked,6,Right Foot,,Ethan Pinnock,Pass (Live),Mathias Jensen,Pass (Dead),2,Fulham,Brentford
66,Bryan Mbeumo (pen),Brentford,0.79,1.00,Goal,13,Left Foot,,Yoane Wissa,Fouled,Kevin Schade,Pass (Live),2,Fulham,Brentford
69,Raul Jimenez,Fulham,0.02,,Blocked,17,Right Foot,,Harry Wilson,Pass (Live),Issa Diop,Pass (Live),2,Fulham,Brentford
75,Yoane Wissa,Brentford,0.56,,Off Target,4,Head,,Ethan Pinnock,Shot,,,2,Fulham,Brentford
75,Ethan Pinnock,Brentford,0.04,,Off Target,9,Head,,Mathias Jensen,Pass (Dead),Bryan Mbeumo,Pass (Live),2,Fulham,Brentford
82,Willian,Fulham,0.07,,Off Target,27,Right Foot,Free kick,Harry Wilson,Fouled,Joao Palhinha,Pass (Live),2,Fulham,Brentford
90+2,Bryan Mbeumo,Brentford,0.96,0.96,Goal,4,Left Foot,,Kristoffer Ajer,Pass (Live),Rico Henry,Pass (Live),2,Fulham,Brentford
90+5,Kristoffer Ajer,Brentford,0.14,,Blocked,12,Left Foot,,Vitaly Janelt,Pass (Live),Mathias Jensen,Pass (Dead),2,Fulham,Brentford
90+5,Keane Lewis-Potter,Brentford,0.26,0.13,Saved,8,Right Foot,,Kristoffer Ajer,Shot,,,2,Fulham,Brentford
90+6,Harry Wilson,Fulham,0.02,0.12,Saved,11,Right Foot,,Sasa Lukic,Pass (Live),Harry Wilson,Pass (Live),2,Fulham,Brentford
3,Antoine Semenyo,Bournemouth,0.09,0.22,Goal,15,Right Foot,,Philip Billing,Pass (Live),,,2,Liverpool,Bournemouth
6,Virgil van Dijk,Liverpool,0.09,,Woodwork,9,Head,,Andrew Robertson,Pass (Dead),,,2,Liverpool,Bournemouth
13,Trent Alexander-Arnold,Liverpool,0.03,0.11,Saved,15,Right Foot,,Trent Alexander-Arnold,Take-On,Mohamed Salah,Pass (Live),2,Liverpool,Bournemouth
18,Luis Diaz,Liverpool,0.04,,Blocked,15,Right Foot,,Trent Alexander-Arnold,Pass (Live),Dominik Szoboszlai,Pass (Live),2,Liverpool,Bournemouth
