minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
26,Alejandro Garnacho,Manchester Utd,0.08,,Blocked,17,Right Foot,,Marcus Rashford,Pass (Live),Marcus Rashford,Take-On
28,Casemiro,Manchester Utd,0.05,,Blocked,10,Head,,Luke Shaw,Pass (Dead),Alejandro Garnacho,Shot
30,Pape Matar Sarr,Tottenham,0.14,0.04,Saved,9,Left Foot,,Son Heung-min,Pass (Live),Destiny Udogie,Pass (Live)
30,Pape Matar Sarr,Tottenham,0.08,,Blocked,6,Right Foot,,Pape Matar Sarr,Shot,,
32,Bruno Fernandes,Manchester Utd,0.05,,Blocked,18,Right Foot,,Marcus Rashford,Pass (Live),Antony,Pass (Live)
32,Antony,Manchester Utd,0.02,,Off Target,24,Left Foot,,Bruno Fernandes,Shot,,
36,Bruno Fernandes,Manchester Utd,0.52,,Off Target,7,Head,,Luke Shaw,Pass (Live),Alejandro Garnacho,Pass (Live)
40,Pedro Porro,Tottenham,0.11,,Woodwork,20,Right Foot,,Son Heung-min,Pass (Live),Micky van de Ven,Pass (Live)
44,Dejan Kulusevski,Tottenham,0.02,0.02,Saved,26,Left Foot,,Richarlison,Pass (Live),Pape Matar Sarr,Pass (Live)
45,Cristian Romero,Tottenham,0.11,,Off Target,10,Head,,Pedro Porro,Pass (Live),Pape Matar Sarr,Fouled
49,Pape Matar Sarr,Tottenham,0.32,0.96,Goal,5,Left Foot,Volley,Pedro Porro,Pass (Live),Pape Matar Sarr,Pass (Live)
51,Antony,Manchester Utd,0.14,,Woodwork,15,Left Foot,,Bruno Fernandes,Pass (Live),Mason Mount,Pass (Live)
52,Destiny Udogie,Tottenham,0.09,0.35,Saved,7,Left Foot,,Son Heung-min,Pass (Live),James Maddison,Pass (Live)
53,James Maddison,Tottenham,0.04,0.29,Saved,12,Right Foot,,James Maddison,Take-On,Pape Matar Sarr,Pass (Live)
56,Casemiro,Manchester Utd,0.22,0.16,Saved,10,Head,,Bruno Fernandes,Pass (Dead),Marcus Rashford,Fouled
60,Yves Bissouma,Tottenham,0.03,,Off Target,30,Right Foot,,Dejan Kulusevski,Pass (Live),Pedro Porro,Pass (Live)
61,Son Heung-min,Tottenham,0.13,,Blocked,11,Right Foot,,Son Heung-min,Take-On,Son Heung-min,Take-On
64,Yves Bissouma,Tottenham,0.04,,Off Target,16,Right Foot,,Yves Bissouma,Take-On,Son Heung-min,Pass (Live)
74,Pape Matar Sarr,Tottenham,0.07,,Off Target,8,Head,,James Maddison,Pass (Dead),,
80,Casemiro,Manchester Utd,0.06,0.13,Saved,22,Right Foot,Volley,Bruno Fernandes,Pass (Live),Raphael Varane,Pass (Live)
83,Ben Davies,Tottenham,0.42,,Off Target,9,Left Foot,,Ivan Perisic,Pass (Live),James Maddison,Pass (Live)
86,Bruno Fernandes,Manchester Utd,0.03,,Blocked,22,Right Foot,,Anthony Martial,Pass (Live),Diogo Dalot,Pass (Live)
90+2,Bruno Fernandes,Manchester Utd,0.03,0.03,Saved,28,Right Foot,,Lisandro Martinez,Pass (Live),Raphael Varane,Pass (Live)
90+3,James Maddison,Tottenham,0.06,,Blocked,14,Right Foot,,Ivan Perisic,Pass (Live),Ben Davies,Pass (Live)
90+3,Ben Davies,Tottenham,0.01,,Blocked,27,Right Foot,Volley,James Maddison,Shot,,
90+6,Casemiro,Manchester Utd,0.05,,Blocked,20,Left Foot,,Luke Shaw,Pass (Live),,
90+7,Casemiro,Manchester Utd,0.02,,Blocked,11,Head,,Luke Shaw,Pass (Dead),Casemiro,Shot
90+9,Bruno Fernandes,Manchester Utd,0.13,,Off Target,25,Right Foot,Free kick,Facundo Pellistri,Fouled,,
9,Jack Grealish,Manchester City,0.03,,Blocked,16,Right Foot,,Julian Alvarez,Pass (Live),Phil Foden,Pass (Live)
14,Manuel Akanji,Manchester City,0.03,,Off Target,27,Left Foot,,Phil Foden,Pass (Live),Kyle Walker,Pass (Live)
21,Joelinton,Newcastle Utd,0.04,,Blocked,19,Right Foot,,Alexander Isak,Pass (Live),Miguel Almiron,Pass (Live)
29,Jack Grealish,Manchester City,0.02,,Blocked,18,Right Foot,,Phil Foden,Pass (Live),Erling Haaland,Pass (Live)
29,Mateo Kovacic,Manchester City,0.07,,Blocked,22,Left Foot,,Kyle Walker,Pass (Live),Jack Grealish,Shot
30,Phil Foden,Manchester City,0.05,,Blocked,21,Left Foot,,Manuel Akanji,Pass (Live),Rodri,Pass (Live)
31,Julian Alvarez,Manchester City,0.11,0.81,Goal,17,Right Foot,,Phil Foden,Pass (Live),Mateo Kovacic,Pass (Live)
35,Mateo Kovacic,Manchester City,0.03,,Blocked,29,Right Foot,,Julian Alvarez,Take-On,Phil Foden,Pass (Live)
37,Miguel Almiron,Newcastle Utd,0.03,,Blocked,18,Left Foot,,Kieran Trippier,Pass (Live),Sven Botman,Pass (Live)
38,Jack Grealish,Manchester City,0.04,,Blocked,16,Right Foot,,Phil Foden,Pass (Live),Mateo Kovacic,Pass (Live)
41,Erling Haaland,Manchester City,0.08,,Off Target,16,Left Foot,,Phil Foden,Pass (Live),Julian Alvarez,Pass (Live)
48,Anthony Gordon,Newcastle Utd,0.03,,Blocked,19,Right Foot,,Joelinton,Pass (Live),Alexander Isak,Pass (Live)
49,Anthony Gordon,Newcastle Utd,0.05,,Off Target,13,Left Foot,,Joelinton,Pass (Live),Kieran Trippier,Pass (Live)
50,Erling Haaland,Manchester City,0.07,0.11,Saved,16,Left Foot,Volley,Ederson,Pass (Dead),,
63,Erling Haaland,Manchester City,0.17,,Off Target,15,Left Foot,,Phil Foden,Pass (Live),Jack Grealish,Pass (Live)
65,Erling Haaland,Manchester City,0.11,0.04,Saved,13,Right Foot,,Phil Foden,Pass (Live),Ruben Dias,Pass (Live)
66,Bruno Guimaraes,Newcastle Utd,0.07,,Off Target,22,Right Foot,,Miguel Almiron,Pass (Live),Bruno Guimaraes,Pass (Live)
70,Harvey Barnes,Newcastle Utd,0.03,0.11,Saved,28,Right Foot,,Callum Wilson,Pass (Live),Callum Wilson,Take-On
78,Miguel Almiron,Newcastle Utd,0.03,,Blocked,22,Left Foot,,Elliot Anderson,Pass (Live),Harvey Barnes,Pass (Live)
88,Phil Foden,Manchester City,0.08,,Blocked,15,Left Foot,,Julian Alvarez,Pass (Live),Rodri,Pass (Live)
89,Phil Foden,Manchester City,0.20,0.64,Saved,12,Right Foot,,Erling Haaland,Pass (Live),Rodri,Pass (Live)
