player,position,team,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,season,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gameweek
Hugo Bueno,DF,Wolves,20,2,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,0,4,0.00,0.00,0.00,0.00,0.00,0.89,0.54,1.43,0.89,1.43,2023,3,0,0.0,14.21,0.00,0.00,,18.0,0,0.06,-0.2,-0.2,21,26,80.8,308,76,14,16,87.5,6,8,75.0,1,1,100.0,0.1,-0.1,1,1,1,1,24,2,0,0,0,4,2,0,0,0,0,0,1,4,20.00,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,31,0,4,15,12,4,31,1,1,100.0,0,0.0,22,152,105,0,0,0,0,22,10,10.6,,0,2,10,0,0.00,0,0,0,0.00,+2.24,0.9,0.5,+0.4,+1.87,+2.15,0,0,1,0,0,0,0,3,0,2,0.0,2
Dan Burn,DF,Newcastle Utd,31,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,2,1,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,2023,1,0,0.0,0.50,0.00,0.00,,5.0,0,0.16,-0.2,-0.2,101,126,80.2,1558,671,55,60,91.7,44,55,80.0,2,6,33.3,0.0,0.0,0,6,0,0,109,15,5,0,1,0,10,0,0,0,0,2,1,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6,2,3,3,0,0,5,0.0,5,4,2,2,2,8,2,0,143,8,62,64,18,2,143,0,0,,0,,87,341,181,1,0,0,0,88,90,100.0,90,2,0,,0,1.50,5,2,+3,+1.50,,3.6,2.8,+0.9,+0.44,,0,0,1,1,0,0,0,9,2,2,50.0,2
Mason Burstow,FW,Chelsea,20,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,4,75.0,29,1,3,3,100.0,0,0,,0,0,,0.0,0.0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,1,4,0,5,0,0,,0,,1,0,0,0,0,0,0,2,8,4.4,,0,1,8,1,0.00,0,1,-1,-11.25,-10.73,0.1,0.9,-0.8,-8.67,-9.48,0,0,0,0,0,0,0,0,0,0,,2
Moises Caicedo,MF,Chelsea,21,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,2023,1,0,0.0,3.00,0.00,0.00,,25.9,0,0.02,0.0,0.0,33,39,84.6,478,190,16,18,88.9,15,17,88.2,0,0,,0.0,0.0,0,2,0,0,35,4,2,0,0,0,2,0,0,0,0,0,0,1,3.00,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,1,46,0,8,22,16,0,46,2,1,50.0,1,50.0,29,115,58,1,0,1,0,31,30,16.7,,0,1,30,0,0.00,0,1,-1,-3.00,-2.40,0.4,1.0,-0.6,-1.80,-2.62,0,2,2,0,0,1,0,4,1,1,50.0,2
Tom Cairney,MF,Fulham,32,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,3,2,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,2023,1,0,0.0,1.58,0.00,0.00,,21.2,0,0.04,0.0,0.0,32,39,82.1,431,83,22,24,91.7,7,8,87.5,2,3,66.7,0.1,0.0,1,2,1,0,36,2,1,0,0,0,0,0,0,0,0,1,2,3,4.74,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,44,0,2,29,13,1,44,0,0,,0,,36,162,62,1,0,0,4,36,57,31.7,57,0,0,,1,3.00,0,0,0,0.00,+1.46,0.2,2.1,-1.9,-2.96,-1.11,0,0,1,0,0,0,0,3,1,0,100.0,2
Dominic Calvert-Lewin,FW,Everton,26,1,1,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,3,4,75.0,32,7,2,3,66.7,1,1,100.0,0,0,,0.0,0.0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,2,3,2,5,0,0,,0,,3,13,5,0,0,1,0,3,37,20.6,37,0,0,,0,0.00,0,2,-2,-4.86,-2.98,0.1,1.7,-1.6,-3.93,-4.27,0,2,0,0,0,0,0,2,1,3,25.0,2
Diego Carlos,DF,Aston Villa,30,2,0,54,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,2023,2,1,50.0,3.33,1.67,0.00,0.00,6.3,0,0.14,-0.3,-0.3,38,41,92.7,646,314,13,14,92.9,24,25,96.0,0,1,0.0,0.0,0.0,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,4,4,0,0,1,1,100.0,0,1,1,0,0,4,3,0,52,8,28,22,2,2,52,1,0,0.0,1,100.0,34,185,79,0,0,0,0,39,27,30.0,,0,2,27,0,1.50,1,2,-1,-1.67,-2.38,1.8,1.6,+0.2,+0.34,-0.02,0,0,0,0,0,0,0,5,2,0,100.0,2
Casemiro,MF,Manchester Utd,31,2,2,180,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1,15,6,0.00,0.00,0.00,0.00,0.00,0.20,0.04,0.24,0.20,0.24,2023,5,2,40.0,2.50,1.00,0.00,0.00,14.4,0,0.08,-0.4,-0.4,80,99,80.8,1392,546,41,47,87.2,30,35,85.7,7,12,58.3,0.1,-0.1,2,15,2,0,98,1,1,1,1,1,0,0,0,0,0,0,1,5,2.50,3,0,0,1,1,0,0,0.00,0,0,0,0,0,0,5,3,1,3,1,1,7,14.3,6,5,3,2,2,7,7,0,134,11,43,58,34,4,134,1,0,0.0,1,100.0,71,232,146,2,0,2,4,86,90,100.0,90,2,0,,0,1.50,1,2,-1,-0.50,,4.3,4.0,+0.3,+0.15,,0,4,1,1,0,0,0,13,4,2,66.7,2
Matty Cash,"DF,FW",Aston Villa,26,2,2,176,2.0,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,3,6,3,0.00,0.00,0.00,0.00,0.00,0.37,0.06,0.43,0.37,0.43,2023,2,1,50.0,1.02,0.51,0.00,0.00,15.4,0,0.36,-0.7,-0.7,87,102,85.3,1319,408,41,44,93.2,40,45,88.9,3,9,33.3,0.3,-0.1,1,2,2,1,80,22,3,0,0,2,19,0,0,0,0,0,1,3,1.53,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3,7,3,4,1,1,4,0,125,5,40,61,25,1,125,7,2,28.6,1,14.3,66,334,123,3,0,2,1,74,88,97.8,88,1,0,,0,1.50,5,4,+1,+0.51,+23.01,4.4,3.4,+1.0,+0.49,+6.21,0,5,5,0,0,0,0,11,2,1,66.7,2
Julio Cesar Enciso,MF,Brighton,19,2,1,69,0.8,0,2,2,0,0,0,1,0,0.2,0.2,0.7,0.9,5,0,5,0.00,2.61,2.61,0.00,2.61,0.26,0.96,1.22,0.26,1.22,2023,4,1,25.0,5.22,1.30,0.00,0.00,22.2,0,0.05,-0.2,-0.2,17,24,70.8,235,67,10,13,76.9,5,6,83.3,1,1,100.0,0.6,+1.3,2,1,0,0,24,0,0,1,0,0,0,0,0,0,0,0,1,5,6.52,3,0,2,0,0,0,2,2.61,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,34,0,1,20,15,4,34,9,6,66.7,2,22.2,29,245,132,3,3,1,0,29,35,38.3,66,0,1,3,0,3.00,5,1,+4,+5.22,+3.60,3.1,2.0,+1.0,+1.36,+0.03,0,0,3,1,0,0,0,2,0,0,,2
Ben Chilwell,DF,Chelsea,26,2,2,149,1.7,0,1,1,0,0,0,0,0,0.4,0.4,1.1,1.5,4,6,12,0.00,0.60,0.60,0.00,0.60,0.23,0.69,0.93,0.23,0.93,2023,3,1,33.3,1.81,0.60,0.00,0.00,12.0,0,0.13,-0.4,-0.4,81,100,81.0,1029,341,57,61,93.4,16,20,80.0,4,8,50.0,0.7,-0.1,3,4,1,1,86,14,1,0,0,8,10,3,3,0,0,0,4,4,2.42,2,1,0,0,1,0,1,0.60,1,0,0,0,0,0,2,2,0,2,0,0,0,,0,0,0,0,0,2,1,0,122,0,7,38,78,9,122,5,2,40.0,1,20.0,81,299,120,1,0,9,2,86,75,82.8,75,0,0,,0,0.50,2,3,-1,-0.60,+2.30,3.5,2.1,+1.4,+0.84,+2.61,0,2,3,1,0,0,0,11,3,1,75.0,2
Tahith Chong,MF,Luton Town,23,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,18,22,81.8,391,98,7,10,70.0,7,7,100.0,4,5,80.0,0.0,0.0,0,3,0,0,18,4,0,0,1,1,0,0,0,0,0,0,0,1,1.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,0,1,1,0,1,0.0,1,0,0,0,1,3,0,0,36,1,8,25,3,0,36,1,0,0.0,0,0.0,22,156,33,0,0,4,4,23,87,96.7,87,0,0,,0,0.00,1,3,-2,-2.07,+27.93,1.2,2.8,-1.6,-1.66,+26.47,0,0,3,0,0,0,0,6,0,0,,2
Ryan Christie,MF,Bournemouth,28,2,2,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,5,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,2023,1,1,100.0,0.70,0.70,0.00,0.00,28.7,0,0.02,0.0,0.0,32,41,78.0,501,127,18,19,94.7,9,15,60.0,3,4,75.0,0.0,0.0,1,3,1,0,37,3,1,1,1,1,0,0,0,0,0,1,0,2,1.41,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,4,3,1,0,3,3,4,75.0,1,4,1,3,2,6,1,0,60,4,9,33,19,1,60,3,1,33.3,2,66.7,31,163,57,0,0,2,4,37,64,71.1,64,0,0,,0,0.50,1,4,-3,-2.11,-3.84,0.5,3.7,-3.2,-2.25,-5.19,0,2,4,0,0,0,0,11,0,5,0.0,2
Carney Chukwuemeka,MF,Chelsea,19,2,2,125,1.4,1,0,1,1,0,0,2,0,0.1,0.1,0.1,0.2,2,4,9,0.72,0.00,0.72,0.72,0.72,0.08,0.09,0.16,0.08,0.16,2023,1,1,100.0,0.72,0.72,1.00,1.00,12.3,0,0.11,+0.9,+0.9,54,62,87.1,683,71,40,44,90.9,8,10,80.0,4,4,100.0,0.2,-0.1,1,3,2,0,62,0,0,1,0,1,0,0,0,0,0,0,1,4,2.88,3,0,1,0,0,0,2,1.44,1,0,1,0,0,0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,73,0,7,26,40,11,73,5,1,20.0,4,80.0,49,298,98,2,2,0,2,56,63,69.4,63,0,0,,0,0.50,2,2,0,0.00,+3.27,3.5,2.0,+1.5,+1.09,+2.32,0,2,1,0,0,0,0,4,0,2,0.0,2
Nathan Collins,DF,Brentford,22,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,2023,1,0,0.0,0.50,0.00,0.00,,4.3,0,0.12,-0.1,-0.1,95,110,86.4,1751,606,32,34,94.1,52,59,88.1,8,13,61.5,0.2,0.0,0,3,0,0,97,12,4,0,2,0,7,0,0,0,0,1,0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,16,0,133,26,86,39,8,6,133,3,2,66.7,0,0.0,75,313,221,1,0,0,0,89,90,100.0,90,2,0,,0,2.00,5,2,+3,+1.50,,5.9,1.7,+4.1,+2.06,,0,0,2,0,0,0,0,9,3,5,37.5,2
Levi Colwill,DF,Chelsea,20,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,2,7,2,0.00,0.00,0.00,0.00,0.00,0.11,0.14,0.25,0.11,0.25,2023,3,0,0.0,1.50,0.00,0.00,,16.9,0,0.07,-0.2,-0.2,120,144,83.3,1719,540,73,81,90.1,39,41,95.1,5,15,33.3,0.0,-0.3,2,13,1,0,133,11,2,0,0,2,9,0,0,0,0,0,4,5,2.50,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,3,2,0,3,0,0,0,,0,2,0,2,1,4,4,0,162,5,48,85,31,6,162,3,3,100.0,0,0.0,108,494,267,4,0,2,2,114,90,100.0,90,2,0,,0,0.50,2,4,-2,-1.00,,3.8,3.1,+0.8,+0.39,,0,1,1,0,0,0,0,10,3,0,100.0,2
Maxwel Cornet,MF,West Ham,26,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,1,1,100.0,16,11,0,0,,1,1,100.0,0,0,,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,2,0,0,,0,,1,2,2,0,0,0,0,1,1,0.6,,0,1,1,1,1.00,0,0,0,0.00,-1.01,0.0,0.0,0.0,0.00,+0.48,0,0,0,1,0,0,0,0,0,1,0.0,2
Vladimir Coufal,DF,West Ham,31,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,49,76,64.5,863,586,21,24,87.5,23,30,76.7,4,15,26.7,0.2,-0.1,2,3,2,2,52,23,1,0,0,4,22,0,0,0,0,1,4,3,1.50,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,3,0,3,0,0,2,3,66.7,1,3,0,3,4,7,7,0,100,9,55,36,11,0,100,1,0,0.0,1,100.0,33,233,58,0,0,2,1,36,90,100.0,90,2,0,,0,2.00,4,2,+2,+1.00,,2.9,3.8,-0.9,-0.47,,0,1,2,0,0,0,0,10,2,2,50.0,2
Philippe Coutinho,"MF,FW",Aston Villa,31,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,5,2,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,2023,3,1,33.3,10.80,3.60,0.00,0.00,24.9,0,0.05,-0.1,-0.1,20,24,83.3,265,63,11,14,78.6,8,9,88.9,0,0,,0.0,0.0,0,4,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,2,7.20,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,30,0,4,18,9,1,30,5,4,80.0,1,20.0,26,222,134,4,0,2,0,29,13,13.9,,0,2,13,0,1.50,1,1,0,0.00,0.00,0.9,0.6,+0.3,+1.16,+0.93,0,0,1,0,0,0,0,1,0,0,,2
Josh Cullen,MF,Burnley,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,37,43,86.0,659,112,17,18,94.4,18,19,94.7,1,3,33.3,0.0,0.0,0,1,0,0,41,2,1,0,0,2,0,1,0,1,0,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,46,3,21,19,6,0,46,0,0,,0,,16,48,18,0,0,0,0,30,90,100.0,90,1,0,,0,0.00,0,3,-3,-3.00,,0.3,1.9,-1.6,-1.62,,0,0,2,0,0,0,0,5,0,0,,2
Matheus Cunha,FW,Wolves,24,2,2,166,1.8,0,0,0,0,0,0,0,0,1.0,1.0,0.6,1.7,9,6,6,0.00,0.00,0.00,0.00,0.00,0.55,0.34,0.90,0.55,0.90,2023,6,2,33.3,3.25,1.08,0.00,0.00,14.4,0,0.17,-1.0,-1.0,35,42,83.3,410,149,25,26,96.2,8,10,80.0,0,2,0.0,0.4,-0.6,4,8,3,0,37,5,0,2,1,0,0,0,0,0,0,0,1,10,5.42,6,0,2,1,0,1,1,0.54,0,0,0,1,0,0,3,1,2,1,0,1,1,100.0,0,1,0,1,2,5,1,0,71,2,10,38,29,6,71,9,8,88.9,1,11.1,46,512,366,6,1,11,3,43,83,92.2,83,1,0,,0,0.00,1,5,-4,-2.17,-2.17,3.6,3.9,-0.3,-0.18,-1.54,0,1,2,1,0,0,0,8,1,2,33.3,2
Mahmoud Dahoud,MF,Brighton,27,2,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,6,0,0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.19,0.04,0.19,2023,2,0,0.0,2.17,0.00,0.00,,28.8,0,0.02,0.0,0.0,60,68,88.2,912,289,32,34,94.1,17,20,85.0,6,8,75.0,0.1,-0.1,3,10,1,1,67,1,1,0,0,1,0,0,0,0,0,0,0,4,4.34,4,0,0,0,0,0,1,1.08,1,0,0,0,0,0,3,1,1,2,0,1,3,33.3,2,1,0,1,0,3,0,0,76,4,14,48,14,1,76,0,0,,0,,46,172,63,1,0,2,0,56,42,46.1,73,0,1,10,0,3.00,2,0,+2,+2.17,-1.54,2.4,0.6,+1.8,+1.93,+1.09,0,3,0,0,0,0,0,10,0,0,,2
Ameen Al-Dakhil,DF,Burnley,21,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,32,38,84.2,690,258,11,13,84.6,15,18,83.3,6,7,85.7,0.0,0.0,0,3,0,0,36,2,0,0,1,0,2,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,0,1,1,0,1,0.0,1,2,1,1,1,3,4,0,51,6,24,22,5,1,51,0,0,,0,,24,159,94,2,0,0,1,30,90,100.0,90,1,0,,0,0.00,0,3,-3,-3.00,,0.3,1.9,-1.6,-1.62,,0,1,1,0,0,0,0,4,2,3,40.0,2
Diogo Dalot,DF,Manchester Utd,24,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,19,21,90.5,351,43,9,9,100.0,9,10,90.0,1,1,100.0,0.0,0.0,0,2,0,0,18,3,0,0,1,2,3,0,0,0,0,0,0,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0,0,0,2,2,2,100.0,0,2,0,2,0,2,0,0,26,2,5,9,12,1,26,2,1,50.0,0,0.0,14,87,47,0,1,0,0,18,25,13.9,,0,1,25,1,0.00,0,1,-1,-3.60,-3.60,0.3,0.6,-0.2,-0.84,-1.16,0,0,1,0,0,0,0,0,0,0,,2
Mikkel Damsgaard,"MF,FW",Brentford,23,2,0,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,2023,1,1,100.0,1.67,1.67,0.00,0.00,16.7,0,0.07,-0.1,-0.1,12,16,75.0,234,112,6,8,75.0,4,5,80.0,2,3,66.7,0.0,0.0,0,3,0,0,15,1,1,1,0,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,0,2,0.0,2,2,1,1,0,1,1,0,27,2,12,12,4,1,27,1,0,0.0,1,100.0,16,34,13,0,0,2,0,13,27,30.0,,0,2,27,0,2.00,1,0,+1,+1.67,+0.24,1.8,0.6,+1.2,+1.98,-0.11,0,3,1,0,0,0,0,6,0,0,,2
Danilo,"MF,FW",Nott'ham Forest,22,2,2,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,3,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,2023,2,0,0.0,1.13,0.00,0.00,,24.8,0,0.06,-0.1,-0.1,55,68,80.9,1066,204,23,27,85.2,24,26,92.3,7,11,63.6,0.1,-0.1,2,4,2,0,64,3,0,0,1,1,0,0,0,0,0,1,1,2,1.13,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,1,2,0,2,3,66.7,1,2,0,2,2,5,2,0,83,4,16,50,17,1,83,4,2,50.0,2,50.0,40,176,88,2,0,1,1,51,80,88.3,80,0,0,,0,1.50,2,3,-1,-0.57,-4.85,1.7,0.9,+0.8,+0.46,-1.47,0,0,0,0,0,0,0,11,2,1,66.7,2
Arnaut Danjuma,"MF,FW",Everton,26,2,0,72,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,3,2,10,0.00,0.00,0.00,0.00,0.00,0.23,0.19,0.42,0.23,0.42,2023,4,1,25.0,5.00,1.25,0.00,0.00,16.8,0,0.05,-0.2,-0.2,19,23,82.6,315,32,9,10,90.0,9,10,90.0,1,2,50.0,0.1,-0.2,1,0,0,0,20,3,0,0,1,2,0,1,1,0,0,0,1,4,5.00,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,37,1,2,13,23,8,37,4,2,50.0,1,25.0,22,235,71,4,2,4,2,26,36,40.0,,0,2,36,0,0.00,0,3,-3,-3.75,-2.08,0.8,2.4,-1.6,-1.94,-2.35,0,0,2,1,0,0,0,2,1,0,100.0,2
Josh Dasilva,MF,Brentford,24,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2023,0,0,,0.00,0.00,,,,0,,0.0,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,1,1,0,1,1,2,0,0,,0,,2,34,0,0,1,1,0,1,10,5.6,,0,1,10,1,3.00,0,0,0,0.00,-1.59,0.0,0.1,-0.1,-0.67,-2.89,0,0,0,0,0,0,0,1,0,0,,2
Ben Davies,DF,Tottenham,30,1,0,21,0.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,1,0.00,0.00,0.00,0.00,0.00,1.83,0.00,1.83,1.83,1.83,2023,2,0,0.0,8.57,0.00,0.00,,17.9,0,0.21,-0.4,-0.4,9,11,81.8,132,57,4,4,100.0,5,7,71.4,0,0,,0.0,0.0,0,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,1,0,19,3,9,5,5,1,19,2,1,50.0,1,50.0,10,40,21,0,0,0,1,10,21,11.7,,0,1,21,1,3.00,1,0,+1,+4.29,+3.72,0.6,0.3,+0.2,+1.00,+1.85,0,0,1,0,0,0,0,0,0,1,0.0,2
Craig Dawson,DF,Wolves,33,2,2,160,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,3,2,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.11,0.07,0.11,2023,3,1,33.3,1.69,0.56,0.00,0.00,16.7,0,0.04,-0.1,-0.1,77,88,87.5,1479,552,27,27,100.0,42,47,89.4,7,10,70.0,0.1,-0.1,1,3,0,0,85,3,3,0,0,0,0,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,2,4,0,0,3,4,75.0,1,5,3,2,1,5,6,0,111,18,68,33,10,8,111,1,1,100.0,0,0.0,70,343,113,1,0,3,0,73,80,88.9,80,1,0,,0,0.00,1,5,-4,-2.25,-2.25,4.0,4.3,-0.3,-0.18,-1.05,0,3,1,0,0,0,0,8,9,0,100.0,2
