Player,ROS Rank,+/-,Team,Pos
Callum Hudson-Odoi,107,0,NOT,F
William Saliba,108,0,ARS,D
Mykhailo Mudryk,109,11,CHE,M
Oliver McBurnie,110,9,SHU,F
Willy Boly,111,,NOT,D
Ansu Fati,112,-17,BHA,F
Alisson,113,-10,LIV,G
Bruno Guimaraes,114,23,NEW,M
Pape Sarr,115,-4,TOT,M
Ben White,116,15,ARS,D
Jordan Ayew,117,-3,CRY,F
Lucas Digne,118,,AVL,D
Dango Ouattara,119,-7,BOU,F
Kai Havertz,120,-16,ARS,F
Gabriel Magalhaes,121,-3,ARS,D
Ibrahima Konate,122,-1,LIV,D
Christian Norgaard,123,0,BRF,M
Josh Brownhill,124,,BUR,M
Sergio Reguilon,125,7,MUN,D
Jose Sa,126,0,WOL,G
Guglielmo Vicario,127,7,TOT,G
Axel Disasi,128,-4,CHE,D
Michail Antonio,129,6,WHU,F
Oleksandr Zinchenko,130,-1,ARS,D
Matheus Cunha,131,-6,WOL,F
Kurt Zouma,132,-4,WHU,D
Ryan Christie,133,13,BOU,M
Luis Sinisterra,134,-1,BOU,F
Anthony Elanga,135,-8,NOT,F
Serge Aurier,136,-6,NOT,D
Vladimir Coufal,137,,WHU,D
Jeffrey Schlupp,138,2,CRY,M
Philip Billing,139,0,BOU,M
Kevin Schade,140,-4,BRF,M
James Garner,141,,EVE,M
Julio Enciso,142,-1,BHA,F
Christian Eriksen,143,-27,MUN,M
Timothy Castagne,144,1,FUL,D
Cameron Archer,145,-28,SHU,F
Ross Barkley,146,-4,LUT,M
Fabio Vieira,147,0,ARS,M
Lyle Foster,148,,BUR,F
Matheus Nunes,149,,MCI,M
Conor Gallagher,150,-6,CHE,M
