Unnamed: 0,gameweek,date,home_team,home_xg,score,away_xg,away_team,match_report,notes,season,home_score,away_score
48,5,2020-10-18,Tottenham,1.7,3–3,1.9,West Ham,Match Report,,2020,3.0,3.0
49,5,2020-10-18,Leicester City,0.6,0–1,0.7,Aston Villa,Match Report,,2020,0.0,1.0
50,5,2020-10-19,West Brom,0.8,0–0,1.1,Burnley,Match Report,,2020,0.0,0.0
51,5,2020-10-19,Leeds United,1.0,0–1,0.4,Wolves,Match Report,,2020,0.0,1.0
53,6,2020-10-23,Aston Villa,1.4,0–3,2.7,Leeds United,Match Report,,2020,0.0,3.0
54,6,2020-10-24,West Ham,0.3,1–1,1.0,Manchester City,Match Report,,2020,1.0,1.0
55,6,2020-10-24,Fulham,1.1,1–2,2.5,Crystal Palace,Match Report,,2020,1.0,2.0
56,6,2020-10-24,Manchester Utd,0.6,0–0,0.2,Chelsea,Match Report,,2020,0.0,0.0
57,6,2020-10-24,Liverpool,2.3,2–1,1.6,Sheffield Utd,Match Report,,2020,2.0,1.0
58,6,2020-10-25,Southampton,0.7,2–0,0.4,Everton,Match Report,,2020,2.0,0.0
59,6,2020-10-25,Wolves,0.7,1–1,0.3,Newcastle Utd,Match Report,,2020,1.0,1.0
60,6,2020-10-25,Arsenal,0.7,0–1,0.7,Leicester City,Match Report,,2020,0.0,1.0
61,6,2020-10-26,Brighton,0.5,1–1,0.4,West Brom,Match Report,,2020,1.0,1.0
62,6,2020-10-26,Burnley,1.0,0–1,0.6,Tottenham,Match Report,,2020,0.0,1.0
64,7,2020-10-30,Wolves,1.3,2–0,0.7,Crystal Palace,Match Report,,2020,2.0,0.0
65,7,2020-10-31,Sheffield Utd,0.5,0–1,1.6,Manchester City,Match Report,,2020,0.0,1.0
66,7,2020-10-31,Burnley,0.5,0–3,0.9,Chelsea,Match Report,,2020,0.0,3.0
67,7,2020-10-31,Liverpool,1.7,2–1,0.3,West Ham,Match Report,,2020,2.0,1.0
68,7,2020-11-01,Aston Villa,1.9,3–4,0.7,Southampton,Match Report,,2020,3.0,4.0
69,7,2020-11-01,Newcastle Utd,2.9,2–1,1.5,Everton,Match Report,,2020,2.0,1.0
70,7,2020-11-01,Manchester Utd,0.4,0–1,1.0,Arsenal,Match Report,,2020,0.0,1.0
71,7,2020-11-01,Tottenham,1.7,2–1,0.3,Brighton,Match Report,,2020,2.0,1.0
72,7,2020-11-02,Fulham,1.5,2–0,0.5,West Brom,Match Report,,2020,2.0,0.0
73,7,2020-11-02,Leeds United,2.1,1–4,2.9,Leicester City,Match Report,,2020,1.0,4.0
75,8,2020-11-06,Brighton,1.5,0–0,0.5,Burnley,Match Report,,2020,0.0,0.0
76,8,2020-11-06,Southampton,0.7,2–0,0.3,Newcastle Utd,Match Report,,2020,2.0,0.0
77,8,2020-11-07,Everton,0.4,1–3,1.5,Manchester Utd,Match Report,,2020,1.0,3.0
78,8,2020-11-07,Crystal Palace,0.9,4–1,0.8,Leeds United,Match Report,,2020,4.0,1.0
79,8,2020-11-07,Chelsea,2.2,4–1,0.4,Sheffield Utd,Match Report,,2020,4.0,1.0
80,8,2020-11-07,West Ham,1.3,1–0,1.7,Fulham,Match Report,,2020,1.0,0.0
81,8,2020-11-08,West Brom,0.8,0–1,1.9,Tottenham,Match Report,,2020,0.0,1.0
82,8,2020-11-08,Leicester City,2.0,1–0,0.8,Wolves,Match Report,,2020,1.0,0.0
83,8,2020-11-08,Manchester City,1.4,1–1,1.2,Liverpool,Match Report,,2020,1.0,1.0
84,8,2020-11-08,Arsenal,1.5,0–3,1.8,Aston Villa,Match Report,,2020,0.0,3.0
86,9,2020-11-21,Newcastle Utd,0.3,0–2,1.5,Chelsea,Match Report,,2020,0.0,2.0
87,9,2020-11-21,Aston Villa,1.5,1–2,1.4,Brighton,Match Report,,2020,1.0,2.0
88,9,2020-11-21,Tottenham,0.7,2–0,1.4,Manchester City,Match Report,,2020,2.0,0.0
89,9,2020-11-21,Manchester Utd,2.4,1–0,0.6,West Brom,Match Report,,2020,1.0,0.0
90,9,2020-11-22,Fulham,1.9,2–3,2.0,Everton,Match Report,,2020,2.0,3.0
91,9,2020-11-22,Sheffield Utd,0.9,0–1,2.1,West Ham,Match Report,,2020,0.0,1.0
92,9,2020-11-22,Leeds United,1.8,0–0,0.9,Arsenal,Match Report,,2020,0.0,0.0
93,9,2020-11-22,Liverpool,3.1,3–0,1.6,Leicester City,Match Report,,2020,3.0,0.0
94,9,2020-11-23,Burnley,1.5,1–0,1.5,Crystal Palace,Match Report,,2020,1.0,0.0
95,9,2020-11-23,Wolves,1.5,1–1,1.0,Southampton,Match Report,,2020,1.0,1.0
97,10,2020-11-27,Crystal Palace,0.6,0–2,1.3,Newcastle Utd,Match Report,,2020,0.0,2.0
98,10,2020-11-28,Brighton,2.3,1–1,0.2,Liverpool,Match Report,,2020,1.0,1.0
99,10,2020-11-28,Manchester City,1.7,5–0,0.5,Burnley,Match Report,,2020,5.0,0.0
100,10,2020-11-28,Everton,1.2,0–1,2.9,Leeds United,Match Report,,2020,0.0,1.0
101,10,2020-11-28,West Brom,1.2,1–0,2.9,Sheffield Utd,Match Report,,2020,1.0,0.0
102,10,2020-11-29,Southampton,0.5,2–3,2.1,Manchester Utd,Match Report,,2020,2.0,3.0
103,10,2020-11-29,Chelsea,0.8,0–0,0.2,Tottenham,Match Report,,2020,0.0,0.0
104,10,2020-11-29,Arsenal,1.5,1–2,1.8,Wolves,Match Report,,2020,1.0,2.0
105,10,2020-11-30,Leicester City,1.2,1–2,2.2,Fulham,Match Report,,2020,1.0,2.0
106,10,2020-11-30,West Ham,0.4,2–1,2.5,Aston Villa,Match Report,,2020,2.0,1.0
108,11,2020-12-05,Burnley,0.8,1–1,2.2,Everton,Match Report,,2020,1.0,1.0
109,11,2020-12-05,Manchester City,2.9,2–0,0.3,Fulham,Match Report,,2020,2.0,0.0
110,11,2020-12-05,West Ham,2.0,1–3,1.7,Manchester Utd,Match Report,,2020,1.0,3.0
111,11,2020-12-05,Chelsea,4.1,3–1,0.8,Leeds United,Match Report,,2020,3.0,1.0
112,11,2020-12-06,West Brom,0.7,1–5,1.6,Crystal Palace,Match Report,,2020,1.0,5.0
113,11,2020-12-06,Sheffield Utd,0.2,1–2,1.4,Leicester City,Match Report,,2020,1.0,2.0
114,11,2020-12-06,Tottenham,0.3,2–0,0.6,Arsenal,Match Report,,2020,2.0,0.0
115,11,2020-12-06,Liverpool,1.2,4–0,0.4,Wolves,Match Report,,2020,4.0,0.0
116,11,2020-12-07,Brighton,1.9,1–2,1.4,Southampton,Match Report,,2020,1.0,2.0
118,12,2020-12-11,Leeds United,1.6,1–2,1.3,West Ham,Match Report,,2020,1.0,2.0
119,12,2020-12-12,Wolves,1.1,0–1,1.4,Aston Villa,Match Report,,2020,0.0,1.0
120,12,2020-12-12,Newcastle Utd,0.8,2–1,0.6,West Brom,Match Report,,2020,2.0,1.0
121,12,2020-12-12,Manchester Utd,0.6,0–0,1.3,Manchester City,Match Report,,2020,0.0,0.0
122,12,2020-12-12,Everton,1.2,1–0,0.7,Chelsea,Match Report,,2020,1.0,0.0
123,12,2020-12-13,Southampton,2.0,3–0,0.3,Sheffield Utd,Match Report,,2020,3.0,0.0
124,12,2020-12-13,Crystal Palace,1.6,1–1,0.9,Tottenham,Match Report,,2020,1.0,1.0
125,12,2020-12-13,Fulham,1.5,1–1,1.8,Liverpool,Match Report,,2020,1.0,1.0
126,12,2020-12-13,Leicester City,1.5,3–0,0.9,Brighton,Match Report,,2020,3.0,0.0
127,12,2020-12-13,Arsenal,1.6,0–1,1.4,Burnley,Match Report,,2020,0.0,1.0
129,13,2020-12-15,Wolves,0.5,2–1,1.0,Chelsea,Match Report,,2020,2.0,1.0
130,13,2020-12-15,Manchester City,2.2,1–1,0.4,West Brom,Match Report,,2020,1.0,1.0
131,13,2020-12-16,Arsenal,0.6,1–1,1.2,Southampton,Match Report,,2020,1.0,1.0
132,13,2020-12-16,Leicester City,0.8,0–2,1.4,Everton,Match Report,,2020,0.0,2.0
133,13,2020-12-16,Leeds United,2.7,5–2,1.5,Newcastle Utd,Match Report,,2020,5.0,2.0
134,13,2020-12-16,Liverpool,1.0,2–1,1.1,Tottenham,Match Report,,2020,2.0,1.0
135,13,2020-12-16,West Ham,0.4,1–1,1.1,Crystal Palace,Match Report,,2020,1.0,1.0
136,13,2020-12-16,Fulham,1.0,0–0,0.5,Brighton,Match Report,,2020,0.0,0.0
137,13,2020-12-17,Aston Villa,1.5,0–0,0.3,Burnley,Match Report,,2020,0.0,0.0
138,13,2020-12-17,Sheffield Utd,1.5,2–3,1.9,Manchester Utd,Match Report,,2020,2.0,3.0
140,14,2020-12-19,Crystal Palace,0.3,0–7,2.5,Liverpool,Match Report,,2020,0.0,7.0
141,14,2020-12-19,Southampton,0.7,0–1,0.9,Manchester City,Match Report,,2020,0.0,1.0
142,14,2020-12-19,Everton,0.6,2–1,1.4,Arsenal,Match Report,,2020,2.0,1.0
143,14,2020-12-19,Newcastle Utd,1.4,1–1,1.0,Fulham,Match Report,,2020,1.0,1.0
144,14,2020-12-20,Brighton,2.8,1–1,0.5,Sheffield Utd,Match Report,,2020,1.0,1.0
145,14,2020-12-20,Tottenham,0.7,0–2,1.7,Leicester City,Match Report,,2020,0.0,2.0
146,14,2020-12-20,Manchester Utd,3.6,6–2,1.8,Leeds United,Match Report,,2020,6.0,2.0
147,14,2020-12-20,West Brom,0.0,0–3,2.4,Aston Villa,Match Report,,2020,0.0,3.0
148,14,2020-12-21,Burnley,1.7,2–1,1.5,Wolves,Match Report,,2020,2.0,1.0
149,14,2020-12-21,Chelsea,2.0,3–0,0.4,West Ham,Match Report,,2020,3.0,0.0
151,15,2020-12-26,Leicester City,0.9,2–2,1.7,Manchester Utd,Match Report,,2020,2.0,2.0
152,15,2020-12-26,Aston Villa,3.9,3–0,0.9,Crystal Palace,Match Report,,2020,3.0,0.0
153,15,2020-12-26,Fulham,0.7,0–0,0.2,Southampton,Match Report,,2020,0.0,0.0
154,15,2020-12-26,Arsenal,2.0,3–1,2.6,Chelsea,Match Report,,2020,3.0,1.0
155,15,2020-12-26,Sheffield Utd,1.4,0–1,0.7,Everton,Match Report,,2020,0.0,1.0
156,15,2020-12-26,Manchester City,3.0,2–0,0.3,Newcastle Utd,Match Report,,2020,2.0,0.0
157,15,2020-12-27,Leeds United,1.9,1–0,1.5,Burnley,Match Report,,2020,1.0,0.0
158,15,2020-12-27,West Ham,1.3,2–2,1.1,Brighton,Match Report,,2020,2.0,2.0
159,15,2020-12-27,Liverpool,1.5,1–1,0.6,West Brom,Match Report,,2020,1.0,1.0
160,15,2020-12-27,Wolves,0.9,1–1,0.4,Tottenham,Match Report,,2020,1.0,1.0
162,16,2020-12-28,Crystal Palace,0.5,1–1,1.9,Leicester City,Match Report,,2020,1.0,1.0
163,16,2020-12-28,Chelsea,1.7,1–1,0.7,Aston Villa,Match Report,,2020,1.0,1.0
164,16,2020-12-29,West Brom,0.5,0–5,1.2,Leeds United,Match Report,,2020,0.0,5.0
165,16,2020-12-29,Southampton,0.6,0–0,1.2,West Ham,Match Report,,2020,0.0,0.0
166,16,2020-12-29,Burnley,1.0,1–0,0.7,Sheffield Utd,Match Report,,2020,1.0,0.0
167,16,2020-12-29,Brighton,0.8,0–1,1.1,Arsenal,Match Report,,2020,0.0,1.0
168,16,2020-12-29,Manchester Utd,1.5,1–0,0.5,Wolves,Match Report,,2020,1.0,0.0
169,16,2020-12-30,Newcastle Utd,0.5,0–0,1.4,Liverpool,Match Report,,2020,0.0,0.0
171,17,2021-01-01,Everton,0.4,0–1,1.3,West Ham,Match Report,,2020,0.0,1.0
172,17,2021-01-01,Manchester Utd,2.1,2–1,1.4,Aston Villa,Match Report,,2020,2.0,1.0
173,17,2021-01-02,Tottenham,2.6,3–0,1.1,Leeds United,Match Report,,2020,3.0,0.0
174,17,2021-01-02,Crystal Palace,0.6,2–0,0.4,Sheffield Utd,Match Report,,2020,2.0,0.0
175,17,2021-01-02,Brighton,2.2,3–3,1.6,Wolves,Match Report,,2020,3.0,3.0
176,17,2021-01-02,West Brom,1.0,0–4,3.7,Arsenal,Match Report,,2020,0.0,4.0
177,17,2021-01-03,Newcastle Utd,0.5,1–2,0.6,Leicester City,Match Report,,2020,1.0,2.0
178,17,2021-01-03,Chelsea,0.8,1–3,2.7,Manchester City,Match Report,,2020,1.0,3.0
179,17,2021-01-04,Southampton,0.4,1–0,1.5,Liverpool,Match Report,,2020,1.0,0.0
181,18,2021-01-12,Sheffield Utd,2.1,1–0,0.6,Newcastle Utd,Match Report,,2020,1.0,0.0
183,1,2021-01-12,Burnley,0.9,0–1,1.2,Manchester Utd,Match Report,,2020,0.0,1.0
185,18,2021-01-12,Wolves,0.7,1–2,0.6,Everton,Match Report,,2020,1.0,2.0
186,18,2021-01-13,Manchester City,2.0,1–0,0.2,Brighton,Match Report,,2020,1.0,0.0
188,16,2021-01-13,Tottenham,2.4,1–1,1.1,Fulham,Match Report,,2020,1.0,1.0
190,18,2021-01-14,Arsenal,0.4,0–0,0.8,Crystal Palace,Match Report,,2020,0.0,0.0
192,19,2021-01-16,Wolves,1.5,2–3,2.4,West Brom,Match Report,,2020,2.0,3.0
193,19,2021-01-16,West Ham,1.7,1–0,0.5,Burnley,Match Report,,2020,1.0,0.0
194,19,2021-01-16,Leeds United,0.3,0–1,1.4,Brighton,Match Report,,2020,0.0,1.0
195,19,2021-01-16,Fulham,0.7,0–1,1.6,Chelsea,Match Report,,2020,0.0,1.0
196,19,2021-01-16,Leicester City,2.2,2–0,0.6,Southampton,Match Report,,2020,2.0,0.0
197,19,2021-01-17,Sheffield Utd,0.9,1–3,1.0,Tottenham,Match Report,,2020,1.0,3.0
198,19,2021-01-17,Liverpool,1.2,0–0,1.1,Manchester Utd,Match Report,,2020,0.0,0.0
199,19,2021-01-17,Manchester City,0.7,4–0,0.1,Crystal Palace,Match Report,,2020,4.0,0.0
200,19,2021-01-18,Arsenal,2.4,3–0,0.2,Newcastle Utd,Match Report,,2020,3.0,0.0
202,18,2021-01-19,West Ham,2.0,2–1,0.5,West Brom,Match Report,,2020,2.0,1.0
203,18,2021-01-19,Leicester City,1.4,2–0,0.7,Chelsea,Match Report,,2020,2.0,0.0
205,1,2021-01-20,Manchester City,3.4,2–0,0.6,Aston Villa,Match Report,,2020,2.0,0.0
207,18,2021-01-20,Fulham,0.9,1–2,1.7,Manchester Utd,Match Report,,2020,1.0,2.0
208,18,2021-01-21,Liverpool,1.6,0–1,1.1,Burnley,Match Report,,2020,0.0,1.0
210,11,2021-01-23,Aston Villa,2.3,2–0,0.5,Newcastle Utd,Match Report,,2020,2.0,0.0
212,20,2021-01-26,Newcastle Utd,1.4,1–2,0.7,Leeds United,Match Report,,2020,1.0,2.0
213,20,2021-01-26,Crystal Palace,0.7,2–3,2.8,West Ham,Match Report,,2020,2.0,3.0
214,20,2021-01-26,West Brom,0.5,0–5,1.8,Manchester City,Match Report,,2020,0.0,5.0
215,20,2021-01-26,Southampton,0.8,1–3,2.2,Arsenal,Match Report,,2020,1.0,3.0
216,20,2021-01-27,Chelsea,0.7,0–0,0.5,Wolves,Match Report,,2020,0.0,0.0
217,20,2021-01-27,Burnley,0.5,3–2,2.2,Aston Villa,Match Report,,2020,3.0,2.0
218,20,2021-01-27,Brighton,1.8,0–0,0.5,Fulham,Match Report,,2020,0.0,0.0
219,20,2021-01-27,Everton,0.5,1–1,1.2,Leicester City,Match Report,,2020,1.0,1.0
220,20,2021-01-27,Manchester Utd,1.1,1–2,1.0,Sheffield Utd,Match Report,,2020,1.0,2.0
221,20,2021-01-28,Tottenham,0.1,1–3,2.5,Liverpool,Match Report,,2020,1.0,3.0
223,21,2021-01-30,Everton,0.8,0–2,1.7,Newcastle Utd,Match Report,,2020,0.0,2.0
224,21,2021-01-30,Crystal Palace,1.4,1–0,0.4,Wolves,Match Report,,2020,1.0,0.0
225,21,2021-01-30,Manchester City,1.5,1–0,0.2,Sheffield Utd,Match Report,,2020,1.0,0.0
226,21,2021-01-30,West Brom,1.0,2–2,1.3,Fulham,Match Report,,2020,2.0,2.0
227,21,2021-01-30,Arsenal,0.9,0–0,1.6,Manchester Utd,Match Report,,2020,0.0,0.0
228,21,2021-01-30,Southampton,1.9,0–1,0.6,Aston Villa,Match Report,,2020,0.0,1.0
229,21,2021-01-31,Chelsea,1.2,2–0,0.2,Burnley,Match Report,,2020,2.0,0.0
230,21,2021-01-31,Leicester City,1.8,1–3,2.1,Leeds United,Match Report,,2020,1.0,3.0
231,21,2021-01-31,West Ham,0.8,1–3,2.0,Liverpool,Match Report,,2020,1.0,3.0
232,21,2021-01-31,Brighton,1.6,1–0,0.4,Tottenham,Match Report,,2020,1.0,0.0
234,22,2021-02-02,Sheffield Utd,1.3,2–1,1.6,West Brom,Match Report,,2020,2.0,1.0
235,22,2021-02-02,Wolves,1.5,2–1,0.8,Arsenal,Match Report,,2020,2.0,1.0
236,22,2021-02-02,Manchester Utd,4.7,9–0,0.5,Southampton,Match Report,,2020,9.0,0.0
237,22,2021-02-02,Newcastle Utd,1.9,1–2,0.7,Crystal Palace,Match Report,,2020,1.0,2.0
238,22,2021-02-03,Burnley,0.1,0–2,2.0,Manchester City,Match Report,,2020,0.0,2.0
239,22,2021-02-03,Fulham,0.6,0–2,1.4,Leicester City,Match Report,,2020,0.0,2.0
240,22,2021-02-03,Leeds United,1.3,1–2,1.6,Everton,Match Report,,2020,1.0,2.0
241,22,2021-02-03,Liverpool,1.0,0–1,1.3,Brighton,Match Report,,2020,0.0,1.0
242,22,2021-02-03,Aston Villa,0.7,1–3,1.7,West Ham,Match Report,,2020,1.0,3.0
243,22,2021-02-04,Tottenham,0.6,0–1,1.6,Chelsea,Match Report,,2020,0.0,1.0
245,23,2021-02-06,Aston Villa,1.2,1–0,0.8,Arsenal,Match Report,,2020,1.0,0.0
246,23,2021-02-06,Burnley,1.8,1–1,0.5,Brighton,Match Report,,2020,1.0,1.0
247,23,2021-02-06,Newcastle Utd,0.7,3–2,1.3,Southampton,Match Report,,2020,3.0,2.0
248,23,2021-02-06,Fulham,1.5,0–0,1.0,West Ham,Match Report,,2020,0.0,0.0
249,23,2021-02-06,Manchester Utd,1.8,3–3,1.5,Everton,Match Report,,2020,3.0,3.0
250,23,2021-02-07,Tottenham,1.5,2–0,0.6,West Brom,Match Report,,2020,2.0,0.0
251,23,2021-02-07,Wolves,1.1,0–0,0.8,Leicester City,Match Report,,2020,0.0,0.0
252,23,2021-02-07,Liverpool,1.2,1–4,3.5,Manchester City,Match Report,,2020,1.0,4.0
253,23,2021-02-07,Sheffield Utd,0.6,1–2,1.6,Chelsea,Match Report,,2020,1.0,2.0
254,23,2021-02-08,Leeds United,1.9,2–0,0.4,Crystal Palace,Match Report,,2020,2.0,0.0
256,24,2021-02-13,Leicester City,1.9,3–1,1.7,Liverpool,Match Report,,2020,3.0,1.0
257,24,2021-02-13,Crystal Palace,0.5,0–3,1.4,Burnley,Match Report,,2020,0.0,3.0
258,24,2021-02-13,Manchester City,2.2,3–0,0.3,Tottenham,Match Report,,2020,3.0,0.0
259,24,2021-02-13,Brighton,2.2,0–0,0.1,Aston Villa,Match Report,,2020,0.0,0.0
260,24,2021-02-14,Southampton,0.8,1–2,1.1,Wolves,Match Report,,2020,1.0,2.0
261,24,2021-02-14,West Brom,1.0,1–1,0.5,Manchester Utd,Match Report,,2020,1.0,1.0
262,24,2021-02-14,Arsenal,2.3,4–2,0.9,Leeds United,Match Report,,2020,4.0,2.0
263,24,2021-02-14,Everton,0.3,0–2,2.5,Fulham,Match Report,,2020,0.0,2.0
264,24,2021-02-15,West Ham,1.9,3–0,0.7,Sheffield Utd,Match Report,,2020,3.0,0.0
265,24,2021-02-15,Chelsea,2.2,2–0,0.6,Newcastle Utd,Match Report,,2020,2.0,0.0
267,17,2021-02-17,Burnley,0.9,1–1,0.5,Fulham,Match Report,,2020,1.0,1.0
269,16,2021-02-17,Everton,1.0,1–3,1.0,Manchester City,Match Report,,2020,1.0,3.0
271,25,2021-02-19,Wolves,0.6,1–0,1.7,Leeds United,Match Report,,2020,1.0,0.0
272,25,2021-02-20,Southampton,0.6,1–1,1.2,Chelsea,Match Report,,2020,1.0,1.0
273,25,2021-02-20,Burnley,0.5,0–0,1.6,West Brom,Match Report,,2020,0.0,0.0
274,25,2021-02-20,Liverpool,1.4,0–2,1.6,Everton,Match Report,,2020,0.0,2.0
275,25,2021-02-20,Fulham,1.2,1–0,0.9,Sheffield Utd,Match Report,,2020,1.0,0.0
276,25,2021-02-21,West Ham,1.1,2–1,1.1,Tottenham,Match Report,,2020,2.0,1.0
277,25,2021-02-21,Aston Villa,1.4,1–2,1.1,Leicester City,Match Report,,2020,1.0,2.0
278,25,2021-02-21,Arsenal,0.3,0–1,1.8,Manchester City,Match Report,,2020,0.0,1.0
279,25,2021-02-21,Manchester Utd,1.7,3–1,0.4,Newcastle Utd,Match Report,,2020,3.0,1.0
280,25,2021-02-22,Brighton,2.4,1–2,0.2,Crystal Palace,Match Report,,2020,1.0,2.0
282,18,2021-02-23,Leeds United,1.3,3–0,0.9,Southampton,Match Report,,2020,3.0,0.0
284,26,2021-02-27,Manchester City,0.5,2–1,1.5,West Ham,Match Report,,2020,2.0,1.0
285,26,2021-02-27,West Brom,0.8,1–0,2.9,Brighton,Match Report,,2020,1.0,0.0
286,26,2021-02-27,Leeds United,0.9,0–1,0.7,Aston Villa,Match Report,,2020,0.0,1.0
287,26,2021-02-27,Newcastle Utd,1.7,1–1,1.1,Wolves,Match Report,,2020,1.0,1.0
288,26,2021-02-28,Crystal Palace,0.1,0–0,1.4,Fulham,Match Report,,2020,0.0,0.0
289,26,2021-02-28,Leicester City,0.4,1–3,2.3,Arsenal,Match Report,,2020,1.0,3.0
290,26,2021-02-28,Tottenham,2.1,4–0,0.7,Burnley,Match Report,,2020,4.0,0.0
291,26,2021-02-28,Chelsea,1.1,0–0,0.4,Manchester Utd,Match Report,,2020,0.0,0.0
292,26,2021-02-28,Sheffield Utd,0.7,0–2,2.7,Liverpool,Match Report,,2020,0.0,2.0
293,26,2021-03-01,Everton,1.2,1–0,0.6,Southampton,Match Report,,2020,1.0,0.0
295,29,2021-03-02,Manchester City,3.3,4–1,0.3,Wolves,Match Report,,2020,4.0,1.0
296,29,2021-03-03,Sheffield Utd,0.9,1–0,2.3,Aston Villa,Match Report,,2020,1.0,0.0
297,29,2021-03-03,Burnley,1.8,1–1,1.2,Leicester City,Match Report,,2020,1.0,1.0
298,29,2021-03-03,Crystal Palace,0.9,0–0,0.9,Manchester Utd,Match Report,,2020,0.0,0.0
299,29,2021-03-04,West Brom,1.0,0–1,1.0,Everton,Match Report,,2020,0.0,1.0
301,33,2021-03-04,Fulham,0.7,0–1,1.6,Tottenham,Match Report,,2020,0.0,1.0
303,29,2021-03-04,Liverpool,0.3,0–1,1.0,Chelsea,Match Report,,2020,0.0,1.0
305,27,2021-03-06,Burnley,1.1,1–1,2.5,Arsenal,Match Report,,2020,1.0,1.0
